dataset_id,channel_id,accession,author,reference,doi,reaction,quantity,original_energy_unit,original_cross_section_unit,state,reason_code,verification_basis,notes,points_total,points_in_study_range,points_with_positive_uncertainty,points_passing_point_rules
exfor_A0660_018_p_C12_x_C11,p_C12_x_C11,A0660.018,A.Korejwo et al.,J.Phys.G 28 (2002) 1199,10.1088/0954-3899/28/6/304,"6-C-12(P,X)6-C-11,,SIG","12C(p,x)11C independent production cross section",eV,b,accepted,absolute_exfor_cross_section,"EXFOR reaction, quantity and source units",,2,0,2,0
exfor_B0076_005_p_C12_x_C11,p_C12_x_C11,B0076.005,N.M.Hintz et al.,Phys.Rev. 88 (1952) 19,10.1103/PhysRev.88.19,"6-C-12(P,X)6-C-11,IND,SIG,,,EXP","12C(p,x)11C independent production cross section",eV,b,accepted,absolute_exfor_cross_section,"EXFOR reaction, quantity and source units",,42,42,0,0
exfor_B0077_002_p_C12_x_C11,p_C12_x_C11,B0077.002,R.L.Aamodt et al.,Phys.Rev. 88 (1952) 739,10.1103/PhysRev.88.739,"6-C-12(P,X)6-C-11,IND,SIG,,A,EXP","12C(p,x)11C independent production cross section",eV,b,pending,abundance_weighted_quantity,EXFOR reaction SF8 contains A,Resolve the abundance factor against Phys. Rev. 88 (1952) 739 before use.,42,42,1,1
exfor_B0077_003_p_C12_x_C11,p_C12_x_C11,B0077.003,R.L.Aamodt et al.,Phys.Rev. 88 (1952) 739,10.1103/PhysRev.88.739,"6-C-12(P,X)6-C-11,IND,SIG,,A,EXP","12C(p,x)11C independent production cross section",eV,b,pending,abundance_weighted_quantity,EXFOR reaction SF8 contains A,Resolve the abundance factor against Phys. Rev. 88 (1952) 739 before use.,8,2,8,2
exfor_B0094_003_p_C12_x_C11,p_C12_x_C11,B0094.003,K.Goebel et al.,Nucl.Phys. 24 (1961) 28,10.1016/0029-5582(61)91013-6,"6-C-12(P,X)6-C-11,IND,SIG,,,EXP","12C(p,x)11C independent production cross section",eV,b,accepted,absolute_exfor_cross_section,"EXFOR reaction, quantity and source units",,1,0,1,0
exfor_B0095_002_p_C12_x_C11,p_C12_x_C11,B0095.002,J.B.Cumming,Nucl.Phys. 49 (1963) 417,10.1016/0029-5582(63)90104-4,"6-C-12(P,X)6-C-11,IND,SIG,,,EXP","12C(p,x)11C independent production cross section",eV,b,pending,incident_energy_field_unclassified,The two near-threshold points carry a 1 MeV EXFOR incident-energy field whose meaning has not been verified from the 1963 source.,Retain as a named sensitivity dataset; exclude from the nominal fit until the energy field and resolution are classified.,9,9,9,9
exfor_B0101_002_p_C12_x_C11,p_C12_x_C11,B0101.002,W.E.Crandall et al.,Phys.Rev. 101 (1956) 329,10.1103/PhysRev.101.329,"6-C-12(P,X)6-C-11,,SIG","12C(p,x)11C independent production cross section",eV,b,accepted,absolute_exfor_cross_section,"EXFOR reaction, quantity and source units",,10,0,10,0
exfor_C0058_002_p_C12_x_C11,p_C12_x_C11,C0058.002,D.F.Measday,Nucl.Phys. 78 (1966) 476,10.1016/0029-5582(66)90621-3,"6-C-12(P,X)6-C-11,,SIG","12C(p,x)11C independent production cross section",eV,b,accepted,absolute_exfor_cross_section,"EXFOR reaction, quantity and source units",,17,16,17,16
exfor_C0062_011_p_C12_x_C11,p_C12_x_C11,C0062.011,L.Valentin,Nucl.Phys. 62 (1965) 81,10.1016/0029-5582(65)90072-6,"6-C-12(P,X)6-C-11,,SIG","12C(p,x)11C independent production cross section",eV,b,accepted,absolute_exfor_cross_section,"EXFOR reaction, quantity and source units",,1,0,1,0
exfor_C0206_002_p_C12_x_C11,p_C12_x_C11,C0206.002,Vastupal Parikh,Nucl.Phys. 18 (1960) 628,10.1016/0029-5582(60)90430-2,"6-C-12(P,X)6-C-11,,SIG","12C(p,x)11C independent production cross section",eV,b,accepted,absolute_exfor_cross_section,"EXFOR reaction, quantity and source units",,5,0,5,0
