replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
0,0.10339499834356461,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3522003792545907,7.69122777569108,12.810466020497453,20.825117346958812,33.416735400311644,48.19038165773602,62.539357458338365,82.80237338366561,87.94511960938117,87.41035386061664,84.9031605577359,84.82886729413971,82.61954384410492,76.58505565219474,73.99104796234339,72.81706684209945,69.18150713417477,65.38165156263409,63.06108257570323,60.91359936868084,60.179147997014525,59.29817598691242,58.0554422430659,56.75576541756556,55.41785221634997,54.00554286975617,52.5289106340768,51.007558725614444,49.579278910152745,48.838273553460255,49.48003598215916
1,0.22772028977545916,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0946715006944405,7.485711817331932,13.126945471410576,20.21998034016728,33.39929589467838,47.77041422766122,60.91129183233763,81.02960301140645,86.12577825219745,85.25879475642357,83.63148129359055,82.81363390346176,81.62840458329467,74.59577924191606,73.85868529634449,70.66253132859273,67.8555443076962,62.08299181670234,62.62764622777036,62.35720142203845,58.210513173523935,56.35746355927317,56.05268451027652,55.142029105877405,53.642591573033826,52.03682793295232,50.596502739105226,49.524411212510806,48.95715676008058,48.825868318990906,49.02182299444102
2,0.18901621835171079,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4594027621801426,7.976192796160277,13.043492137785101,21.153803186637653,34.27327441190362,49.79550597099389,64.17089404677598,85.11517834790713,90.52151658180338,89.92395335834941,87.1605772818476,86.94189715514477,85.27335670358825,78.45233268754458,78.00409175430678,74.99484530757525,67.4005138962655,63.86172604624862,64.79953208439407,64.22142336649556,62.920516228607916,61.62524290386822,60.205291275287955,58.55258172064368,56.87367693187018,55.371858260523084,54.0161885432796,52.72631852371025,51.46458794777117,50.336301723927626,49.471926065038616
3,0.3176925825250743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0344765276278436,7.854083206788429,13.998777074451539,20.530119914279457,36.121344119714614,49.92270712156726,64.90444418532215,85.7720764322499,91.49149337532988,90.42903757134117,88.64994031124573,87.44370678152815,86.3647411395523,79.61086507095182,76.23089512058793,73.73355880667658,71.02004933267699,65.48784687674798,63.28925460589324,63.36130521366174,59.76138945737599,58.42495919403745,58.331644312967725,56.838302582770346,54.55313891441126,52.584702137206136,51.1827975248796,50.40333341703369,50.30534265093198,50.92921829091524,52.33607630643671
4,0.17534132955753173,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.283121087730415,7.6503169047596105,12.967702712094404,20.91756871735093,33.28726433268427,48.2969797346433,62.492430516727545,82.40505068277501,88.46242592482898,87.06233168655282,84.49571867808329,84.82255987491686,82.84653272592205,76.61917851317423,72.96781932448721,70.29384622344085,67.53026951115305,64.27009332102442,62.97753002741195,61.42618630924165,58.830592767998546,57.31396911713049,56.36423540599074,55.011983473578496,53.42148402314458,51.954431372960656,50.764844458937446,49.95218617945793,49.45333184929928,48.5766094956298,46.534321096811176
5,0.2864078377982087,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0173323761422495,8.236729269660637,12.378080629427556,21.737586989062606,34.055696851498325,48.790931730751545,63.521487274795916,83.38379127786995,89.8519508616909,88.28217383631804,86.89557840572164,85.77405369651872,83.95573585422643,78.05083469369762,75.39628811552038,76.81010077278903,68.81950261168731,61.94397547897226,65.81038008603473,62.24051216701853,61.513790222855604,59.006726024982704,55.91291879872875,55.09030403976384,55.20303382679412,54.471790356467864,52.9796056346554,51.260174195525664,49.86607257392982,49.57628146267092,51.27331906249927
6,0.20505634199907877,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3847257147479135,7.69738726757794,12.727424387914036,20.64360464623656,33.836956599410954,48.84292504589119,62.646250136900875,82.76072590951544,87.79119061779426,87.55072944741178,85.0383992796351,84.68360344338666,83.35215559923792,76.06062499138741,75.03176513331213,69.62555162163919,68.63157305524476,63.62236851881553,62.96805109492259,61.18275485046743,59.4228894333483,60.024734841789225,60.12281731823013,56.9376850390592,52.98983838598885,50.829767415237,50.131519279094164,50.07944081426106,49.98420862854871,49.43529960437399,48.112787977330235
7,0.2515220657583709,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3345216201989383,7.691189831148465,12.767078113353652,20.386548432753138,33.33856962281817,48.328114218268105,61.66427743703929,81.4291052367189,87.68079655659619,86.22977443173734,83.93025033148433,83.60821803170829,81.75142556869542,75.51092069640512,73.28463362207535,70.54319189193306,70.0209975821225,64.36909506427392,62.2952387004879,61.42516454598982,60.169646951094485,57.20945016321384,54.71001347788819,54.572956720642836,55.20339029339283,54.66267536392982,53.020047186410025,50.86315563972036,48.80585233267415,47.682613817114365,48.35985397410207
8,0.21701552016132936,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3477488920037994,7.509698534277199,12.373353803584289,20.2096450044248,33.582207349272565,48.07364648439808,61.88990605872377,81.56828303661544,87.7379480814169,86.04650086429156,84.11058167692043,84.23173861393411,82.57227090523871,75.71463656618818,74.45435138449486,70.91779705306273,65.63709159362388,60.061727140193454,62.44012464432038,61.642643300786304,58.88684400581746,57.750895891618185,57.12893949745696,55.51739591400623,53.512592323967,51.93946980410834,50.81604831110389,49.98971507115606,49.32494093763115,48.70410906491144,48.01770937675648
9,0.2789198272566756,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.196525488859711,7.504575434019962,12.859857298365469,20.489400651056147,33.96357338382456,47.28311248226341,61.481516031287164,81.49193004626179,87.30162302381427,85.86955648824897,84.13172594536327,83.48845932142574,81.44821290340894,75.52040482481553,74.14082411637854,71.67621169466975,68.91460752676764,59.885993298341425,61.62939792316148,61.8059669871002,58.172761525207406,57.799304612907214,58.152238666149394,55.57627248575723,52.41682477976599,51.22579147119377,51.30923241666659,51.328378467818595,50.35958512224971,49.07467085401872,48.47456933335269
