energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
18.0,1.3522200058167235,1.2316163056344591,1.4933595099980692
20.0,7.598923689663443,7.269960358048402,7.95392692248419
22.0,12.597357368533421,11.99003505642554,13.166799403582173
24.0,20.431260469394708,19.495531199539112,21.41256397848189
26.0,33.18037250411666,31.736446956211683,34.55028208321094
28.0,47.669413168834836,45.76196223899178,49.633038805431134
30.0,61.76915409557463,59.27580802782107,64.11825924854908
35.0,81.2587489423523,78.02015822933394,84.44006037309772
40.0,87.03609259608135,83.5108045952167,90.65615223271014
45.0,86.02081263165387,82.5338527746515,89.47846229395874
50.0,84.05543733190915,80.70816007532767,87.45427747573812
55.0,83.41776525672458,80.04093089373372,86.79293952053973
60.0,81.83739803188142,78.58316272846733,85.09743732525027
65.0,75.38524192017769,72.328698370913,78.34801716069069
70.0,73.4038779574317,70.34855704868677,76.31965662685538
75.0,70.63657223769299,67.21904764465259,73.8370723579747
80.0,67.05495772111689,64.03477587826924,70.10430603562557
85.0,61.97629744700946,59.19493772225073,64.88882714127247
90.0,62.559875674596526,59.570830043185154,65.48684291878176
95.0,60.44125212032913,57.760829184260146,63.349986521815936
100.0,59.14423476483478,56.595194986955946,61.75798577462327
105.0,57.97641476906408,55.68725497155521,60.445535026407974
110.0,56.5867414929841,54.10733821555631,59.035478973978115
115.0,55.0285398607546,52.66953817080051,57.30576417763406
120.0,53.541010135992494,51.241554673680156,55.682514147344044
125.0,51.982546051508606,49.890962927016695,54.21309879143451
130.0,50.63327859668264,48.59059626357092,52.89111924500156
135.0,49.51972100167034,47.44189978688931,51.740230035506094
140.0,48.5592184754568,46.64605919869431,50.72727284603456
145.0,48.05747243137222,46.08008683323525,50.17150938328077
150.0,48.28355353379659,46.10288360323016,50.706788551740345
