replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
0,0.11387112402827597,300.0,0.0,0.0,0.0,0.0,0.0,0.05377625819521541,0.5180066407290094,1.3393816001978425,2.609028003256834,7.0977204423649525,14.767718821692348,23.481131117392913,28.641627080499724,29.191722756364467,28.107204764444948,27.535599845509793,27.402833843034955,27.64762247149481,28.102493682389156,26.50316682168592,23.778453975568272,21.322944381694995,19.574353732164678,18.304827906974655,17.226513697260064,16.084230574553388,14.840938715815566,13.882713071814951,13.121422142651591,12.327578401385583,11.653643978084231,11.23199008104192,10.864010605689847,10.52544884694746,10.246304939305476,10.027702473598287,9.863955038681752,9.747010417102848,9.668883942904959,9.630693232910264,9.667854923672156,9.82625531594855
1,0.06033697789420453,300.0,0.0,0.0,0.0,0.0,0.0,0.040149315988527896,0.4277203974451612,1.1733760018896375,2.3902350703196524,6.960082979474641,14.82364329710121,22.901605977611904,27.410887495801727,28.620589240014493,28.474198788397125,27.98087180933368,27.49774062058658,27.62070130230514,28.2582434323759,27.163666763055904,24.754076840228844,22.308692463811415,20.213956780480032,18.647407853394043,17.528673962075583,16.439001092712505,15.24059953849916,14.049117322356386,13.09531656635102,12.340731066019675,11.729175940027693,11.283187696644355,10.984122222471182,10.77954775034409,10.618475632819319,10.460318474304428,10.277222132639222,10.077526184631674,9.877422512098295,9.688700638342812,9.50995757157478,9.336826279245336
2,0.16176343905774515,100.0,0.0,0.0,0.0,0.0,0.0,0.10235540138289169,0.7768125348758096,1.7459768085830174,3.071255317474522,7.530830191629963,15.64606120315296,24.682880021282774,29.56402531886006,30.378841944576926,30.030970838057307,29.81496897517697,29.36554905946282,29.000176434991523,30.362823135157843,28.404381005665062,24.858324796715507,22.13891890072638,20.33763318086326,19.28015355698572,18.261314355276095,16.774475994489524,15.325233591954389,14.365707745182455,13.59917866946797,12.734737528421405,12.312620509251254,12.14280420479268,11.868755761154901,11.47411813507629,11.033669299941158,10.645410789640753,10.379525599921086,10.212075128428364,10.101178586288016,9.985793033082684,9.72101357722217,9.16129455878451
3,0.20594202465797484,300.0,0.0,0.0,0.0,0.0,0.0,0.05411452726112779,0.5292815933431121,1.3808241866522606,2.7076428569804882,7.438218559130079,15.483969396276294,24.219916042224163,28.91050137372518,29.51657225118599,28.972994215928516,28.477582742611123,28.05031069765747,28.2357204034464,29.408710386138157,28.38052172738686,26.160406731826725,24.088031369179152,21.8313566712142,20.009818210380576,18.726018134613863,17.281389918161477,15.901654623993572,15.014360552824016,14.390518127756705,13.755913110856373,13.130994432605798,12.487735666276956,11.87705367305799,11.363951353023074,10.985081146067404,10.707862742618696,10.493626896766456,10.326866554407669,10.198236626945553,10.106119293083976,10.076993577171766,10.144858852274066
4,0.2211538275558157,300.0,0.0,0.0,0.0,0.0,0.0,0.04680861727097019,0.4716606687716107,1.25235891723589,2.4902240197347862,7.005746184187505,14.735841911398413,22.91802198196091,27.43674077707496,28.493244048805938,28.323204955633454,27.95823635305611,27.329768687039167,27.057532439734015,27.93935844242228,27.22532314252169,24.342522398346702,21.64888881419061,19.875814262216313,18.59663749953758,17.437546935879787,16.211964625602974,15.111611172774081,14.205889652892294,13.398536841313193,12.587395065267918,11.89451470921913,11.431135678593577,11.083515467747066,10.818574271838543,10.629897224193456,10.479798983259242,10.32707648973379,10.140611858423673,9.893577819820775,9.54740179297576,9.01388384412252,8.222181237947485
5,0.13020589771014565,300.0,0.0,0.0,0.0,0.0,0.0,0.045826147962415915,0.46737285127884715,1.2497239792385437,2.496296658118646,7.023931959346696,14.674785790321003,22.849102754051575,27.600601199517456,28.718500688506467,28.41969019481274,27.994568335973444,27.523035729903484,27.635161671069078,28.022888889306834,26.164194841350337,23.266500312128947,21.097285776005425,19.729300282397094,18.59262072214074,17.356202150398822,16.02395976896792,14.874585358144445,14.009950550657926,13.347314949004868,12.597339749382899,11.823675241776936,11.2911587369404,10.906169726307828,10.605305088478834,10.361420299219686,10.153282496654565,9.963867682870207,9.783887198824614,9.606221039226119,9.423041831192494,9.22263925327977,8.993281266457677
6,0.2045565331818176,300.0,0.0,0.0,0.0,0.0,0.0,0.04556383422645379,0.4749737196900367,1.2864868616901204,2.5956351666870394,7.4595194190497,15.922527569957813,25.00715490242325,29.986044979277256,30.716640646933683,29.71516701437459,28.8295635678983,28.92216496132383,29.774998286320482,30.934632973991114,29.019008782560643,25.975861137555803,23.76133038375027,22.111226112419498,20.540895668405174,19.25284186080243,18.308519833222636,17.2710982540451,15.946573665840667,14.46785844340964,13.262120791876578,12.612900835707446,12.269467041939649,11.919877930254838,11.58553511348393,11.342856514161264,11.18519570214864,11.085202408494027,11.00412999756459,10.901270036195395,10.717547591391444,10.322189690381665,9.595307929673728
7,0.19881870944601807,100.0,0.0,0.0,0.0,0.0,0.0,0.030824474023566223,0.3613080481252463,1.048225668621894,2.2237683714449417,6.849076510174745,15.145371752043818,23.76523291161219,28.512602973856982,29.71735757857762,29.504127084144013,28.83374297577629,28.498505233372946,28.867623676497477,30.716424687083947,28.533414923602912,24.545748639197864,22.096291715621014,20.64435113203799,19.375376320307275,18.18986039012997,16.826356435355468,15.50768493297942,14.254564303140986,13.541567298758098,13.09496665696776,12.651102554382604,11.963675010468748,11.359720240684894,10.955527676052863,10.75193913897195,10.653247872964494,10.56087416871832,10.43789572758887,10.26334008565257,10.01177279441642,9.636983629028364,9.098251261151791
8,0.10539842597030273,300.0,0.0,0.0,0.0,0.0,0.0,0.05135663139546482,0.5158361672749193,1.3668710849447918,2.7097511358442525,7.492550412594811,15.377383032666085,23.56680630335143,28.104156869436448,29.15735183850091,28.945289156136432,28.61739221376057,28.167091010161222,28.477408666854153,29.80843415191429,28.264381810096193,25.371724620347344,23.069862882237885,21.017075258742,19.5368937883724,18.53846879107809,17.244112414362966,15.683420065907418,14.362944974895711,13.49588135005357,12.927307372043696,12.621882393114573,12.318221712612306,11.903223752658963,11.45883218548523,11.073398158962059,10.757693001307729,10.503398528703938,10.295343664842218,10.117893288354676,9.95820163364053,9.810479194050501,9.670776685290214
9,0.05126403275531557,300.0,0.0,0.0,0.0,0.0,0.0,0.04500675460377354,0.47111295251967333,1.2791085456496145,2.584481516160235,7.4108768581431095,15.692291381402605,24.498266061895375,29.526447821275614,30.666228847557544,30.0653172255918,29.34920421198079,29.21047629898518,29.35628945971559,30.20904183086442,29.21984329119657,26.24934051265881,23.149640438658405,20.854403861509326,19.45556974608626,18.519278658060266,17.318172893933927,15.96273542266162,14.696911454516933,13.637878692123055,13.028726882251505,12.783338279296421,12.428399832017492,11.984448944568086,11.563141540190095,11.233080838696527,10.989035410134688,10.809718746908796,10.671044069602129,10.549315946787827,10.41440997323339,10.20802984681411,9.870336860084256
