energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0632290791786457,0.04893458033440333,0.08493148713949354
10.0,0.6310302438516553,0.5161167305451893,0.791272445774579
11.0,1.6687405058377687,1.4020747462660301,2.013015959627037
12.0,3.2802778861747677,2.799987125180365,3.8205608270662688
14.0,8.991431790122398,7.772522538099648,10.360504677226652
16.0,19.23161298417928,16.67240104091955,21.963629288639762
18.0,29.65112191345743,25.97122527825794,33.90098769732141
20.0,35.8591203840263,31.2326684391309,41.03863078091985
22.0,36.92509758907394,32.321681315545625,42.46750323678988
24.0,36.187362932249314,31.547659480729752,41.45535315058203
26.0,35.34545928129717,30.91075147237191,40.515567261159134
28.0,35.25206879022837,30.733907610664453,40.35063649021159
30.0,35.402894981415216,30.94643063256283,40.62758513356224
35.0,37.08075484594201,32.32058873008899,42.93785113710254
40.0,35.17827949145338,30.6391485094578,40.309675662515275
45.0,31.362028931779122,27.586048137017098,36.105851909638176
50.0,28.21964947262022,24.794574008082403,32.405657025687596
55.0,25.715841390245544,22.601742484371083,29.611842583848542
60.0,23.856138921374416,21.054953440113422,27.57132555035516
65.0,22.57415656028398,19.88229731544719,26.16524987390608
70.0,20.962427187561453,18.396668761678058,24.18634856908645
75.0,19.380023073423246,17.00656838076491,22.2877470347716
80.0,18.047743971499816,15.797283818081745,20.74141791829762
85.0,17.009582848380127,14.888444928757522,19.557866939712607
90.0,16.071417679064886,14.036178891484772,18.457409930901026
95.0,15.398272683017927,13.557560702946299,17.719397423914263
100.0,14.983136397832743,13.178111384608524,17.196829262586572
105.0,14.498986827615711,12.737402407029034,16.655386366863567
110.0,14.072336022678812,12.302662507743921,16.166204913004567
115.0,13.70409166882175,12.001695994693968,15.736377813125966
120.0,13.38454965756328,11.71082381694952,15.401010879146494
125.0,13.117754231448286,11.502750419387537,15.10467375680768
130.0,12.889753107008893,11.33904007418601,14.854810834061361
135.0,12.698456741298374,11.187727104272003,14.603114961501648
140.0,12.516526469330355,10.995537288002785,14.346012535204165
145.0,12.260665837979534,10.79064901427368,14.134492227563483
150.0,12.027451417233891,10.50367390934103,13.785788147337167
