replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
0,0.32735039236998204,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6527247448664399,1.8077230543765352,2.931321599982849,6.730459040562589,11.02056703652299,12.853494407640582,12.705028964612804,11.898159189603696,10.975998061337199,10.211698851366636,9.695568374375313,9.219898044908728,8.904680523364355,8.725903757286641,8.510981282832603,8.203956934057787,7.926014895516965,7.702193016922011,7.547029056546957,7.471249124152301,7.448915622997684,7.447032493452329,7.43609559928886,7.387491633203041,7.2580424715418035,6.949595616976285,6.377163849752287
1,0.22631777056875127,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0395458141351388,2.7846184622805583,4.402213352134796,9.82278845447625,16.35497567373315,19.447780825949497,19.227825607182563,18.243050166364554,16.967442194431673,15.852831404266768,15.178796922924843,14.6426076165181,14.184890080858118,13.840611078474655,13.365868904669,12.623964403378503,11.925671487278171,11.45148561302678,11.189301680921794,11.093887893733884,11.08990664397609,11.104434385808169,11.098862346677732,11.043055380481466,10.892136499462927,10.54463876001371,9.9059920780375
2,0.08942061567298266,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2721526331666166,3.556562343493854,5.7335588738258645,12.770870098253424,20.914600474402626,25.173925285306066,24.759893410054627,22.80859941121433,20.946057408177637,19.47132261597397,18.74281520091149,18.1682807724707,17.726613065537368,17.275777075504937,16.561621877154284,15.74571470554521,15.228701442839448,14.916669187426491,14.708756720526956,14.547424903780385,14.404431950049528,14.261523056546242,14.111116385178779,13.948234676887813,13.762168161073205,13.51996564897197,13.185891703638541
3,0.10358208808303553,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8875670232086106,2.50004112343453,4.1082358889703885,9.597069944978696,15.990003717456014,18.832189509644436,18.51464185779743,17.057260638759868,15.46942998185679,14.494872506051896,14.030310922142124,13.601538038560562,13.299843286144641,13.077233182478883,12.735543692828225,12.238079760543597,11.777748679536797,11.373178623848679,11.03311301373018,10.771044456966838,10.578445976257276,10.442593054948095,10.350837453786442,10.291076349606522,10.244510236647422,10.16418815616242,9.997761237308302
4,0.08763512006560353,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2024682616160287,3.2851701510682387,5.286647994347103,12.127947363596336,20.191038301709487,23.89051789863621,23.35809068903502,21.390449115435167,19.497497701743562,18.298578571147694,17.621028300037846,17.068008041275977,16.738693993315476,16.454247091133347,15.894789193494223,15.141396459503834,14.510977585408838,14.041405610954142,13.693556574200212,13.43367368390171,13.234424747040535,13.073838554846773,12.941370715720314,12.82938935268764,12.72828735626892,12.62015513814505,12.485472632978265
5,0.300636312810791,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.801461465750727,2.30124155758031,3.785764083505005,8.864729935546498,14.691768398190822,16.920302882474374,16.545933094635533,15.970435624769607,14.998899265570442,13.835507935632931,13.133706156333464,12.586740533771575,12.174761875321607,11.781279403983834,11.221381903103264,10.544058113887482,10.068941314489017,9.824890412533883,9.720199865786496,9.670996406478942,9.633718601333085,9.580927178844973,9.510674374298327,9.427199387081169,9.329034636802774,9.193065628188199,8.992498166558319
6,0.13338493461854745,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0557646755668786,3.02068330765341,4.9433255014198085,11.477778920217915,19.109355028821685,22.371484625077866,21.77300485380655,20.02801381222699,18.464312509186332,17.28298662554495,16.303027275281018,15.469559791364475,15.04473666975722,14.910313777727657,14.624505135731278,13.964422792793368,13.363150972712093,13.00748774073616,12.829593866704222,12.736627352291466,12.659694072583967,12.549920287093201,12.413725761183091,12.270538665863567,12.128153925755454,11.951869256372103,11.698818165969454
7,0.057550728586984755,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2550170946492154,3.325138031276004,5.289166173419391,12.044938687103595,19.775133170567194,23.43686123682833,23.42544753570291,21.53816479158734,19.555758986376983,18.49971230532356,18.154286953952912,17.669314311681088,17.108256868909198,16.52932501364071,15.752958465649623,14.942498689449705,14.41581955521401,14.044595000072702,13.767504503693267,13.571079590917275,13.439680871591047,13.35676315012455,13.301885051649505,13.253818862704902,13.177914344595063,12.98663527768637,12.58650823415023
8,0.12627135649451623,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3748125858679847,3.8801717498472823,6.351461456915136,14.578618747577694,24.10150461948519,28.528270524978584,27.7540458805065,25.532823738240214,23.372041368201675,22.058601136576694,21.584888624646496,20.836194899238205,19.96172848043597,19.213916636443933,18.32793520600708,17.417876279402126,16.953283011913896,16.674359386691595,16.468285815638446,16.31511638805437,16.202090548732777,16.116105126426877,16.035515544606387,15.936708194563005,15.783048497082387,15.486869434969986,14.957103471443451
9,0.1977664268802922,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8037960815393094,2.1849560558771586,3.49007774727156,7.953545057649367,13.204112218823832,15.680126484918203,15.345429534026398,14.296142550690858,13.314819297636879,12.427562172112168,11.830645298514092,11.280626206001598,10.839521581974578,10.526714685678307,10.122485631037282,9.567380639040119,9.184385470634945,8.978481132945426,8.876555993232396,8.821648278379026,8.7816566514976,8.734130565312517,8.670908087484268,8.587428401354087,8.472043734764586,8.285482102622092,7.986434184276073
10,0.12662827826887083,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.042230397335438,2.8845241283706096,4.6562155252504205,10.710562917620345,17.868777352113135,20.843513286575458,20.242671678332673,18.987852404276715,17.400990749547155,15.976697633308856,15.35002707822673,14.965230380852356,14.54876499747567,14.125247130699586,13.817859549018426,13.552955772758885,13.225612901329583,12.88716793583185,12.561832492801312,12.256886110977277,11.984136241227832,11.752639771187262,11.559601705744383,11.399702131736387,11.268958438729259,11.16759820556225,11.096900876713788
11,0.10238866790180277,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2659671642962693,3.557388788586358,5.731600343609873,12.967305182597391,21.35879263404459,25.53373788330527,24.95812536706708,22.972021226953842,20.98364060998626,19.462906097711127,18.87003668486212,18.627691303091915,18.37240197942961,17.849780650716628,16.792646602976784,15.609581811662535,15.051784263048214,14.759125342716397,14.547056864572363,14.363852278267835,14.20316665079446,14.069157431164902,13.965245905442375,13.894552797345174,13.860822277105278,13.870641471855361,13.931537649105056
12,0.23119970945147483,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032697168045827,2.975085064974099,4.890645363585215,11.345691474524777,18.865913591634893,22.196279711309963,21.288729567269602,19.392368786777325,17.852233257936053,17.064422229235035,16.82899016644317,16.511899590092366,16.163049729513602,15.751367656446707,15.051507010649644,14.150327433457615,13.554320894221211,13.239276920934527,13.072199941465865,12.951289229643521,12.82654430988903,12.668055871718867,12.474256606848497,12.250425486667638,11.99590284977691,11.687975354209943,11.301541486818968
13,0.0978738250307811,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.093423342282042,2.9046016426301127,4.5808280870196265,10.396236946663223,17.49497737594376,20.812278451881664,20.17126730921271,18.81533588808953,17.40022642664409,16.225742404193063,15.691189621684854,15.255559778917497,14.928602989353632,14.563018561622316,13.910752432570423,13.09854372304725,12.468325742642552,12.041480877141,11.776662383659295,11.640149937621736,11.584932747595193,11.568836534582674,11.576714822829278,11.59997105990652,11.629659030926152,11.655858983567201,11.668251038866542
14,0.14402225247747943,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1188482017101404,3.1716152178230503,5.194558819709193,12.13053589629785,20.26922728080539,23.99248551589495,23.325357848943007,21.44155935775315,19.651379721084766,18.305523595559002,17.712955001566726,17.588994016544053,17.479040458486065,16.854276211724397,15.779471304980445,14.76973625958759,14.218116825051622,13.91669542442249,13.727977334071877,13.579415680289268,13.427466743547521,13.246330619829898,13.050166454598568,12.861756973233769,12.699263839022432,12.567360199776857,12.467448426862502
15,0.20542332764342758,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.091757078064512,2.9075328031029155,4.600112009801803,10.23421916159071,17.040338955704716,20.471770840195223,20.19540501538374,18.89244941167698,17.157603807234484,15.818182135499217,15.523768063078693,15.624472828464672,15.333524927011672,14.45286612013746,13.47332722783026,12.77477107097893,12.4021648137497,12.18907922816789,12.057490547933353,11.963710435238598,11.863842608810868,11.723502031194473,11.544326450804865,11.336560137385629,11.10801288405032,10.858532572779277,10.58628743472159
16,0.07547276525697184,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8880472501455308,2.5304164570462553,4.146527325496445,9.568141364038993,15.984081562011568,18.974141473741415,18.488366814137457,17.088932766887076,15.721279281370979,14.678750217952475,14.100917052272298,13.754259739454255,13.496860672192884,13.155994725074349,12.67935273039276,12.13455018193462,11.69287731281937,11.381816907630164,11.178161344570249,11.055166246131428,10.971768361109467,10.889115266999394,10.788085961822791,10.654750980355942,10.472831657385141,10.21544744827127,9.85687582426884
17,0.06523318107094535,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9273927360151825,2.690350996736052,4.396465618230372,9.88062666769308,16.236385774351355,19.24230963749635,18.643552027449555,17.301934848768468,16.08226284110823,14.989052544090855,14.315256874658505,14.008751246377685,13.673809349919503,13.144063855055197,12.62354575158036,12.131888660826265,11.665289507890265,11.30808754655563,11.071240104025891,10.93778149598341,10.866985828185097,10.817842251165507,10.766627024632186,10.693970709758556,10.56808587991911,10.308858999051102,9.835754426861033
18,0.03422127399629324,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1553682842286472,3.2658659024365813,5.302781539314932,12.073368408786903,19.899480823018145,23.451642637754176,23.033139856228715,21.450749181897955,19.5939502241241,18.339641627563754,17.925916881291307,17.490744336007072,16.892948753578306,16.267030893443692,15.68655829947579,15.148571275123572,14.711461013637761,14.311172456561936,13.958369924423915,13.683024929978469,13.48774996087349,13.36549299418189,13.29447523111465,13.249934025291283,13.190899310576391,13.01133730899134,12.597181011964151
19,0.12679268869902202,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.462318617083987,3.641912555309272,5.649357772216464,12.918116425976413,21.773663649675836,25.650806415230974,25.221082443331497,23.49795253891352,21.239269278113962,19.650168330640888,19.104117597601615,18.6401254442305,18.240910665294635,18.032433053168315,17.619662357836013,16.72885739407317,15.965674594872185,15.493881641348374,15.220265847977286,15.048490021040225,14.925840260237399,14.813935315637316,14.687658801404192,14.525552543958979,14.295626043350198,13.923811393288489,13.33639969304854
20,0.18706556056999285,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681214623666617,2.216784318805741,3.6430785664362153,8.388619113170176,13.809759100048984,16.27472632935576,15.997833234839641,14.900307318488624,13.902361170170238,13.05167215461948,12.290106275254479,11.727131521098878,11.390776008346808,11.147038727024091,10.784347555973824,10.22127760664489,9.736285070412302,9.407181421414446,9.20008499917508,9.075477014636443,8.993963997933225,8.923714601863491,8.859451552090993,8.802255307139676,8.750600860210232,8.693146559134869,8.61635048627745
21,0.06361471395355946,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8664894247824438,2.4112323848116617,3.915058010116073,9.07557972687695,15.131018030403942,17.99084768884324,17.56508079856475,16.14951786859266,14.7600944906209,13.785402752188249,13.289818888471665,12.948108284929944,12.673113433711595,12.391412283996347,11.896750897819505,11.242993169283197,10.754279230887217,10.437331169973756,10.242506839069085,10.133301417174083,10.073842276939649,10.033482520515529,9.99932746233803,9.962795093126838,9.909179374743843,9.7998757005495,9.592641377713996
22,0.1879105775140653,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9161324981988362,2.574432167512742,4.209507799513172,9.855704603461163,16.55674997958818,19.716422493546744,19.097690230335385,17.527256572810117,15.927903962137389,14.752326433678203,14.312920549985995,14.25860869371175,14.26534925275929,13.945595850540695,13.337250142103276,12.653901028865603,12.090183203781056,11.681212488934763,11.40600333481476,11.24037222457711,11.153231178336062,11.114754074665004,11.101699387943436,11.092421060526256,11.059144332846556,10.950257382449182,10.711254758867625
