energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
16.0,0.0,0.0,0.0
18.0,0.0,0.0,0.0
20.0,0.0,0.0,0.0
22.0,0.0,0.0,0.0
24.0,0.0,0.0,0.0
26.0,1.4325116856184885,1.3324036650695188,1.5483264655210158
28.0,3.9486272163703577,3.7447218339011976,4.154425667747123
30.0,6.350567634913931,6.0609827059337755,6.647832658082552
35.0,14.46865596776141,13.859002432620171,15.140646254451248
40.0,23.994115097075483,23.026860963751755,25.141292442137708
45.0,28.42726584204418,27.208644333819844,29.75676627133337
50.0,27.779418463425266,26.54627189683132,29.10880755876691
55.0,25.796752222113895,24.62703500869188,26.960137436260194
60.0,23.726269439927474,22.667028533125915,24.850573545714
65.0,22.161617039649983,21.145922299221652,23.167678621369248
70.0,21.4035628178669,20.3676218398443,22.352762937863865
75.0,20.81011721919242,19.774001511844308,21.771870466323655
80.0,20.278545196930565,19.2750402528237,21.24375560574242
85.0,19.635875639606013,18.686801807871856,20.661302534084147
90.0,18.840171903443313,17.963332425821537,19.797230474927954
95.0,17.942726038847404,17.180036209614613,18.809803578278515
100.0,17.279265791151893,16.547202499175782,18.097152672342624
105.0,16.853965904736057,16.104099107379866,17.621765791424572
110.0,16.562397008477788,15.793252450632325,17.31413982254681
115.0,16.349109063052644,15.603573513755093,17.094605805997965
120.0,16.167827299455364,15.445129033946714,16.928401777200495
125.0,16.034181415808018,15.305117869420263,16.79582323366433
130.0,15.925629430527282,15.215398411445898,16.683762080820966
135.0,15.831412428124024,15.134311832906434,16.57926649073002
140.0,15.700688574171195,14.981154877026768,16.42487062351277
145.0,15.479253066018314,14.757684109730112,16.216721136313403
150.0,15.114550753256243,14.294231391779507,15.928660333114054
