replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
0,1.9112851145484049,100.0,0.0,0.0,0.0058003121473190694,2.224681202212954,27.29912306192763,18.466776506770646,17.754974375075243,35.33900673958187,38.664068431753535,31.71727273847029,22.651995005338016,18.515909675579717,16.589085300989982,12.419412588695646,7.778262007972059,4.61662097593264,3.1224434040733997,2.8787179835166965,3.7406378816325976,5.791582981602742,8.774033902831503,11.31424001003098,12.429438091018781,12.76280265462745,12.564153905764488,12.00222270987111,11.6615600816501,12.003620215740312,12.594769531571457,12.7816975322373,12.552057820215165,12.424492640253051,12.151180492416833,11.748522563183721,11.345143999904964,11.022907651412837,10.83016211443576,10.74616745761637,10.737050666568312,10.745369762213329,10.612138467546707,10.165531171664771
1,0.4185767862272394,30.0,0.0,0.0,0.004744770522135183,2.0214644901927166,29.884281631808655,13.746063484552161,15.686021068937011,41.090850860557254,36.14206355572353,30.77497893977531,19.98613273989272,15.882105166135016,15.793560548305786,12.982301335775222,8.395186858262743,4.508258590818475,2.635642446861732,2.4134641330852404,3.5765195285157567,6.11820213677189,8.87805116061053,10.401525514580314,11.005093685498997,10.725259527836718,10.68485871650358,11.316202001547179,11.625309656278029,11.64364960778688,11.46965832936261,11.026708027443789,11.027458552025912,11.573420662856408,11.691014272137789,11.409475087858878,11.068319107164855,10.773880181888215,10.552844293834061,10.357791727671994,10.127349533638004,9.841854556861234,9.625119245530103,9.62654757577287
2,0.25528829992177726,1.0,0.0,0.0,0.0020228285421139127,1.8361087393436377,35.88631081961327,11.49735372384626,13.646550045153177,53.272548074870954,28.271688113113186,35.98534798522786,14.985710770577105,18.243095235011353,16.273768275051836,7.844730269455701,6.107057805858389,4.434948901886574,1.9084011942556074,1.893726468016132,2.957862656068486,5.755173906001307,8.251580526907885,8.620882371238503,10.299113950972176,11.477091217582654,10.517289006621407,10.778662074007032,10.040716978152256,11.372759618410992,10.675226967966353,11.644475561288967,10.418523588719506,11.101037297809816,11.240158727742443,10.693727612882698,10.387743564641482,10.139988456513116,9.673347502605631,9.231860461783235,9.13870694866287,9.479467325167802,9.38124745016243,7.857783636830318
3,0.06257522013359657,3.0,0.0,0.0,0.004742895696230637,1.7848400139892688,31.976790975387214,10.900807950432336,13.14458278346925,47.571152621818804,28.94606710199515,31.596717458398253,15.852057022508957,15.392981866874816,16.338815820946127,8.85684568932714,6.145483515160113,3.9999600790250978,1.864230965614924,1.9063609515302382,2.8656248923069927,5.218461945599974,7.796485082357277,8.905758511551483,9.85098508288546,9.886279314857616,10.30528007244205,10.691049548112364,10.115336874656935,10.496340117471625,10.222482819034369,9.50961351463484,9.831460947247773,10.282688401106453,10.374548183871546,10.194369685181384,9.88788404447776,9.476005402267399,8.989945208661089,8.597090107446745,8.47255027196443,8.671993595895195,8.772507901774183,8.227270058680514
4,0.10888666279889828,3.0,0.0,0.0,0.005912647249535624,2.0576568788234,37.91850718688889,12.697470899535949,15.054738559883996,56.85788260777266,33.92490518428335,36.809496116794215,18.438834891876034,19.286932940645915,19.779573514652153,10.045493263492643,8.159839504835306,5.3453253321836165,2.228292669258733,2.2907892158570986,3.5088055430483505,6.055040459371347,9.46462551399549,11.653470912448787,11.700399763804334,11.50501164244111,12.33164696105538,11.73561335237276,12.216993940324661,13.474968692152704,13.226066981917588,11.974151311713783,11.651685953189878,12.219324197446195,12.891461997847648,12.975721805331538,12.137244682347337,11.156106856980346,10.705775505024949,10.699253321205223,10.934144794982803,11.241120784474704,11.525537210062485,11.705906063224706
5,0.04054060742814067,10.0,0.0,0.0,0.006945461113890693,1.8883236683288462,32.603106857631964,11.995169909361172,13.84530463059586,45.154119460953254,31.793973156771667,30.600572778185317,17.205838735494833,15.435555725370186,17.16979733368997,11.625701653081089,6.841420493425838,3.946967403523024,2.294538825962139,2.1720910724659497,3.187240707728421,5.739086522138794,8.558687720983968,9.813599408372697,10.469963603141565,11.263923797712637,11.445833508714907,10.937395238353531,11.103219102076668,11.030112308769006,11.359375754908488,11.227470218194323,10.746210207105555,11.441414498950502,11.407171105821298,10.759354858072415,10.277302346050632,10.019089242454813,9.898998647077995,9.855633336013373,9.834702823998631,9.782580348652626,9.645380263100721,9.373398532003375
6,0.28296192288521826,1.0,0.0,0.0,0.002847599771938596,2.7169519425825364,52.76179617982487,16.575640716664942,20.034697932111936,81.91924188933801,43.03725151504837,51.09659715598361,22.056532555240512,28.645277447405192,27.665527710434834,11.865016142057357,9.464300444640175,6.635590416479729,2.6717044386883524,3.1486510460609454,4.475388839098495,8.041072166424101,13.57006218865441,13.914093585473863,14.963482566861307,16.359701986320275,15.602181719898661,15.449876274589736,15.45899578313726,15.952955605815617,15.840993443229435,17.26959076572987,15.820370955503618,15.893558680311541,16.12199376977271,15.841432072046537,15.26386193367643,14.895685476733368,15.078622829474805,15.368508562630094,15.10437346198931,14.042095362717001,13.334847431874307,14.307571408736854
7,0.09342077079088695,3.0,0.0,0.0,0.005163914037566186,1.7490285476176084,32.59020630253985,10.898810827200963,13.430105452988146,47.855063362698246,29.35378013329025,30.751460461979878,15.2313192944229,15.302910179479927,15.856887718468064,9.195674225219195,6.9870013620739835,4.189545561690379,1.768472833745979,1.7490275616437956,2.8241152223767916,5.190571510082951,7.513530466233797,8.86685694990197,9.540860820131021,10.054150137986834,9.940067227232625,10.260214454217273,10.248781349384796,10.738579724726968,11.196349102114887,10.321832423423121,10.153830667298424,11.060895133433727,10.956386373030053,10.24185851215932,9.864414031072856,9.697482456653857,9.481761739644698,9.270101022693222,9.18246986770433,9.211746293819877,8.86185545442968,7.6368612701084775
8,0.10293771644900757,3.0,0.0,0.0,0.007099991020995219,1.9679775152111993,37.23017487042996,12.06083076230567,13.983186323931049,52.45930297337505,32.38023943429267,35.363021917078164,17.157164032192966,19.059311034525486,19.35765095002735,10.10749661302719,6.980772387378318,4.517414070799345,2.083582862262885,2.2318970883599754,3.4524754302434686,6.079176330628873,8.777880074219388,10.784045085183793,12.005810190928766,12.275816975591294,11.869742489571683,12.137661253541854,12.205826001607953,11.658460345832717,11.637063499396701,12.060564045732052,11.626372448781176,12.00522721387226,12.104819563885163,11.764908239875515,11.321271560280083,10.923017374101846,10.643253813894036,10.474480351721695,10.3939460791184,10.341314837439436,10.098612434123599,9.43792037664036
9,0.0764454331097109,10.0,0.0,0.0,0.008725751016726352,2.5988440455363273,46.2076586315567,16.658641689173592,19.52918080013404,65.5921103901301,45.47691889311476,43.44328507090355,24.217229770330377,21.241548995125154,22.749780606871933,17.035772471602332,10.574964287621853,5.673132794686816,3.391823927981259,3.32439530870604,4.309088989228769,7.138192952232723,11.221476010666322,13.702812979658063,14.715951785441753,14.67696373238332,14.178923791442894,14.212866787293168,14.505592873831327,15.699700780912256,16.501541736507306,15.853387312969312,15.018322366302264,15.661477679041646,15.910551781893437,15.500585421936332,14.878927968163994,14.316332323936601,13.970799850061585,13.822481442840495,13.818386140879085,13.844344355448415,13.523922102505479,12.471719990012446
