energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.005187551550986061,0.0023219397000669986,0.006802703658867857
7.0,1.840926778412555,1.5941946011558676,2.1537516806937886
8.0,32.08926589292167,26.943101472958066,37.7299822894407
9.0,11.81154014916472,10.094755703323,14.577238456692825
10.0,13.89384595933903,12.04115088959041,16.27445944344753
11.0,46.477576984178036,36.570697158959824,55.936677825681905
12.0,30.16116207719238,25.950167341451266,35.56899373758098
14.0,31.44543366686475,26.757514235452433,36.69315010670973
16.0,16.55133574875753,14.039765534217867,19.727917850450236
18.0,16.326579773147373,13.978513518416813,18.957055904789442
20.0,16.524642429598543,13.90195405930264,19.221101583803808
22.0,10.043930284753,8.3484944345714,12.398159867138961
24.0,6.803976075552612,5.881397736512112,8.09606323904569
26.0,4.1747770858101125,3.5719728703248106,4.942428733689985
28.0,2.0948964517979336,1.7411648976909777,2.586892964090483
30.0,2.0886573628239034,1.7760068137878349,2.4974622855472446
35.0,3.076203695651559,2.6267655917412904,3.626985870013401
40.0,5.372594047875902,4.6065658871219695,6.252254324768588
45.0,8.177170724593104,7.021541044315842,9.485633156137329
50.0,9.675380798776256,8.325878450423325,11.264352010369965
55.0,10.390084519234627,8.963585523157777,12.067917355273638
60.0,10.707660033095253,9.173444538210656,12.450894250266105
65.0,10.534193045548857,9.080547678541766,12.283574598429912
70.0,10.63499513861455,9.119475306514882,12.376224175109327
75.0,10.430890618799577,8.996076893859,12.363461480862625
80.0,10.697423701140437,9.189944507465126,12.500156538249461
85.0,10.956203583248799,9.38289396484216,12.735478921415416
90.0,10.700208993320095,9.167114484858347,12.406907547215969
95.0,10.364866195798356,8.88826833082487,12.048662230954188
100.0,10.78785395799154,9.223452283049028,12.484953304456392
105.0,10.95682678948653,9.34981921296383,12.636368230411255
110.0,10.707240764388892,9.223707753789373,12.462196977206371
115.0,10.422686007907998,8.966626448911716,12.10780241875003
120.0,10.101978401542262,8.745612242859861,11.776848861976626
125.0,9.810544523410819,8.51851886362821,11.458606965362483
130.0,9.586559303057566,8.305395593857034,11.18378102013287
135.0,9.484421075739094,8.218115375215389,11.021691832630157
140.0,9.419845660210637,8.123500138717766,10.931938570417858
145.0,9.265350777993518,7.993941580009425,10.740358033318742
150.0,8.920303742271173,7.520439814260864,10.470362784567099
