replica_id,distance_D,smoothing_lambda,sigma_5_MeV_mb,sigma_5.5_MeV_mb,sigma_6_MeV_mb,sigma_7_MeV_mb,sigma_8_MeV_mb,sigma_9_MeV_mb,sigma_10_MeV_mb,sigma_11_MeV_mb,sigma_12_MeV_mb,sigma_14_MeV_mb,sigma_16_MeV_mb,sigma_18_MeV_mb,sigma_20_MeV_mb,sigma_22_MeV_mb,sigma_24_MeV_mb,sigma_26_MeV_mb,sigma_28_MeV_mb,sigma_30_MeV_mb,sigma_35_MeV_mb,sigma_40_MeV_mb,sigma_45_MeV_mb,sigma_50_MeV_mb,sigma_55_MeV_mb,sigma_60_MeV_mb,sigma_65_MeV_mb,sigma_70_MeV_mb,sigma_75_MeV_mb,sigma_80_MeV_mb,sigma_85_MeV_mb,sigma_90_MeV_mb,sigma_95_MeV_mb,sigma_100_MeV_mb,sigma_105_MeV_mb,sigma_110_MeV_mb,sigma_115_MeV_mb,sigma_120_MeV_mb,sigma_125_MeV_mb,sigma_130_MeV_mb,sigma_135_MeV_mb,sigma_140_MeV_mb,sigma_145_MeV_mb,sigma_150_MeV_mb
0,0.0640313225523318,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.206159477504639,8.729266845374203,15.333928220488627,26.171946002595387,40.340172458156616,53.883206210173135,62.94917953722114,66.79124507227542,68.78690792932139,69.64271190738816,68.93331673949646,65.982574717225,62.70175522400719,60.792647225995026,60.010432968151456,59.680900181180014,58.98349483231786,58.65154498034664,57.8796619714086,55.673732279213205,52.6427295388315,50.47818563596333,49.270673186863945,48.52187714677578,47.78521713224671,46.85635545593689,45.64132201549628,44.22209046489834,42.714922318444216,41.22704673417215,39.86616457665508,38.72932908661204
1,0.0982582590865542,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.773957089229809,9.888956188187166,17.484634123441108,30.545663955858817,48.30890917741058,65.06997299850313,75.68494157245908,79.5717584702042,81.80354689229578,82.43905134718176,81.26159428921498,77.37456884969103,72.93391887052202,71.52143183014749,72.47225935255082,73.35324472724052,71.51895210727152,69.55255183685261,68.26936869482665,66.72793522927113,64.19612399270196,61.25901707478481,59.11757728529805,57.61202067312092,56.31699480615972,55.035189238334176,53.66239908401905,52.22400604749982,50.77217349152029,49.3945885496504,48.33017031928456,47.839736065557815
2,0.11992964924809507,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.510274055066598,9.474378441872595,16.706100382022438,28.857036201667636,45.46888893191565,62.0962315570442,73.08186826444526,76.83618796437538,79.73960874588913,81.38849152699423,80.13878632738027,75.94477254110225,72.39890763883247,71.75243446976188,72.7528859619457,72.69928393236823,70.03915814378064,67.6179455567034,66.45221528310601,64.27530497725324,60.51079138299686,57.74302031861479,56.18895447145233,55.17629093062722,54.1319743271631,52.85411084163581,51.28788690265993,49.57315622143759,47.879995239090924,46.40007982714567,45.471725176191065,45.459617661280774
3,0.11502091865854432,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.118586588965791,8.931367135969861,16.037351643690986,27.582774013966883,42.3173776852245,56.06748367706359,65.27057415880118,68.57093250535809,69.57655279174966,70.58298892722331,69.46009709727652,67.07730318502585,64.85956159694234,63.78541702078686,63.66230460053891,62.624726662350255,60.352579073401216,58.91559285450538,57.86824970231443,56.25890187928909,54.04615196768691,51.71388366404053,49.85670076082059,48.359450305593256,46.984015043751626,45.63819701630729,44.29595010685979,43.04143410626822,41.97525765617702,41.21038459574676,40.94187205568651,41.394705952307646
4,0.10610007637225906,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652298178827197,9.841339056523935,17.725475321412954,31.40812565986822,49.72127831451408,65.85915637837931,75.21772892862683,78.82419682145262,80.80013202094163,81.3386950724971,79.31380782200385,75.91156444411776,73.51014848722251,73.0371966744349,72.44994034396909,71.09865819696462,69.3300366510501,67.44850598825238,65.93385088629593,63.68391630364847,60.547437511166876,58.799554692946835,57.72042394967412,56.546084973449794,54.9125023672439,53.06234897394004,51.304408492121446,49.73330527034344,48.38918126935244,47.31800544525021,46.60206217186518,46.33338525874287
5,0.11366548279311799,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.378584578577627,9.379824507628944,16.59012688661723,27.969340734747053,42.35450673878044,56.72707283893322,67.60611590659849,71.7655320043118,73.15933794486442,74.42997608273257,74.13348872490299,70.90851657460014,66.42238075354022,63.70004281654847,63.72914529203188,64.76979643858189,64.49629047010194,63.55171219408218,62.72137444209192,60.853089766812744,57.78820779018697,55.12388085894616,53.29892775237972,51.90585126345112,50.54550293972754,49.167866380864346,47.8028826359032,46.478307336834845,45.218681899662585,44.00808240756293,42.68690731849824,41.08037179425791
6,0.07210823823938389,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.338125297549341,9.941133039765397,18.501190338213053,32.4090901350842,49.84996178712665,64.94898163055271,75.16573948542433,79.47658219955672,81.86727972430198,82.26834347814031,80.76967726689904,78.26766833530291,75.44299707805946,74.16719814589544,73.37411786624118,72.76762147180082,71.37677747211968,70.43608862820021,69.21554496590467,66.28496060629816,62.809808036893514,60.3756209434209,58.94171616992067,57.90926365152729,56.763680062241676,55.36927825414567,53.71703449053607,51.915970100640386,50.09170190197687,48.36864223834119,46.91119485493982,45.87894314931217
7,0.08767510890403225,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.989251384071124,10.188281866042672,17.910861591931713,30.934987277183662,47.92395257515937,63.3903248636888,72.91061417155514,76.7581024017712,79.95983579252365,81.47655947220858,79.68086242719521,75.74927935705009,73.44350688954985,72.61926028941288,71.4612352826915,70.42805372778385,69.14777032843271,67.6826864646942,65.26266538002774,62.48471416826063,60.47642210465158,59.058622006921574,57.696106484378234,56.28291672024005,54.82617356837837,53.334289351707845,51.82405463239051,50.345179601043974,48.949877894966626,47.67608859146429,46.52617847692202,45.494423187539375
8,0.03919641083946003,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.496709085053124,9.755496529061299,17.605173689617356,30.38261896203835,47.23889021722755,63.23658514547036,73.904469709014,78.47828987980053,80.7444512558549,81.44430770117529,79.72090664795671,76.96986435601053,74.113934705118,72.27556566115085,70.935152100118,70.29623848202337,69.17835753673711,68.33786444003901,67.67160776627442,64.94822862368926,60.69389527796699,57.666483812367545,55.81155106203989,54.54602355195451,53.451394343881354,52.35512132013203,51.17750066827264,49.95679098119806,48.754822096551905,47.6228958248322,46.59008832711021,45.6785146812829
9,0.09853324339104622,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9950277914308123,8.524448145217614,15.37729733986515,26.960011929037247,41.90773495749364,55.4815429565329,64.49750365838058,68.7279320808377,71.8890617924195,72.40542989342082,71.4533569908925,68.61912677469772,65.48567303934426,63.80566409997894,63.23538334665561,63.27612901022696,62.69638454196968,61.986021964264026,60.64819547964808,58.05399847056589,54.68751475786264,51.66111728146233,49.554866477090115,48.120596618276664,47.02226347547744,46.08073207184133,45.183745491543796,44.31537970795448,43.48198141551572,42.70521009372351,42.06888881368665,41.668126307451196
