energy_MeV,sigma_nominal_mb,sigma_lower_16_mb,sigma_upper_84_mb
5.0,0.0,0.0,0.0
5.5,0.0,0.0,0.0
6.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
8.0,0.0,0.0,0.0
9.0,0.0,0.0,0.0
10.0,0.0,0.0,0.0
11.0,0.0,0.0,0.0
12.0,0.0,0.0,0.0
14.0,0.0,0.0,0.0
16.0,4.254215596799195,4.002775023509956,4.57620930313881
18.0,9.128282447025704,8.763527511886464,9.542069046252651
20.0,16.367430929967988,15.790382993602897,16.96414345951312
22.0,28.37854460774277,27.37944862621142,29.36207107606034
24.0,43.919992940506795,42.51133204282533,45.36117682301335
26.0,58.659889556325595,56.901344945390356,60.40196731375741
28.0,68.46266324359172,66.54868454705542,70.52841809108814
30.0,72.27891724651712,70.14390493487291,74.55582151215957
35.0,74.12374941618775,72.07157286608025,76.29017799353332
40.0,74.93664267023641,72.78822357650175,77.07493039108179
45.0,73.82040099263494,71.66072853048958,76.00407175714017
50.0,70.5708236634757,68.53443495681005,72.8668380299636
55.0,67.76749879537813,65.74815341003435,69.83229842419802
60.0,66.506811788704,64.50082730705772,68.51322535883234
65.0,65.92561908422852,63.94786765437579,67.9175847256915
70.0,65.54377167190538,63.49250065494352,67.64426685817497
75.0,64.42781011225696,62.37955217821063,66.52346534395674
80.0,63.4059675083357,61.18719240936979,65.4638519248138
85.0,62.01389223059054,60.00428073729663,64.0716422408138
90.0,59.48854173245858,57.57373338282013,61.36952824067881
95.0,56.46698637897559,54.668095652605665,58.26637518919017
100.0,54.233377964665635,52.56085289900119,55.993889779368715
105.0,52.71796776481035,51.10767626942362,54.502535133054
110.0,51.58706623850823,49.98417140524572,53.2940254845655
115.0,50.415800491250295,48.87895937220609,52.06707524543845
120.0,49.18093316655569,47.738299767744365,50.79236228469488
125.0,47.83247924375091,46.46270072615073,49.461843893604
130.0,46.5019333018079,45.13075679185848,48.12735594311476
135.0,45.22281910455534,43.896920173932415,46.76925103731265
140.0,44.01804187458926,42.68093332815317,45.47893622144523
145.0,42.97726556571665,41.561807054539585,44.33188245531566
150.0,42.1121856267136,40.38834541894137,43.64214149574574
