point_id,energy_MeV,sigma_inelastic_mb,residual_probability,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_interactions,cross_section_data_sets,model_counts,physics_list,geant4_version,stopping_condition
0,5.0,21.8064667506,0.0,0.0,,0.006532633621695445,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
1,5.5,29.6807830792,0.0,0.0,,0.008891567977471464,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
2,6.0,39.0699201443,0.0,0.0,,0.01170430207014567,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
3,7.0,62.4324711416,0.0,0.0,,0.018703096871661926,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
4,8.0,91.5419868779,0.0,0.0,,0.0274235284475381,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
5,9.0,125.395172479,0.0,0.0,,0.03756503651432094,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
6,10.0,162.494288645,0.0,0.0,,0.04867893847620243,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
7,11.0,201.095956723,0.0,0.0,,0.06024296476363078,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
8,12.0,239.477973824,0.0,0.0,,0.07174118949898747,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
9,14.0,310.0,0.0,0.0,,0.09286770048017372,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
10,16.0,365.0,0.0,0.0,,0.10934422798472067,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
11,18.0,413.333333333,0.0,0.0,,0.12382360064013176,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
12,20.0,440.0,0.0,0.0,,0.1318122200363756,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
13,22.0,450.0,0.0,0.0,,0.1348079523099296,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
14,24.0,440.0,0.0,0.0,,0.1318122200363756,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
15,26.0,432.5,0.0,0.0,,0.1295654208312101,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
16,28.0,426.666666667,0.0,0.0,,0.12781791033840348,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
17,30.0,420.0,0.0,0.0,,0.1258207554892676,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
18,35.0,385.0,0.0,0.0,,0.11533569253182865,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
19,40.0,370.0,0.0,0.0,,0.11084209412149766,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
20,45.0,340.0,0.1517,51.578,1.2196815123629612,,1517,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
