point_id,energy_MeV,sigma_inelastic_mb,residual_probability,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_interactions,cross_section_data_sets,model_counts,physics_list,geant4_version,stopping_condition
0,5.0,34.9899309325,0.0,0.0,,0.010482046534391535,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
1,5.5,47.5599011104,0.0,0.0,,0.014247673068346157,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
2,6.0,62.4132191736,0.0,0.0,,0.018697329497475226,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
3,7.0,98.6669780673,0.0,0.0,,0.029557985053025437,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
4,8.0,142.361144081,0.0,0.0,,0.04264758738235214,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
5,9.0,191.10004108,0.0,0.0,,0.05724845605408494,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
6,10.0,242.003064821,0.0,0.0,,0.07249763915832481,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
7,11.0,292.273899023,0.0569,16.6303848544087,0.6770566980131968,,569,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
8,12.0,339.627889995,0.0,0.0,,0.1017434231057066,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
9,14.0,420.0,0.0189,7.938,0.5719220362951579,,189,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
10,16.0,455.0,0.0172,7.826,0.5915727955205513,,172,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
11,18.0,476.666666667,0.0181,8.6276666666727,0.635459241730392,,181,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
12,20.0,490.0,0.0224,10.975999999999999,0.7251046423792914,,224,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
13,22.0,497.0,0.0236,11.7292,0.7544427259481001,,236,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
14,24.0,499.0,0.0214,10.6786,0.7221211049429312,,214,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
15,26.0,490.0,0.0212,10.388,0.7058476787522929,,212,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
16,28.0,474.0,0.0216,10.2384,0.6890701535721889,,216,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
17,30.0,462.0,0.0219,10.117799999999999,0.6761696327963863,,219,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
18,35.0,440.0,0.0201,8.844,0.6175065719488336,,201,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
19,40.0,425.0,0.0221,9.3925,0.6247874393543775,,221,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
20,45.0,400.0,0.1227,49.08,1.3123701307177027,,1227,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
21,50.0,377.0,0.1256,47.3512,1.2493704918301858,,1256,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
22,55.0,355.0,0.1191,42.280499999999996,1.149866810537203,,1191,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
23,60.0,333.0,0.1244,41.4252,1.099024312968553,,1244,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
24,65.0,318.0,0.1249,39.718199999999996,1.0513254581127578,,1249,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
25,70.0,303.0,0.1302,39.4506,1.019665727561734,,1302,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
26,75.0,293.5,0.1206,35.3961,0.9558175272922128,,1206,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
27,80.0,284.0,0.1277,36.2668,0.9478655188242687,,1277,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
28,85.0,279.0,0.1189,33.173100000000005,0.9030415459097106,,1189,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
29,90.0,274.0,0.1211,33.1814,0.8939070585939011,,1211,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
30,95.0,272.0,0.1189,32.3408,0.8803845895607215,,1189,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
31,100.0,270.0,0.1253,33.830999999999996,0.8938586822870828,,1253,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
32,105.0,269.5,0.1281,34.522949999999994,0.9006720240074907,,1281,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
33,110.0,269.0,0.1208,32.495200000000004,0.8766567616211033,,1208,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
34,115.0,268.5,0.1207,32.40795,0.8747147736146624,,1207,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
35,120.0,268.0,0.1217,32.6156,0.8761965211435161,,1217,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
36,125.0,264.5,0.1252,33.1154,0.8753509914794179,,1252,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
37,130.0,261.0,0.1233,32.1813,0.8581190611045766,,1233,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
38,135.0,257.5,0.1259,32.419250000000005,0.8542218157151864,,1259,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
39,140.0,254.0,0.1242,31.5468,0.8377163368205254,,1242,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
40,145.0,253.0,0.1246,31.5238,0.8355699512045656,,1246,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
41,150.0,252.0,0.1209,30.4668,0.8215477891005489,,1209,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
