point_id,energy_MeV,sigma_inelastic_mb,residual_probability,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_interactions,cross_section_data_sets,model_counts,physics_list,geant4_version,stopping_condition
0,5.0,44.2621977084,0.0,0.0,,0.013259769417348138,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,below_threshold
1,5.5,60.0494495023,0.0,0.0,,0.017989207388319075,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
2,6.0,78.523013502,0.0,0.0,,0.02352339257646572,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
3,7.0,122.727135684,0.0,0.0,,0.03676576412093984,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
4,8.0,174.287367787,0.0,0.0,,0.052211829255229006,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
5,9.0,229.601874735,0.0,0.0,,0.06878257462121402,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
6,10.0,284.959739049,0.0,0.0,,0.08536630869326127,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
7,11.0,337.282730726,0.0,0.0,,0.10104087617482985,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
8,12.0,384.487523218,0.0,0.0,,0.11518216820830018,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
9,14.0,460.0,0.0,0.0,,0.13780368458348358,0,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
10,16.0,497.5,0.0005,0.24875,0.11121656730788809,,5,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
11,18.0,518.333333333,0.0016,0.8293333333328001,0.20716740026673633,,16,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
12,20.0,535.0,0.0082,4.3870000000000005,0.4824727174670087,,82,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
13,22.0,537.0,0.0186,9.988199999999999,0.7255273434378611,,186,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
14,24.0,533.666666667,0.0316,16.8638666666772,0.9335573636456888,,316,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
15,26.0,526.0,0.041,21.566000000000003,1.0430064066917324,,410,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
16,28.0,513.333333333,0.2017,103.5393333332661,2.059849449934264,,2017,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
17,30.0,500.0,0.2133,106.64999999999999,2.048188895097325,,2133,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
18,35.0,460.0,0.2153,99.038,1.89073939388801,,2153,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
19,40.0,432.0,0.2088,90.2016,1.7558690884413906,,2088,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
20,45.0,405.0,0.2144,86.83200000000001,1.6621421051161662,,2144,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
21,50.0,390.0,0.2032,79.24799999999999,1.5692824632933358,,2032,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
22,55.0,370.0,0.2024,74.888,1.4866185608958338,,2024,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
23,60.0,350.0,0.1951,68.285,1.3869718373132165,,1951,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
24,65.0,335.0,0.193,64.655,1.3220875907064553,,1930,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
25,70.0,320.0,0.1964,62.848,1.2712784469186913,,1964,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
26,75.0,315.0,0.1893,59.6295,1.2340022378322497,,1893,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
27,80.0,310.0,0.1952,60.512,1.2286992250343451,,1952,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
28,85.0,307.0,0.189,58.023,1.2019314652258672,,1890,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
29,90.0,304.0,0.1914,58.185599999999994,1.1959455820663412,,1914,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
30,95.0,298.5,0.1878,56.058299999999996,1.1657988484773005,,1878,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
31,100.0,293.0,0.1993,58.3949,1.1704589422098495,,1993,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
32,105.0,291.5,0.1868,54.4522,1.1361238583517204,,1868,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
33,110.0,290.0,0.1937,56.173,1.1460699835088606,,1937,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
34,115.0,288.5,0.1864,53.7764,1.1235030130373485,,1864,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
35,120.0,287.0,0.1859,53.353300000000004,1.1165044773358503,,1859,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
36,125.0,286.0,0.1848,52.852799999999995,1.1100667697107232,,1848,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
37,130.0,285.0,0.1867,53.2095,1.110560966797861,,1867,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
38,135.0,284.0,0.1919,54.499599999999994,1.1183773960448236,,1919,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
39,140.0,283.0,0.1847,52.2701,1.0981928312454967,,1847,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
40,145.0,281.0,0.1793,50.3833,1.0779253397666277,,1793,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
41,150.0,279.0,0.184,51.336,1.0810808991005252,,1840,10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,pilot_interactions
