target,target_z,target_a,energy_MeV,n_interactions,n_c11,n_n13,n_o15,sigma_inelastic_mb,n_secondaries,n_nuclei,residual_counts,cross_section_data_sets,model_counts,physics_list,geant4_version,seed,batch_count,seeds,stopping_condition
C12,6,12,5,10000,0,0,0,21.8064667506,20000,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4665000,1,4665000,below_threshold
C12,6,12,5.5,10000,0,0,0,29.6807830792,20000,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4665500,1,4665500,below_threshold
C12,6,12,6,10000,0,0,0,39.0699201443,20000,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4666000,1,4666000,below_threshold
C12,6,12,7,10000,0,0,0,62.4324711416,27384,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4667000,1,4667000,below_threshold
C12,6,12,8,10000,0,0,0,91.5419868779,27584,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4668000,1,4668000,below_threshold
C12,6,12,9,10000,0,0,0,125.395172479,20000,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4669000,1,4669000,below_threshold
C12,6,12,10,10000,0,0,0,162.494288645,20000,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4670000,1,4670000,below_threshold
C12,6,12,11,10000,0,0,0,201.095956723,29087,10000,6-12:10000,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4671000,1,4671000,below_threshold
C12,6,12,12,10000,0,0,0,239.477973824,40006,20428,2-4:15642|6-12:4786,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4672000,1,4672000,below_threshold
C12,6,12,14,10000,0,0,0,310,40009,29624,2-4:29436|6-12:188,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4674000,1,4674000,below_threshold
C12,6,12,16,10000,0,0,0,365,40048,29698,2-4:29547|6-12:151,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4676000,1,4676000,below_threshold
C12,6,12,18,10000,0,0,0,413.333333333,40017,29842,2-4:29763|6-12:79,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4678000,1,4678000,pilot_interactions
C12,6,12,20,10000,0,0,0,440,40050,29872,2-4:29808|6-12:64,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4680000,1,4680000,pilot_interactions
C12,6,12,22,10000,0,0,0,450,40022,29834,2-4:29751|6-12:83,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4682000,1,4682000,pilot_interactions
C12,6,12,24,10000,0,0,0,440,40044,29858,2-4:29787|6-12:71,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4684000,1,4684000,pilot_interactions
C12,6,12,26,10000,0,0,0,432.5,39996,29842,2-4:29763|6-12:79,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4686000,1,4686000,pilot_interactions
C12,6,12,28,10000,0,0,0,426.666666667,40040,29870,2-4:29805|6-12:65,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4688000,1,4688000,pilot_interactions
C12,6,12,30,10000,0,0,0,420,40050,29870,2-4:29805|6-12:65,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4690000,1,4690000,pilot_interactions
C12,6,12,35,10000,0,0,0,385,40041,29872,2-4:29808|6-12:64,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4695000,1,4695000,pilot_interactions
C12,6,12,40,10000,0,0,0,370,40013,29846,2-4:29769|6-12:77,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4700000,1,4700000,pilot_interactions
C12,6,12,45,10000,1517,0,0,340,40528,23881,1-2:8|1-3:20|2-3:395|2-4:20167|3-6:2|3-7:83|4-10:6|4-7:320|5-10:216|5-11:413|5-8:56|6-10:10|6-11:1517|6-12:623|7-12:45,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4705000,1,4705000,pilot_interactions
C12,6,12,50,10000,1550,0,0,320,41248,23476,1-2:77|1-3:49|2-3:520|2-4:19233|3-6:41|3-7:117|4-10:7|4-7:452|5-10:282|5-11:481|5-8:61|6-10:29|6-11:1550|6-12:550|7-12:27,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4710000,1,4710000,pilot_interactions
C12,6,12,55,10000,1634,0,0,304,41989,22971,1-2:174|1-3:77|2-3:706|2-4:18118|3-6:87|3-7:134|4-10:11|4-7:505|4-9:4|5-10:404|5-11:482|5-8:44|6-10:36|6-11:1634|6-12:534|7-12:21,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4715000,1,4715000,pilot_interactions
C12,6,12,60,10000,1611,0,0,288,42765,22765,1-2:304|1-3:95|2-3:860|2-4:17437|3-6:144|3-7:168|4-10:16|4-6:1|4-7:587|4-9:6|5-10:492|5-11:456|5-8:41|6-10:56|6-11:1611|6-12:474|7-12:17,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4720000,1,4720000,pilot_interactions
C12,6,12,65,10000,1743,0,0,275.5,43325,22207,1-2:453|1-3:123|2-3:778|2-4:16465|2-6:1|3-6:202|3-7:144|4-10:24|4-6:1|4-7:660|4-9:4|5-10:488|5-11:574|5-8:41|6-10:76|6-11:1743|6-12:410|7-12:20,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4725000,1,4725000,pilot_interactions
C12,6,12,70,10000,1682,0,0,263,44057,22134,1-2:614|1-3:143|2-3:839|2-4:16069|3-6:264|3-7:163|4-10:19|4-6:2|4-7:714|4-9:5|5-10:577|5-11:491|5-8:40|6-10:117|6-11:1682|6-12:384|7-12:11,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4730000,1,4730000,pilot_interactions
C12,6,12,75,10000,1734,0,0,256,44628,21786,1-2:723|1-3:181|2-3:822|2-4:15471|2-6:6|3-6:312|3-7:146|4-10:41|4-6:2|4-7:635|4-9:11|5-10:581|5-11:549|5-8:42|6-10:137|6-11:1734|6-12:372|7-12:21,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4735000,1,4735000,pilot_interactions
C12,6,12,80,10000,1680,0,0,249,45275,21633,1-2:813|1-3:178|2-3:807|2-4:15146|2-6:4|3-6:362|3-7:199|4-10:49|4-6:2|4-7:668|4-9:11|5-10:652|5-11:529|5-8:28|6-10:159|6-11:1680|6-12:331|7-12:15,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4740000,1,4740000,pilot_interactions
C12,6,12,85,10000,1580,0,0,241.5,45791,21710,1-2:892|1-3:175|2-3:840|2-4:15199|2-6:2|3-6:400|3-7:183|4-10:51|4-6:1|4-7:657|4-9:16|5-10:663|5-11:518|5-8:37|6-10:193|6-11:1580|6-12:294|7-12:9,BarashenkovGlauberGribov,Binary Cascade:10000,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,4745000,1,4745000,pilot_interactions
