target,target_z,target_a,energy_MeV,areal_mg_cm2,density_g_cm3,thickness_mm,nuclear_areal_density_cm2,n_protons,n_inelastic,n_c11,n_n13,n_o15,mean_continuous_loss_MeV,mean_inelastic_energy_MeV,mean_c11_energy_MeV,mean_n13_energy_MeV,mean_o15_energy_MeV,physics_list,geant4_version,seed,threads,batch_count,stopping_condition
C12,6,12,5,5,2,0.025,2.50922531667e+20,100000,0,0,0,0,0.370793787857,0.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3665000,8,1,below_threshold
C12,6,12,5.5,5,2,0.025,2.50922531667e+20,100000,0,0,0,0,0.342025310745,0.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3665500,8,1,below_threshold
C12,6,12,6,5,2,0.025,2.50922531667e+20,100000,2,0,0,0,0.317848410763,6.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3666000,8,1,below_threshold
C12,6,12,7,5,2,0.025,2.50922531667e+20,100000,1,0,0,0,0.279409265123,7.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3667000,8,1,below_threshold
C12,6,12,8,5,2,0.025,2.50922531667e+20,100000,3,0,0,0,0.249987388078,8.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3668000,8,1,below_threshold
C12,6,12,9,10,2,0.05,5.01845063333e+20,100000,6,0,0,0,0.458096558941,9.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3669000,8,1,below_threshold
C12,6,12,10,10,2,0.05,5.01845063333e+20,100000,10,0,0,0,0.419005167748,10.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3670000,8,1,below_threshold
C12,6,12,11,10,2,0.05,5.01845063333e+20,100000,9,0,0,0,0.3863145568660001,11.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3671000,8,1,below_threshold
C12,6,12,12,10,2,0.05,5.01845063333e+20,100000,9,0,0,0,0.35926319748,12.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3672000,8,1,below_threshold
C12,6,12,14,10,2,0.05,5.01845063333e+20,100000,12,0,0,0,0.316078159517,14.0,0.0,0.0,0.0,QGSP_BIC_HP,$Name: geant4-11-04-patch-01 [MT]$,3674000,8,1,below_threshold
