point_id,energy_MeV,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,interaction_count,n_protons
0,5.0,0.0,,119.38873140055975,0,100000
1,5.5,0.0,,119.38873140055975,0,100000
2,6.0,79.70587522423877,56.360564871468064,,2,100000
3,7.0,39.85293761211938,39.85293761211938,,1,100000
4,8.0,119.55881283635816,69.02731277506346,,3,100000
5,9.0,119.55881283659639,48.80968095042943,,6,100000
6,10.0,199.26468806099396,63.013027151570206,,10,100000
7,11.0,179.33821925489457,59.779406418298194,,9,100000
8,12.0,179.33821925489457,59.779406418298194,,9,100000
9,14.0,239.11762567319278,69.027312775201,,12,100000
10,16.0,398.5293761219879,89.11387760393465,,20,100000
11,18.0,278.97056328539156,74.55801920066233,,14,100000
12,20.0,498.1617201504996,70.45070608919468,,50,100000
13,22.0,488.1984857474896,69.74264082106994,,49,100000
14,24.0,438.3823137324396,66.08862042628944,,44,100000
15,26.0,627.6837673896295,79.08072145262256,,63,100000
16,28.0,498.1617201504996,70.45070608919468,,50,100000
17,30.0,358.6764385083597,59.77940641805995,,36,100000
18,35.0,328.78673529932973,57.23442419023381,,33,100000
19,40.0,398.52937612039966,63.01302715131907,,40,100000
20,45.0,308.86026649484836,39.22529307015843,,62,100000
21,50.0,403.5109933239148,44.834554813768314,,81,100000
22,55.0,333.7683525024974,40.776294168949526,,67,100000
23,60.0,373.6212901147359,43.142070484543616,,75,100000
24,65.0,368.6396729113697,60.603988907207324,,37,100000
25,70.0,318.823500897908,39.8529376122385,,64,100000
26,75.0,255.7230163447724,29.14234235664768,,77,100000
27,80.0,282.2916414195539,30.618827505761878,,85,100000
28,85.0,303.8786492933186,38.90767413373923,,61,100000
29,90.0,262.3651726134678,29.51838813317804,,79,100000
30,95.0,209.2279224639047,26.360240484295065,,63,100000
31,100.0,242.43870380738161,28.37530401835885,,73,100000
32,105.0,278.97056328520625,30.43818387902205,,84,100000
33,110.0,241.60843427359407,24.531619720363178,,97,100000
34,115.0,185.98037552347083,24.852673066870935,,56,100000
35,120.0,245.7597819417293,28.56899434892195,,74,100000
