point_id,energy_MeV,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_protons,areal_mg_cm2,mean_interaction_energy_MeV,mean_continuous_loss_MeV,inelastic_probability,stopping_condition
0,5.0,0.0,,119.38873140055975,0,100000,5.0,0.0,0.370793787857,0.0,below_threshold
1,5.5,0.0,,119.38873140055975,0,100000,5.0,0.0,0.342025310745,0.0,below_threshold
2,6.0,0.0,,119.38873140055975,0,100000,5.0,0.0,0.317848410763,2e-05,below_threshold
3,7.0,0.0,,119.38873140055975,0,100000,5.0,0.0,0.279409265123,1e-05,below_threshold
4,8.0,0.0,,119.38873140055975,0,100000,5.0,0.0,0.249987388078,3e-05,below_threshold
5,9.0,0.0,,59.694365700398826,0,100000,10.0,0.0,0.458096558941,6e-05,below_threshold
6,10.0,0.0,,59.694365700398826,0,100000,10.0,0.0,0.419005167748,0.0001,below_threshold
7,11.0,0.0,,59.694365700398826,0,100000,10.0,0.0,0.3863145568660001,9e-05,below_threshold
8,12.0,0.0,,59.694365700398826,0,100000,10.0,0.0,0.35926319748,9e-05,below_threshold
9,14.0,0.0,,59.694365700398826,0,100000,10.0,0.0,0.316078159517,0.00012,below_threshold
10,16.0,0.0,,59.694365700398826,0,100000,10.0,0.0,0.282899302857,0.0002,below_threshold
11,18.0,0.0,,59.694365700398826,0,100000,10.0,0.0,0.256491350721,0.00014,proton_cap
12,20.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.47228185895,0.0005,proton_cap
13,22.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.436338124541,0.00049,proton_cap
14,24.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.405761240644,0.00044,proton_cap
15,26.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.379633237863,0.00063,proton_cap
16,28.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.356936758465,0.0005,proton_cap
17,30.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.337217020694,0.00036,proton_cap
18,35.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.296536819029,0.00033,proton_cap
19,40.0,0.0,,29.84718285008046,0,100000,20.0,0.0,0.266067648392,0.0004,proton_cap
20,45.0,0.0,,14.923591425114575,0,100000,40.0,0.0,0.485974575126,0.00062,proton_cap
21,50.0,44.834554813768314,14.944851604589438,,9,100000,40.0,50.0,0.444816325212,0.00081,proton_cap
22,55.0,49.81617201529812,15.753256787908246,,10,100000,40.0,55.0,0.412532936766,0.00067,proton_cap
23,60.0,44.834554813768314,14.944851604589438,,9,100000,40.0,60.0,0.385262258164,0.00075,proton_cap
24,65.0,39.852937612039966,19.926468806019983,,4,100000,20.0,65.0,0.180866072459,0.00037,proton_cap
25,70.0,69.74264082141737,18.639504800184152,,14,100000,40.0,70.0,0.341471053535,0.00064,proton_cap
26,75.0,39.85293761217232,11.504552129192525,,12,100000,60.0,75.0,0.485797875102,0.00077,proton_cap
27,80.0,63.100484552606176,14.476243971224193,,19,100000,60.0,80.0,0.462047013262,0.00085,proton_cap
28,85.0,54.79778921682794,16.52215510665467,,11,100000,40.0,85.0,0.293980587783,0.00061,proton_cap
29,90.0,69.74264082130156,15.219091939511024,,21,100000,60.0,90.0,0.42241895429100007,0.00079,proton_cap
30,95.0,39.85293761217232,11.504552129192525,,12,100000,60.0,95.0,0.405611518418,0.00063,proton_cap
31,100.0,49.8161720152154,12.862480305782215,,15,100000,60.0,100.0,0.390406704991,0.00073,proton_cap
32,105.0,26.568625074781547,9.393427478590489,,8,100000,60.0,105.0,0.376374475999,0.00084,proton_cap
33,110.0,22.417277406828315,7.472425802276105,,9,100000,80.0,110.0,0.485362746911,0.00097,proton_cap
34,115.0,36.531859477824625,11.01477007108482,,11,100000,60.0,115.0,0.35197710186500003,0.00056,proton_cap
35,120.0,33.21078134347693,10.502171191921391,,10,100000,60.0,120.0,0.341112128726,0.00074,proton_cap
