point_id,energy_MeV,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,interaction_count,n_protons
0,5.0,0.0,,139.2868533010231,0,100000
1,5.5,46.49509388092947,46.49509388092947,,1,100000
2,6.0,46.49509388092947,46.49509388092947,,1,100000
3,7.0,92.99018776185893,65.75399235022076,,2,100000
4,8.0,92.99018776164277,46.495093880821386,,4,100000
5,9.0,162.73282858287484,61.507227796627205,,7,100000
6,10.0,278.9705632849283,80.53186490426744,,12,100000
7,11.0,325.4656571657497,86.9843557339616,,14,100000
8,12.0,371.9607510465711,92.99018776164277,,16,100000
9,14.0,371.9607510465711,92.99018776164277,,16,100000
10,16.0,441.7033918678032,101.3337077984684,,19,100000
11,18.0,395.2082979869818,95.85209157181797,,17,100000
12,20.0,476.57471227897315,74.4284656375873,,41,100000
13,22.0,499.82225921941085,76.22217995137268,,43,100000
14,24.0,348.71320410656574,63.66602932968973,,30,100000
15,26.0,557.9411265705052,80.53186490436104,,48,100000
16,28.0,418.45584492787884,69.74264082131315,,36,100000
17,30.0,476.57471227897315,74.4284656375873,,41,100000
18,35.0,360.3369775767846,64.7184316890936,,31,100000
19,40.0,383.5845245172223,66.77349488883897,,33,100000
20,45.0,371.96075104700344,65.75399235014434,,32,100000
21,50.0,482.386599015204,52.94880806984736,,83,100000
22,55.0,616.0599939215995,84.62234819129684,,53,100000
23,60.0,337.0894306363469,62.595935817926296,,29,100000
24,65.0,470.7628255449581,52.30698061610646,,81,100000
25,70.0,302.21811022639287,41.91011126134951,,52,100000
26,75.0,366.1488643127452,46.130420847631264,,63,100000
27,80.0,371.96075104786814,46.49509388098352,,64,100000
28,85.0,273.1586765507782,39.844288032655385,,47,100000
29,90.0,290.59433675558404,33.55494371016344,,75,100000
30,95.0,286.7197455988429,33.33049340709405,,74,100000
31,100.0,249.91112961028642,38.11108997577494,,43,100000
32,105.0,317.71647485277185,35.085915177112206,,82,100000
33,110.0,255.72301634491393,31.477327359627733,,66,100000
34,115.0,286.7197455988429,33.33049340709405,,74,100000
35,120.0,267.3467898148783,27.872829614144635,,92,100000
