point_id,energy_MeV,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,residual_count,n_protons,areal_mg_cm2,mean_interaction_energy_MeV,mean_continuous_loss_MeV,inelastic_probability,stopping_condition
0,5.0,0.0,,139.2868533010231,0,100000,5.0,0.0,0.359062751243,0.0,proton_cap
1,5.5,0.0,,139.2868533010231,0,100000,5.0,0.0,0.332306657826,1e-05,proton_cap
2,6.0,0.0,,139.2868533010231,0,100000,5.0,0.0,0.309659131855,1e-05,proton_cap
3,7.0,0.0,,139.2868533010231,0,100000,5.0,0.0,0.27324167621,2e-05,proton_cap
4,8.0,0.0,,69.64342665034965,0,100000,10.0,0.0,0.497146669448,4e-05,proton_cap
5,9.0,0.0,,69.64342665034965,0,100000,10.0,0.0,0.44960207239000005,7e-05,proton_cap
6,10.0,0.0,,69.64342665034965,0,100000,10.0,0.0,0.41225758692,0.00012,proton_cap
7,11.0,23.247546940410693,23.247546940410693,,1,100000,10.0,11.0,0.38091902846,0.00014,proton_cap
8,12.0,0.0,,69.64342665034965,0,100000,10.0,0.0,0.354924289384,0.00016,proton_cap
9,14.0,0.0,,69.64342665034965,0,100000,10.0,0.0,0.312522861025,0.00016,proton_cap
10,16.0,23.247546940410693,23.247546940410693,,1,100000,10.0,16.0,0.280215125477,0.00019,proton_cap
11,18.0,0.0,,69.64342665034965,0,100000,10.0,0.0,0.25380946018,0.00017,proton_cap
12,20.0,0.0,,34.8217133252153,0,100000,20.0,0.0,0.468755723005,0.00041,proton_cap
13,22.0,11.623773470218858,11.623773470218858,,1,100000,20.0,22.0,0.43295197706099997,0.00043,proton_cap
14,24.0,11.623773470218858,11.623773470218858,,1,100000,20.0,24.0,0.402701393119,0.0003,proton_cap
15,26.0,0.0,,34.8217133252153,0,100000,20.0,0.0,0.37687691002,0.00048,proton_cap
16,28.0,23.247546940437715,16.438498087536086,,2,100000,20.0,28.0,0.354587068607,0.00036,proton_cap
17,30.0,0.0,,34.8217133252153,0,100000,20.0,0.0,0.335205603991,0.00041,proton_cap
18,35.0,11.623773470218858,11.623773470218858,,1,100000,20.0,35.0,0.29503566203,0.00031,proton_cap
19,40.0,11.623773470218858,11.623773470218858,,1,100000,20.0,40.0,0.26509273842,0.00033,proton_cap
20,45.0,0.0,,34.8217133252153,0,100000,20.0,0.0,0.241109542719,0.00032,proton_cap
21,50.0,46.49509388098352,16.4384980875743,,8,100000,40.0,50.0,0.443684040246,0.00083,proton_cap
22,55.0,92.99018776175086,32.87699617507217,,8,100000,20.0,55.0,0.20570413217100003,0.00053,proton_cap
23,60.0,11.623773470218858,11.623773470218858,,1,100000,20.0,60.0,0.191933515271,0.00029,proton_cap
24,65.0,46.49509388098352,16.4384980875743,,8,100000,40.0,65.0,0.360758406026,0.00081,proton_cap
25,70.0,11.62377347024588,8.21924904378715,,2,100000,40.0,70.0,0.34037963261100007,0.00052,proton_cap
26,75.0,63.93075408635234,19.27584762444645,,11,100000,40.0,75.0,0.323047656534,0.00063,proton_cap
27,80.0,40.68320714586058,15.37680694921042,,7,100000,40.0,80.0,0.30751047126,0.00064,proton_cap
28,85.0,46.49509388098352,16.4384980875743,,8,100000,40.0,85.0,0.293639500398,0.00047,proton_cap
29,90.0,27.122138097187843,10.251204632787088,,7,100000,60.0,90.0,0.4214812220529999,0.00075,proton_cap
30,95.0,42.620502724152324,12.850565082939404,,11,100000,60.0,95.0,0.404422497598,0.00074,proton_cap
31,100.0,29.0594336756147,12.995773817264208,,5,100000,40.0,100.0,0.259787695304,0.00043,proton_cap
32,105.0,38.7459115674112,12.252533057248405,,10,100000,60.0,105.0,0.376497568618,0.00082,proton_cap
33,110.0,23.24754694044672,9.490771295915783,,6,100000,60.0,110.0,0.36311106196,0.00066,proton_cap
34,115.0,38.7459115674112,12.252533057248405,,10,100000,60.0,115.0,0.351498304865,0.00074,proton_cap
35,120.0,17.43566020531815,7.118078471929941,,6,100000,80.0,120.0,0.45398275494100004,0.00092,proton_cap
