point_id,energy_MeV,sigma_mb,sigma_unc_stat_mb,sigma_upper_95_mb,interaction_count,n_protons
0,5.0,0.0,,159.18497520095778,0,100000
1,5.5,53.137250149563094,53.137250149563094,,1,100000
2,6.0,106.27450029912619,75.14741982872391,,2,100000
3,7.0,106.27450029912619,75.14741982872391,,2,100000
4,8.0,318.82350089737855,92.0364170335402,,12,100000
5,9.0,318.82350089737855,92.0364170335402,,12,100000
6,10.0,239.11762567303393,79.70587522434464,,9,100000
7,11.0,318.82350089737855,92.0364170335402,,12,100000
8,12.0,239.11762567303393,79.70587522434464,,9,100000
9,14.0,292.254875822597,88.11816056867856,,11,100000
10,16.0,584.509751645194,124.61789776759532,,22,100000
11,18.0,571.2254391078033,87.11106280155431,,43,100000
12,20.0,650.9313143321478,92.99018776173541,,49,100000
13,22.0,504.8038764208494,81.89000222530801,,38,100000
14,24.0,464.95093880867705,78.59105283483431,,35,100000
15,26.0,464.95093880867705,78.59105283483431,,35,100000
16,28.0,464.95093880867705,78.59105283483431,,35,100000
17,30.0,438.3823137338955,76.31256558723186,,33,100000
18,35.0,650.9313143321478,92.99018776173541,,49,100000
19,40.0,438.3823137338955,76.31256558723186,,33,100000
20,45.0,491.5195638834586,57.1379886978439,,74,100000
21,50.0,471.5930950773725,55.96780353686957,,71,100000
22,55.0,371.96075104694165,49.70534613374187,,56,100000
23,60.0,391.88721985302783,51.019370379968386,,59,100000
24,65.0,425.09800119650475,75.14741982872391,,32,100000
25,70.0,298.89703209129243,44.55693880193773,,45,100000
26,75.0,371.9607510469417,40.584245172029405,,84,100000
27,80.0,278.97056328520625,43.04609245571909,,42,100000
28,85.0,363.1045426886812,40.09818877382033,,82,100000
29,90.0,298.89703209129243,44.55693880193773,,45,100000
30,95.0,318.8235008973786,37.57370991436195,,72,100000
31,100.0,287.8267716434668,35.70051722846611,,65,100000
32,105.0,305.5391883599878,31.854662416178524,,92,100000
33,110.0,295.5759539569447,31.330988457521883,,89,100000
34,115.0,345.39212597216016,39.107957201265414,,78,100000
35,120.0,239.11762567303393,39.85293761217232,,36,100000
