model_id,channel_id,curve_file,parent_dataset_ids,construction,energy_min_MeV,energy_max_MeV,interpolation,extrapolation,version
g4_qgsp_bic_hp_p_C12_x_C11,p_C12_x_C11,data/xsections/models/g4_qgsp_bic_hp_p_C12_x_C11.csv,,Geant4 11.4.1 isotopically pure thin-target residual count,5.0,120.0,linear,none,validation-1
g4_qgsp_bic_hp_p_O16_x_O15,p_O16_x_O15,data/xsections/models/g4_qgsp_bic_hp_p_O16_x_O15.csv,,Geant4 11.4.1 isotopically pure thin-target residual count,5.0,120.0,linear,none,validation-1
g4_qgsp_bic_hp_p_O16_x_C11,p_O16_x_C11,data/xsections/models/g4_qgsp_bic_hp_p_O16_x_C11.csv,,Geant4 11.4.1 isotopically pure thin-target residual count,5.0,120.0,linear,none,validation-1
g4_qgsp_bic_hp_p_N14_x_N13,p_N14_x_N13,data/xsections/models/g4_qgsp_bic_hp_p_N14_x_N13.csv,,Geant4 11.4.1 isotopically pure thin-target residual count,5.0,120.0,linear,none,validation-1
g4_qgsp_bic_hp_p_O16_x_N13,p_O16_x_N13,data/xsections/models/g4_qgsp_bic_hp_p_O16_x_N13.csv,,Geant4 11.4.1 isotopically pure thin-target residual count,5.0,120.0,linear,none,validation-1
exfor_fit_p_C12_x_C11,p_C12_x_C11,data/xsections/fits/p_C12_x_C11_curve.csv,exfor_E2449_005_p_C12_x_C11;exfor_C0220_003_p_C12_x_C11;exfor_D0128_005_p_C12_x_C11;exfor_O0415_002_p_C12_x_C11;exfor_B0101_002_p_C12_x_C11;exfor_C0216_002_p_C12_x_C11;exfor_C0231_002_p_C12_x_C11;exfor_B0094_003_p_C12_x_C11;exfor_B0076_005_p_C12_x_C11;exfor_C1911_002_p_C12_x_C11;exfor_C1911_003_p_C12_x_C11;exfor_O2553_003_p_C12_x_C11;exfor_C0221_002_p_C12_x_C11;exfor_C0221_003_p_C12_x_C11;exfor_C2341_002_p_C12_x_C11;exfor_A0660_018_p_C12_x_C11;exfor_F1218_002_p_C12_x_C11;exfor_E2501_002_p_C12_x_C11;exfor_C0058_002_p_C12_x_C11;exfor_O0429_002_p_C12_x_C11;exfor_O2582_002_p_C12_x_C11;exfor_C0062_011_p_C12_x_C11;exfor_C0206_002_p_C12_x_C11;exfor_C2359_002_p_C12_x_C11;exfor_C2359_003_p_C12_x_C11;exfor_P0051_002_p_C12_x_C11;exfor_P0051_003_p_C12_x_C11,threshold-aware penalized cubic spline; EXFOR replicas,5.0,150.0,linear on stored dense grid,none,1
exfor_fit_p_O16_x_O15,p_O16_x_O15,data/xsections/fits/p_O16_x_O15_curve.csv,exfor_E2449_002_p_O16_x_O15;exfor_C0220_008_p_O16_x_O15;exfor_C0223_012_p_O16_x_O15;exfor_O2553_006_p_O16_x_O15;exfor_O0065_006_p_O16_x_O15;exfor_D1061_004_p_O16_x_O15;exfor_C0208_004_2_p_O16_x_O15;exfor_O2582_005_p_O16_x_O15;exfor_A0316_008_p_O16_x_O15;exfor_C0062_013_p_O16_x_O15;exfor_C0062_016_p_O16_x_O15,threshold-aware penalized cubic spline; EXFOR replicas,5.0,150.0,linear on stored dense grid,none,1
exfor_fit_p_O16_x_C11,p_O16_x_C11,data/xsections/fits/p_O16_x_C11_curve.csv,exfor_E2449_003_p_O16_x_C11;exfor_C0220_011_p_O16_x_C11;exfor_O2134_006_p_O16_x_C11;exfor_O2134_007_p_O16_x_C11;exfor_C0223_014_p_O16_x_C11;exfor_O0065_004_p_O16_x_C11;exfor_D1061_002_p_O16_x_C11;exfor_C0208_003_p_O16_x_C11;exfor_O2576_003_p_O16_x_C11;exfor_O2582_003_p_O16_x_C11;exfor_C0061_019_p_O16_x_C11,threshold-aware penalized cubic spline; EXFOR replicas,5.0,150.0,linear on stored dense grid,none,1
exfor_fit_p_N14_x_N13,p_N14_x_N13,data/xsections/fits/p_N14_x_N13_curve.csv,exfor_C0220_005_p_N14_x_N13;exfor_O2134_003_p_N14_x_N13;exfor_O2067_027_p_N14_x_N13;exfor_D4128_003_p_N14_x_N13;exfor_D4145_002_p_N14_x_N13;exfor_C0244_002_p_N14_x_N13;exfor_O2582_007_p_N14_x_N13;exfor_C1979_002_1_p_N14_x_N13;exfor_C1979_002_2_p_N14_x_N13;exfor_C1979_002_3_p_N14_x_N13;exfor_C0202_004_p_N14_x_N13;exfor_C0062_012_p_N14_x_N13;exfor_C0062_017_p_N14_x_N13,threshold-aware penalized cubic spline; EXFOR replicas,5.0,150.0,linear on stored dense grid,none,1
exfor_fit_p_O16_x_N13,p_O16_x_N13,data/xsections/fits/p_O16_x_N13_curve.csv,exfor_D0138_003_p_O16_x_N13;exfor_P0045_003_p_O16_x_N13;exfor_B0157_002_p_O16_x_N13;exfor_C0998_002_p_O16_x_N13;exfor_O0065_005_p_O16_x_N13;exfor_R0043_002_p_O16_x_N13;exfor_O2576_004_p_O16_x_N13;exfor_C0202_002_p_O16_x_N13;exfor_P0051_004_p_O16_x_N13;exfor_E2449_004_p_O16_x_N13;exfor_C0220_010_p_O16_x_N13;exfor_O2134_008_p_O16_x_N13;exfor_C0223_013_p_O16_x_N13;exfor_D1061_003_p_O16_x_N13;exfor_C0208_005_2_p_O16_x_N13;exfor_O2582_004_p_O16_x_N13;exfor_C0061_018_p_O16_x_N13,threshold-aware penalized cubic spline; EXFOR replicas,5.0,150.0,linear on stored dense grid,none,1
