dataset_id,library,target,residual,label,point_count,point_file,metadata_file
exfor_B0077_002_p_C12_x_C11,EXFOR,C12,C11,R.L.Aamodt et al. (B0077.002),42,data/xsections/normalized/exfor_B0077_002_p_C12_x_C11.csv,data/xsections/normalized/exfor_B0077_002_p_C12_x_C11.json
exfor_B0077_003_p_C12_x_C11,EXFOR,C12,C11,R.L.Aamodt et al. (B0077.003),8,data/xsections/normalized/exfor_B0077_003_p_C12_x_C11.csv,data/xsections/normalized/exfor_B0077_003_p_C12_x_C11.json
exfor_E2449_005_p_C12_x_C11,EXFOR,C12,C11,T.Akagi et al. (E2449.005),4,data/xsections/normalized/exfor_E2449_005_p_C12_x_C11.csv,data/xsections/normalized/exfor_E2449_005_p_C12_x_C11.json
exfor_C0220_003_p_C12_x_C11,EXFOR,C12,C11,P.A.Benioff (C0220.003),1,data/xsections/normalized/exfor_C0220_003_p_C12_x_C11.csv,data/xsections/normalized/exfor_C0220_003_p_C12_x_C11.json
exfor_D0128_005_p_C12_x_C11,EXFOR,C12,C11,C.Brun et al. (D0128.005),1,data/xsections/normalized/exfor_D0128_005_p_C12_x_C11.csv,data/xsections/normalized/exfor_D0128_005_p_C12_x_C11.json
exfor_O0415_002_p_C12_x_C11,EXFOR,C12,C11,G.W.Butler et al. (O0415.002),1,data/xsections/normalized/exfor_O0415_002_p_C12_x_C11.csv,data/xsections/normalized/exfor_O0415_002_p_C12_x_C11.json
exfor_B0101_002_p_C12_x_C11,EXFOR,C12,C11,W.E.Crandall et al. (B0101.002),10,data/xsections/normalized/exfor_B0101_002_p_C12_x_C11.csv,data/xsections/normalized/exfor_B0101_002_p_C12_x_C11.json
exfor_C0216_002_p_C12_x_C11,EXFOR,C12,C11,J.B.Cumming et al. (C0216.002),6,data/xsections/normalized/exfor_C0216_002_p_C12_x_C11.csv,data/xsections/normalized/exfor_C0216_002_p_C12_x_C11.json
exfor_C0231_002_p_C12_x_C11,EXFOR,C12,C11,J.B.Cumming et al. (C0231.002),1,data/xsections/normalized/exfor_C0231_002_p_C12_x_C11.csv,data/xsections/normalized/exfor_C0231_002_p_C12_x_C11.json
exfor_B0095_002_p_C12_x_C11,EXFOR,C12,C11,J.B.Cumming (B0095.002),9,data/xsections/normalized/exfor_B0095_002_p_C12_x_C11.csv,data/xsections/normalized/exfor_B0095_002_p_C12_x_C11.json
exfor_B0094_003_p_C12_x_C11,EXFOR,C12,C11,K.Goebel et al. (B0094.003),1,data/xsections/normalized/exfor_B0094_003_p_C12_x_C11.csv,data/xsections/normalized/exfor_B0094_003_p_C12_x_C11.json
exfor_B0076_005_p_C12_x_C11,EXFOR,C12,C11,N.M.Hintz et al. (B0076.005),42,data/xsections/normalized/exfor_B0076_005_p_C12_x_C11.csv,data/xsections/normalized/exfor_B0076_005_p_C12_x_C11.json
exfor_C1911_002_p_C12_x_C11,EXFOR,C12,C11,K.R.Hogstrom (C1911.002),1,data/xsections/normalized/exfor_C1911_002_p_C12_x_C11.csv,data/xsections/normalized/exfor_C1911_002_p_C12_x_C11.json
exfor_C1911_003_p_C12_x_C11,EXFOR,C12,C11,K.R.Hogstrom (C1911.003),2,data/xsections/normalized/exfor_C1911_003_p_C12_x_C11.csv,data/xsections/normalized/exfor_C1911_003_p_C12_x_C11.json
exfor_O2553_003_p_C12_x_C11,EXFOR,C12,C11,F.Horst et al. (O2553.003),8,data/xsections/normalized/exfor_O2553_003_p_C12_x_C11.csv,data/xsections/normalized/exfor_O2553_003_p_C12_x_C11.json
