point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,16.7,0.5,0.5,6.43,,,0.4501,0.4501
1,17.7,0.5,0.5,11.799999999999999,,,0.8260000000000001,0.8260000000000001
2,18.72,0.5,0.5,9.36,,,0.6552,0.6552
3,19.73,0.5,0.5,20.7,,,1.449,1.449
4,20.74,0.5,0.5,22.9,,,1.603,1.603
5,21.75,0.5,0.5,27.349999999999998,,,1.9144999999999999,1.9144999999999999
6,22.76,0.5,0.5,37.400000000000006,,,2.618,2.618
7,23.76,0.5,0.5,47.15,,,3.3005,3.3005
8,24.77,0.5,0.5,60.0,,,4.2,4.2
9,25.78,0.5,0.5,62.5,,,4.375,4.375
10,26.78,0.5,0.5,65.4,,,4.577999999999999,4.577999999999999
11,27.8,0.5,0.5,69.9,,,4.893,4.893
12,28.8,0.5,0.5,75.30000000000001,,,5.271,5.271
13,29.8,0.5,0.5,75.5,,,5.285,5.285
14,32.82,0.5,0.5,76.1,,,5.327,5.327
