point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,15.9,0.0,0.0,0.0010107,,,0.0,0.0
1,16.7,0.0,0.0,0.0020214,,,0.0,0.0
2,17.6,0.0,0.0,0.0020214,,,0.0,0.0
3,18.0,0.0,0.0,0.007075,,,0.0,0.0
4,18.2,0.0,0.0,0.0090964,,,0.0,0.0
5,18.4,0.0,0.0,0.010107,,,0.0,0.0
6,18.6,0.0,0.0,0.022236,,,0.0,0.0
7,18.8,0.0,0.0,0.034364,,,0.0,0.0
8,18.9,0.0,0.0,0.061654,,,0.0,0.0
9,19.1,0.0,0.0,0.10208,,,0.0,0.0
10,19.3,0.0,0.0,0.1415,,,0.0,0.0
11,19.5,0.0,0.0,0.18192999999999998,,,0.0,0.0
12,19.7,0.0,0.0,0.20517,,,0.0,0.0
13,19.9,0.0,0.0,0.25672,,,0.0,0.0
14,20.2,0.0,0.0,0.30219999999999997,,,0.0,0.0
15,20.5,0.0,0.0,0.32949,,,0.0,0.0
16,21.1,0.0,0.0,0.35173000000000004,,,0.0,0.0
17,21.7,0.0,0.0,0.38508,,,0.0,0.0
18,22.4,0.0,0.0,0.46291000000000004,,,0.0,0.0
19,23.0,0.0,0.0,0.47706000000000004,,,0.0,0.0
20,23.6,0.0,0.0,0.51142,,,0.0,0.0
21,24.3,0.0,0.0,0.54073,,,0.0,0.0
22,24.4,0.0,0.0,0.566,,,0.0,0.0
23,24.8,0.0,0.0,0.5801499999999999,,,0.0,0.0
24,25.0,0.0,0.0,0.58419,,,0.0,0.0
25,25.5,0.0,0.0,0.6448400000000001,,,0.0,0.0
26,25.6,0.0,0.0,0.65595,,,0.0,0.0
27,26.0,0.0,0.0,0.70144,,,0.0,0.0
28,26.1,0.0,0.0,0.71356,,,0.0,0.0
29,26.6,0.0,0.0,0.76612,,,0.0,0.0
30,26.7,0.0,0.0,0.76915,,,0.0,0.0
31,27.3,0.0,0.0,0.7762300000000001,,,0.0,0.0
32,27.8,0.0,0.0,0.7762300000000001,,,0.0,0.0
33,28.3,0.0,0.0,0.78128,,,0.0,0.0
34,29.0,0.0,0.0,0.79846,,,0.0,0.0
35,29.3,0.0,0.0,0.84192,,,0.0,0.0
36,29.8,0.0,0.0,0.84698,,,0.0,0.0
37,30.2,0.0,0.0,0.8591099999999999,,,0.0,0.0
38,30.8,0.0,0.0,0.86719,,,0.0,0.0
39,31.3,0.0,0.0,0.87225,,,0.0,0.0
40,31.8,0.0,0.0,0.89246,,,0.0,0.0
41,32.0,0.0,0.0,0.89954,,,0.040429,0.040429
