point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,6.7,0.0,0.0,0.6489999999999999,,,0.026,0.026
1,6.81,0.0,0.0,1.5399999999999998,,,0.07200000000000001,0.07200000000000001
2,6.92,0.0,0.0,3.15,,,0.12999999999999998,0.12999999999999998
3,7.02,0.0,0.0,4.62,,,0.17,0.17
4,7.13,0.0,0.0,5.6499999999999995,,,0.22,0.22
5,7.24,0.0,0.0,8.17,,,0.3,0.3
6,7.34,0.0,0.0,12.1,,,0.43,0.43
7,7.46,0.0,0.0,11.0,,,0.36000000000000004,0.36000000000000004
8,7.57,0.0,0.0,16.5,,,0.5900000000000001,0.5900000000000001
9,7.67,0.0,0.0,24.299999999999997,,,0.88,0.88
10,7.72,0.0,0.0,23.400000000000002,,,0.85,0.85
11,7.78,0.0,0.0,18.5,,,0.5900000000000001,0.5900000000000001
12,7.82,0.0,0.0,16.9,,,0.67,0.67
13,7.88,0.0,0.0,50.7,,,19.0,19.0
14,7.94,0.0,0.0,114.0,,,4.5,4.5
15,7.99,0.0,0.0,139.0,,,4.5,4.5
16,8.04,0.0,0.0,87.8,,,3.2,3.2
17,8.09,0.0,0.0,59.0,,,6.7,6.7
18,8.2,0.0,0.0,37.699999999999996,,,4.8999999999999995,4.8999999999999995
19,8.31,0.0,0.0,38.6,,,1.8,1.8
20,8.42,0.0,0.0,48.2,,,2.2,2.2
21,8.52,0.0,0.0,45.199999999999996,,,1.8,1.8
22,8.63,0.0,0.0,58.2,,,8.1,8.1
23,8.73,0.0,0.0,43.0,,,4.8999999999999995,4.8999999999999995
24,8.84,0.0,0.0,16.8,,,1.1,1.1
25,8.96,0.0,0.0,19.7,,,0.85,0.85
26,9.05,0.0,0.0,8.11,,,0.5199999999999999,0.5199999999999999
27,9.16,0.0,0.0,6.029999999999999,,,0.5599999999999999,0.5599999999999999
28,9.27,0.0,0.0,7.77,,,0.53,0.53
