point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,50.7,0.0,0.0,85.2,,,3.0,3.0
1,59.5,0.0,0.0,80.3,,,2.8,2.8
2,64.7,0.0,0.0,80.60000000000001,,,2.4,2.4
3,69.7,0.0,0.0,75.6,,,2.3,2.3
4,79.2,0.0,0.0,72.6,,,2.2,2.2
5,82.7,0.0,0.0,68.2,,,2.0,2.0
6,88.2,0.0,0.0,67.2,,,2.0,2.0
7,98.5,0.0,0.0,62.7,,,1.9,1.9
8,103.8,0.0,0.0,61.9,,,1.9,1.9
9,108.8,0.0,0.0,60.5,,,1.8,1.8
10,119.4,0.0,0.0,56.4,,,1.7,1.7
11,124.3,0.0,0.0,55.300000000000004,,,1.7,1.7
12,128.7,0.0,0.0,54.9,,,1.6,1.6
13,138.3,0.0,0.0,52.5,,,1.5,1.5
14,143.4,0.0,0.0,51.8,,,1.5,1.5
15,149.2,0.0,0.0,50.6,,,1.5,1.5
16,158.6,0.0,0.0,47.800000000000004,,,1.4,1.4
