point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,19.5,1.0,1.0,2.75,,,0.0,0.0
1,23.5,1.0,1.0,25.5,,,0.0,0.0
2,26.0,2.25,2.25,34.8,,,4.38,4.38
3,28.0,2.5,2.5,44.5,,,4.13,4.13
4,29.5,2.5,2.5,55.300000000000004,,,3.3800000000000003,3.3800000000000003
5,32.0,2.0,2.0,66.5,,,6.5,6.5
6,41.0,2.0,2.0,68.3,,,6.0,6.0
7,43.5,1.5,1.5,68.8,,,5.75,5.75
8,50.5,3.25,3.25,65.0,,,6.38,6.38
9,60.0,3.25,3.25,70.0,,,6.13,6.13
10,70.0,3.75,3.75,71.0,,,6.75,6.75
11,80.0,4.25,4.25,62.300000000000004,,,5.63,5.63
12,91.0,4.25,4.25,62.5,,,5.38,5.38
13,110.0,6.5,6.5,60.5,,,4.75,4.75
14,120.0,6.5,6.5,52.8,,,4.75,4.75
15,130.0,6.75,6.75,47.800000000000004,,,5.13,5.13
16,147.0,9.0,9.0,41.300000000000004,,,3.63,3.63
17,156.0,1.0,1.0,39.800000000000004,,,2.8800000000000003,2.8800000000000003
