point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,18.5,1.0,1.0,3.7,,,0.0,0.0
1,20.5,1.0,1.0,14.6,,,0.0,0.0
2,22.5,2.5,2.5,24.299999999999997,,,2.9,2.9
3,25.0,3.25,3.25,31.4,,,3.0500000000000003,3.0500000000000003
4,28.0,1.75,1.75,39.800000000000004,,,2.65,2.65
5,34.5,2.0,2.0,34.3,,,2.8,2.8
6,45.5,2.5,2.5,25.6,,,2.1,2.1
7,49.5,3.0,3.0,21.8,,,1.5,1.5
8,60.0,3.75,3.75,17.5,,,1.55,1.55
9,70.0,3.75,3.75,16.6,,,1.65,1.65
10,85.0,3.5,3.5,14.5,,,1.15,1.15
11,99.5,5.5,5.5,12.0,,,1.2,1.2
12,109.0,4.75,4.75,10.6,,,1.3,1.3
13,125.0,5.75,5.75,10.0,,,0.75,0.75
14,142.0,7.0,7.0,8.8,,,0.85,0.85
15,156.0,1.0,1.0,8.5,,,0.7,0.7
