point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,12.226,0.0,0.0,23.531,,,7.0593,7.0593
1,12.247,0.0,0.0,22.918999999999997,,,6.8757,6.8757
2,12.268,0.0,0.0,23.348,,,7.0044,7.0044
3,12.29,0.0,0.0,23.226,,,6.9677999999999995,6.9677999999999995
4,12.311,0.0,0.0,22.125,,,6.6375,6.6375
5,12.332,0.0,0.0,22.308999999999997,,,6.6927,6.6927
6,12.348,0.0,0.0,22.308999999999997,,,6.6927,6.6927
7,12.369,0.0,0.0,22.126,,,6.6378,6.6378
8,12.385,0.0,0.0,21.454,,,6.4362,6.4362
9,12.412,0.0,0.0,21.148,,,6.3444,6.3444
10,12.433,0.0,0.0,21.21,,,6.3629999999999995,6.3629999999999995
11,12.46,0.0,0.0,21.455,,,6.4365000000000006,6.4365000000000006
12,12.476,0.0,0.0,21.945,,,6.5835,6.5835
13,12.497,0.0,0.0,22.374000000000002,,,6.7122,6.7122
14,12.539,0.0,0.0,22.68,,,6.804,6.804
15,12.555,0.0,0.0,23.169999999999998,,,6.951,6.951
16,12.576,0.0,0.0,23.843,,,7.1529,7.1529
17,12.592,0.0,0.0,24.089,,,7.2267,7.2267
18,12.608,0.0,0.0,23.966,,,7.1898,7.1898
19,12.635,0.0,0.0,23.11,,,6.933,6.933
20,12.65,0.0,0.0,24.885,,,7.4655,7.4655
21,12.672,0.0,0.0,24.702,,,7.4106,7.4106
22,12.688,0.0,0.0,25.498,,,7.6494,7.6494
23,12.698,0.0,0.0,24.825,,,7.4475,7.4475
24,12.709,0.0,0.0,25.926000000000002,,,7.7778,7.7778
25,12.73,0.0,0.0,25.804000000000002,,,7.7412,7.7412
26,12.751,0.0,0.0,25.866,,,7.7598,7.7598
27,12.772,0.0,0.0,26.233,,,7.869900000000001,7.869900000000001
28,12.799,0.0,0.0,25.805999999999997,,,7.7418000000000005,7.7418000000000005
29,12.81,0.0,0.0,25.133,,,7.5399,7.5399
30,12.841,0.0,0.0,25.99,,,7.797,7.797
31,12.857,0.0,0.0,25.012,,,7.5036,7.5036
32,12.879,0.0,0.0,26.052,,,7.815600000000001,7.815600000000001
33,12.9,0.0,0.0,26.052,,,7.815600000000001,7.815600000000001
34,12.9,0.0,0.0,24.829,,,7.4487,7.4487
35,12.926,0.0,0.0,25.013,,,7.5039,7.5039
36,12.937,0.0,0.0,24.646,,,7.3938,7.3938
37,12.964,0.0,0.0,23.668000000000003,,,7.1004,7.1004
38,12.98,0.0,0.0,23.423,,,7.0269,7.0269
39,12.996,0.0,0.0,22.322000000000003,,,6.696599999999999,6.696599999999999
40,13.006,0.0,0.0,22.995,,,6.8985,6.8985
41,13.017,0.0,0.0,21.343999999999998,,,6.4032,6.4032
42,13.044,0.0,0.0,20.61,,,6.183,6.183
43,13.065,0.0,0.0,20.733,,,6.219900000000001,6.219900000000001
44,13.065,0.0,0.0,20.549000000000003,,,6.164700000000001,6.164700000000001
45,13.097,0.0,0.0,18.898000000000003,,,5.6693999999999996,5.6693999999999996
46,13.118,0.0,0.0,19.572,,,5.8716,5.8716
47,13.134,0.0,0.0,18.776,,,5.6328000000000005,5.6328000000000005
48,13.156,0.0,0.0,18.104,,,5.4312,5.4312
49,13.177,0.0,0.0,17.187,,,5.1561,5.1561
50,13.198,0.0,0.0,17.003,,,5.1009,5.1009
51,13.199,0.0,0.0,16.147000000000002,,,4.844099999999999,4.844099999999999
52,13.22,0.0,0.0,15.78,,,4.734,4.734
53,13.241,0.0,0.0,15.169,,,4.5507,4.5507
54,13.262,0.0,0.0,14.741000000000001,,,4.4223,4.4223
55,13.289,0.0,0.0,15.17,,,4.551,4.551
56,13.305,0.0,0.0,15.293,,,4.587899999999999,4.587899999999999
57,13.332,0.0,0.0,14.741999999999999,,,4.422599999999999,4.422599999999999
58,13.363,0.0,0.0,14.742999999999999,,,4.422899999999999,4.422899999999999
59,13.395,0.0,0.0,14.193000000000001,,,4.2579,4.2579
60,13.416,0.0,0.0,14.622,,,4.3866,4.3866
61,13.438,0.0,0.0,14.316,,,4.2947999999999995,4.2947999999999995
62,13.459,0.0,0.0,14.99,,,4.497,4.497
63,13.48,0.0,0.0,15.235,,,4.5705,4.5705
64,13.501,0.0,0.0,15.48,,,4.644,4.644
65,13.523,0.0,0.0,15.542,,,4.6626,4.6626
66,13.549,0.0,0.0,16.705000000000002,,,5.011500000000001,5.011500000000001
67,13.565,0.0,0.0,16.337999999999997,,,4.901400000000001,4.901400000000001
68,13.591,0.0,0.0,17.134,,,5.1402,5.1402
69,13.607,0.0,0.0,16.889000000000003,,,5.0667,5.0667
70,13.639,0.0,0.0,17.378999999999998,,,5.2137,5.2137
71,13.66,0.0,0.0,17.38,,,5.2139999999999995,5.2139999999999995
72,13.665,0.0,0.0,18.603,,,5.5809,5.5809
73,13.676,0.0,0.0,18.787000000000003,,,5.6361,5.6361
74,13.703,0.0,0.0,18.298,,,5.4894,5.4894
75,13.724,0.0,0.0,18.788,,,5.6364,5.6364
76,13.745,0.0,0.0,19.768,,,5.9304,5.9304
77,13.766,0.0,0.0,20.012999999999998,,,6.003900000000001,6.003900000000001
78,13.793,0.0,0.0,19.706999999999997,,,5.9121,5.9121
79,13.808,0.0,0.0,20.686,,,6.2058,6.2058
80,13.83,0.0,0.0,21.482,,,6.4446,6.4446
81,13.856,0.0,0.0,22.339000000000002,,,6.7017,6.7017
82,13.872,0.0,0.0,22.707,,,6.8121,6.8121
83,13.893,0.0,0.0,23.503,,,7.0508999999999995,7.0508999999999995
84,13.914,0.0,0.0,23.747999999999998,,,7.1244000000000005,7.1244000000000005
85,13.935,0.0,0.0,25.155,,,7.5465,7.5465
86,13.962,0.0,0.0,25.645,,,7.6935,7.6935
87,13.988,0.0,0.0,26.502000000000002,,,7.9506000000000006,7.9506000000000006
88,14.004,0.0,0.0,26.503,,,7.950900000000001,7.950900000000001
89,14.03,0.0,0.0,27.543000000000003,,,8.2629,8.2629
90,14.057,0.0,0.0,29.807,,,8.9421,8.9421
91,14.078,0.0,0.0,31.336999999999996,,,9.401100000000001,9.401100000000001
92,14.099,0.0,0.0,33.112,,,9.9336,9.9336
93,14.109,0.0,0.0,34.03,,,10.209,10.209
94,14.114,0.0,0.0,34.397,,,10.319,10.319
95,14.135,0.0,0.0,35.071,,,10.521,10.521
96,14.151,0.0,0.0,36.416999999999994,,,10.925,10.925
97,14.151,0.0,0.0,36.784,,,11.035,11.035
98,14.167,0.0,0.0,36.601,,,10.98,10.98
99,14.188,0.0,0.0,37.274,,,11.181999999999999,11.181999999999999
100,14.204,0.0,0.0,37.336,,,11.200999999999999,11.200999999999999
101,14.22,0.0,0.0,37.458,,,11.237,11.237
102,14.22,0.0,0.0,38.376,,,11.513,11.513
103,14.231,0.0,0.0,38.193,,,11.458,11.458
104,14.246,0.0,0.0,38.315000000000005,,,11.495,11.495
105,14.262,0.0,0.0,39.538999999999994,,,11.862,11.862
106,14.268,0.0,0.0,38.377,,,11.513,11.513
107,14.273,0.0,0.0,38.805,,,11.642,11.642
108,14.289,0.0,0.0,38.378,,,11.513,11.513
109,14.294,0.0,0.0,37.827,,,11.348,11.348
110,14.294,0.0,0.0,37.521,,,11.256,11.256
111,14.305,0.0,0.0,38.317,,,11.495,11.495
112,14.316,0.0,0.0,37.216,,,11.165,11.165
113,14.332,0.0,0.0,36.971,,,11.091,11.091
114,14.332,0.0,0.0,35.809,,,10.743,10.743
115,14.353,0.0,0.0,36.299,,,10.89,10.89
116,14.364,0.0,0.0,36.115,,,10.834999999999999,10.834999999999999
117,14.379,0.0,0.0,36.544,,,10.963000000000001,10.963000000000001
118,14.401,0.0,0.0,36.116,,,10.834999999999999,10.834999999999999
119,14.417,0.0,0.0,36.178000000000004,,,10.853,10.853
120,14.422,0.0,0.0,35.26,,,10.578000000000001,10.578000000000001
121,14.438,0.0,0.0,35.994,,,10.798,10.798
122,14.449,0.0,0.0,35.811,,,10.743,10.743
123,14.454,0.0,0.0,35.138000000000005,,,10.541,10.541
124,14.464,0.0,0.0,35.934,,,10.78,10.78
125,14.47,0.0,0.0,35.016,,,10.505,10.505
126,14.491,0.0,0.0,35.077999999999996,,,10.523,10.523
127,14.507,0.0,0.0,35.017,,,10.505,10.505
128,14.512,0.0,0.0,35.323,,,10.597000000000001,10.597000000000001
129,14.533,0.0,0.0,36.057,,,10.817,10.817
130,14.549,0.0,0.0,36.67,,,11.001000000000001,11.001000000000001
131,14.56,0.0,0.0,36.792,,,11.037999999999998,11.037999999999998
132,14.56,0.0,0.0,37.282000000000004,,,11.185,11.185
133,14.576,0.0,0.0,37.464999999999996,,,11.24,11.24
134,14.576,0.0,0.0,35.018,,,10.505,10.505
135,14.587,0.0,0.0,34.101,,,10.229999999999999,10.229999999999999
136,14.587,0.0,0.0,33.855999999999995,,,10.157,10.157
137,14.592,0.0,0.0,32.143,,,9.6429,9.6429
