point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,56.9,0.6,0.6,19.8,,,0.6,0.6
1,54.8,0.6,0.6,20.8,,,0.8,0.8
2,52.5,0.7,0.7,20.5,,,0.5,0.5
3,50.2,0.7,0.7,22.8,,,0.8,0.8
4,47.8,0.7,0.7,21.9,,,0.5,0.5
5,45.3,0.8,0.8,24.2,,,0.7,0.7
6,42.7,0.8,0.8,20.5,,,0.6,0.6
7,40.0,0.8,0.8,16.9,,,0.6,0.6
8,38.6,0.8,0.8,17.9,,,0.3,0.3
9,37.0,0.9,0.9,14.0,,,0.5,0.5
10,35.6,0.9,0.9,11.0,,,0.3,0.3
11,33.9,0.9,0.9,8.200000000000001,,,0.5,0.5
12,32.3,1.0,1.0,5.6,,,0.2,0.2
13,30.6,1.0,1.0,3.6,,,0.2,0.2
14,27.0,1.1,1.1,1.0,,,0.1,0.1
15,22.9,1.3,1.3,0.7,,,0.3,0.3
