point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,56.9,0.6,0.6,3.6,,,0.8,0.8
1,54.8,0.6,0.6,6.1000000000000005,,,1.1,1.1
2,52.5,0.7,0.7,4.3,,,0.8,0.8
3,50.2,0.7,0.7,4.6,,,1.2,1.2
4,47.8,0.7,0.7,3.6,,,0.8,0.8
5,45.3,0.8,0.8,3.0,,,1.1,1.1
6,42.7,0.8,0.8,2.8,,,0.9,0.9
7,40.0,0.8,0.8,3.5,,,0.8,0.8
8,38.6,0.8,0.8,2.6,,,0.5,0.5
9,37.0,0.9,0.9,2.4,,,0.8,0.8
10,35.6,0.9,0.9,2.8,,,0.4,0.4
11,33.9,0.9,0.9,1.2,,,0.7,0.7
12,32.3,1.0,1.0,2.5,,,0.2,0.2
13,30.6,1.0,1.0,2.1,,,0.3,0.3
14,27.0,1.1,1.1,2.4,,,0.2,0.2
15,22.9,1.3,1.3,5.4,,,0.5,0.5
16,12.0,2.2,2.2,21.0,,,0.6,0.6
