point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,56.9,0.6,0.6,60.1,,,1.8,1.8
1,54.8,0.6,0.6,65.9,,,2.2,2.2
2,52.5,0.7,0.7,62.4,,,1.7,1.7
3,50.2,0.7,0.7,71.8,,,2.5,2.5
4,47.8,0.7,0.7,65.69999999999999,,,1.5,1.5
5,45.3,0.8,0.8,75.89999999999999,,,2.3,2.3
6,42.7,0.8,0.8,68.6,,,2.0,2.0
7,40.0,0.8,0.8,67.2,,,1.7,1.7
8,38.6,0.8,0.8,75.30000000000001,,,1.0,1.0
9,37.0,0.9,0.9,69.4,,,1.9,1.9
10,35.6,0.9,0.9,71.5,,,0.9,0.9
11,33.9,0.9,0.9,73.6,,,1.9,1.9
12,32.3,1.0,1.0,70.0,,,0.6,0.6
13,30.6,1.0,1.0,76.5,,,1.2,1.2
14,27.0,1.1,1.1,63.5,,,0.9,0.9
15,22.9,1.3,1.3,41.5,,,2.0,2.0
16,12.0,2.2,2.2,6.8999999999999995,,,1.9,1.9
