point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,67.61,0.0,0.0,73.47,,,0.5599999999999999,0.5599999999999999
1,66.5,0.0,0.0,74.58,,,0.57,0.57
2,65.39,0.0,0.0,74.49,,,0.57,0.57
3,64.26,0.0,0.0,75.58,,,0.58,0.58
4,63.12,0.0,0.0,76.53999999999999,,,0.58,0.58
5,61.97,0.0,0.0,78.69,,,0.6,0.6
6,60.8,0.0,0.0,82.19999999999999,,,0.62,0.62
7,59.62,0.0,0.0,83.11,,,0.63,0.63
8,58.42,0.0,0.0,82.10000000000001,,,0.62,0.62
9,57.2,0.0,0.0,81.91,,,0.62,0.62
10,55.96,0.0,0.0,82.54,,,0.63,0.63
11,54.7,0.0,0.0,83.54,,,0.63,0.63
12,53.42,0.0,0.0,83.4,,,0.63,0.63
13,52.12,0.0,0.0,83.98,,,0.64,0.64
14,50.8,0.0,0.0,84.51,,,0.64,0.64
15,49.44,0.0,0.0,83.66999999999999,,,0.63,0.63
16,48.06,0.0,0.0,83.75,,,0.63,0.63
17,46.65,0.0,0.0,83.46000000000001,,,0.63,0.63
18,45.2,0.0,0.0,86.58,,,0.66,0.66
19,43.72,0.0,0.0,87.08,,,0.66,0.66
20,42.19,0.0,0.0,86.69,,,0.66,0.66
21,40.62,0.0,0.0,87.53,,,0.66,0.66
22,39.0,0.0,0.0,84.75,,,0.64,0.64
23,37.32,0.0,0.0,85.11,,,0.65,0.65
24,35.58,0.0,0.0,81.65,,,0.62,0.62
25,33.76,0.0,0.0,78.06,,,0.6,0.6
26,31.85,0.0,0.0,70.69,,,0.54,0.54
27,29.84,0.0,0.0,59.56,,,0.47,0.47
28,27.71,0.0,0.0,45.06,,,0.36000000000000004,0.36000000000000004
29,25.44,0.0,0.0,29.080000000000002,,,0.25,0.25
30,22.98,0.0,0.0,15.76,,,0.15,0.15
31,20.28,0.0,0.0,8.229999999999999,,,0.09000000000000001,0.09000000000000001
32,17.24,0.0,0.0,4.23,,,0.05,0.05
33,13.79,0.0,0.0,2.8600000000000003,,,0.04,0.04
34,10.53,0.0,0.0,2.29,,,0.04,0.04
