point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,69.93,0.0,0.0,51.88,,,1.33,1.33
1,69.69,0.0,0.0,52.94,,,1.35,1.35
2,69.46,0.0,0.0,53.36,,,1.36,1.36
3,69.22,0.0,0.0,53.61,,,1.3699999999999999,1.3699999999999999
4,68.98,0.0,0.0,53.89,,,1.3699999999999999,1.3699999999999999
5,68.75,0.0,0.0,54.269999999999996,,,1.38,1.38
6,68.52,0.0,0.0,54.67,,,1.39,1.39
7,68.28,0.0,0.0,55.059999999999995,,,1.4,1.4
8,68.04,0.0,0.0,55.43,,,1.41,1.41
9,67.81,0.0,0.0,55.75,,,1.42,1.42
10,67.57,0.0,0.0,56.02,,,1.42,1.42
11,67.33,0.0,0.0,56.31,,,1.4300000000000002,1.4300000000000002
12,67.09,0.0,0.0,56.62,,,1.4400000000000002,1.4400000000000002
13,66.85,0.0,0.0,56.89,,,1.4400000000000002,1.4400000000000002
14,66.61,0.0,0.0,57.12,,,1.45,1.45
15,66.38,0.0,0.0,57.3,,,1.45,1.45
16,66.13,0.0,0.0,57.45,,,1.46,1.46
17,65.89,0.0,0.0,57.6,,,1.46,1.46
18,65.65,0.0,0.0,57.75,,,1.46,1.46
19,65.41,0.0,0.0,57.92,,,1.47,1.47
20,65.15,0.0,0.0,58.13,,,1.47,1.47
21,64.9,0.0,0.0,58.32,,,1.48,1.48
22,64.66,0.0,0.0,58.44,,,1.48,1.48
23,64.41,0.0,0.0,58.55,,,1.48,1.48
24,64.16,0.0,0.0,58.61,,,1.48,1.48
25,63.91,0.0,0.0,58.63,,,1.48,1.48
26,63.65,0.0,0.0,58.76,,,1.49,1.49
27,63.4,0.0,0.0,58.94,,,1.49,1.49
28,63.15,0.0,0.0,58.98,,,1.49,1.49
29,62.89,0.0,0.0,59.04,,,1.49,1.49
30,62.63,0.0,0.0,59.19,,,1.5,1.5
31,62.38,0.0,0.0,59.39,,,1.5,1.5
32,62.12,0.0,0.0,59.73,,,1.51,1.51
33,61.87,0.0,0.0,60.089999999999996,,,1.52,1.52
34,61.61,0.0,0.0,60.41,,,1.5299999999999998,1.5299999999999998
35,61.35,0.0,0.0,60.62,,,1.5299999999999998,1.5299999999999998
36,61.09,0.0,0.0,60.74,,,1.5299999999999998,1.5299999999999998
37,60.83,0.0,0.0,60.87,,,1.5399999999999998,1.5399999999999998
38,60.57,0.0,0.0,61.04,,,1.5399999999999998,1.5399999999999998
39,60.31,0.0,0.0,61.21,,,1.55,1.55
40,60.04,0.0,0.0,61.440000000000005,,,1.55,1.55
41,59.78,0.0,0.0,61.699999999999996,,,1.56,1.56
42,59.51,0.0,0.0,61.879999999999995,,,1.56,1.56
43,59.25,0.0,0.0,62.010000000000005,,,1.56,1.56
