point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,69.93,0.0,0.0,17.23,,,0.44,0.44
1,69.69,0.0,0.0,17.18,,,0.44,0.44
2,69.46,0.0,0.0,16.92,,,0.43,0.43
3,69.22,0.0,0.0,16.729999999999997,,,0.43,0.43
4,68.98,0.0,0.0,16.57,,,0.42000000000000004,0.42000000000000004
5,68.75,0.0,0.0,16.48,,,0.42000000000000004,0.42000000000000004
6,68.52,0.0,0.0,16.490000000000002,,,0.42000000000000004,0.42000000000000004
7,68.28,0.0,0.0,16.42,,,0.42000000000000004,0.42000000000000004
8,68.04,0.0,0.0,16.34,,,0.42000000000000004,0.42000000000000004
9,67.81,0.0,0.0,16.389999999999997,,,0.42000000000000004,0.42000000000000004
10,67.57,0.0,0.0,16.51,,,0.42000000000000004,0.42000000000000004
11,67.33,0.0,0.0,16.79,,,0.43,0.43
12,67.09,0.0,0.0,17.15,,,0.43,0.43
13,66.85,0.0,0.0,17.42,,,0.44,0.44
14,66.61,0.0,0.0,17.62,,,0.45,0.45
15,66.38,0.0,0.0,17.6,,,0.45,0.45
16,66.13,0.0,0.0,17.44,,,0.44,0.44
17,65.89,0.0,0.0,17.330000000000002,,,0.44,0.44
18,65.65,0.0,0.0,17.25,,,0.44,0.44
19,65.41,0.0,0.0,17.34,,,0.44,0.44
20,65.15,0.0,0.0,17.66,,,0.45,0.45
21,64.9,0.0,0.0,17.95,,,0.45,0.45
22,64.66,0.0,0.0,18.08,,,0.46,0.46
23,64.41,0.0,0.0,18.15,,,0.46,0.46
24,64.16,0.0,0.0,18.09,,,0.46,0.46
25,63.91,0.0,0.0,17.8,,,0.45,0.45
26,63.65,0.0,0.0,17.83,,,0.45,0.45
27,63.4,0.0,0.0,18.0,,,0.46,0.46
28,63.15,0.0,0.0,17.83,,,0.45,0.45
29,62.89,0.0,0.0,17.69,,,0.45,0.45
30,62.63,0.0,0.0,17.62,,,0.45,0.45
31,62.38,0.0,0.0,17.57,,,0.45,0.45
32,62.12,0.0,0.0,17.74,,,0.45,0.45
33,61.87,0.0,0.0,18.02,,,0.46,0.46
34,61.61,0.0,0.0,18.33,,,0.47,0.47
35,61.35,0.0,0.0,18.669999999999998,,,0.48000000000000004,0.48000000000000004
36,61.09,0.0,0.0,18.87,,,0.48000000000000004,0.48000000000000004
37,60.83,0.0,0.0,18.84,,,0.48000000000000004,0.48000000000000004
38,60.57,0.0,0.0,18.8,,,0.48000000000000004,0.48000000000000004
39,60.31,0.0,0.0,18.8,,,0.48000000000000004,0.48000000000000004
40,60.04,0.0,0.0,18.81,,,0.48000000000000004,0.48000000000000004
41,59.78,0.0,0.0,18.96,,,0.48000000000000004,0.48000000000000004
42,59.51,0.0,0.0,19.130000000000003,,,0.49,0.49
43,59.25,0.0,0.0,19.2,,,0.49,0.49
44,58.98,0.0,0.0,19.32,,,0.49,0.49
45,58.71,0.0,0.0,19.5,,,0.49,0.49
46,58.44,0.0,0.0,19.630000000000003,,,0.5,0.5
47,58.17,0.0,0.0,19.64,,,0.5,0.5
48,57.89,0.0,0.0,19.619999999999997,,,0.5,0.5
49,57.63,0.0,0.0,19.64,,,0.5,0.5
50,57.36,0.0,0.0,19.64,,,0.5,0.5
51,57.08,0.0,0.0,19.650000000000002,,,0.5,0.5
52,56.81,0.0,0.0,19.82,,,0.5,0.5
53,56.54,0.0,0.0,19.92,,,0.5,0.5
54,56.26,0.0,0.0,20.01,,,0.51,0.51
55,55.98,0.0,0.0,20.25,,,0.51,0.51
56,55.7,0.0,0.0,20.45,,,0.5199999999999999,0.5199999999999999
57,55.43,0.0,0.0,20.580000000000002,,,0.5199999999999999,0.5199999999999999
58,55.15,0.0,0.0,20.82,,,0.53,0.53
59,54.86,0.0,0.0,20.97,,,0.53,0.53
60,54.57,0.0,0.0,20.92,,,0.53,0.53
61,54.28,0.0,0.0,20.93,,,0.53,0.53
62,53.99,0.0,0.0,20.990000000000002,,,0.53,0.53
