point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,15.8,0.15,0.15,0.54,,,0.12999999999999998,0.12999999999999998
1,15.2,0.15,0.15,0.5199999999999999,,,0.15,0.15
2,14.5,0.15,0.15,0.73,,,0.16,0.16
3,13.8,0.2,0.2,0.3,,,0.6,0.6
4,13.1,0.2,0.2,0.67,,,0.22,0.22
5,12.3,0.2,0.2,0.6,,,0.3,0.3
6,11.5,0.2,0.2,0.88,,,0.23,0.23
7,10.7,0.2,0.2,1.5,,,0.3,0.3
8,9.8,0.25,0.25,1.5399999999999998,,,0.22,0.22
9,8.8,0.25,0.25,1.46,,,0.2,0.2
10,7.7,0.3,0.3,1.9,,,0.3,0.3
11,6.5,0.35,0.35,1.85,,,0.2,0.2
12,5.0,0.4,0.4,1.88,,,0.21000000000000002,0.21000000000000002
