point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,23.6,1.2,1.2,20.5,,,8.0,8.0
1,25.8,1.1,1.1,44.4,,,18.0,18.0
2,27.9,1.0,1.0,68.0,,,3.0,3.0
3,30.0,3.0,3.0,87.0,,,3.0,3.0
4,32.0,3.0,3.0,94.0,,,3.0,3.0
5,33.0,3.0,3.0,97.0,,,4.0,4.0
6,35.2,2.4,2.4,97.0,,,4.0,4.0
7,36.9,2.3,2.3,97.0,,,4.0,4.0
8,38.4,2.3,2.3,96.0,,,3.0,3.0
9,44.1,1.8,1.8,94.0,,,3.0,3.0
10,49.5,0.0,0.0,86.0,,,3.0,3.0
11,51.9,1.5,1.5,91.0,,,3.0,3.0
12,56.6,1.2,1.2,90.0,,,3.0,3.0
13,58.2,1.3,1.3,89.0,,,3.0,3.0
14,63.1,1.1,1.1,87.0,,,3.0,3.0
15,68.1,1.1,1.1,86.0,,,3.0,3.0
16,69.1,1.0,1.0,83.0,,,3.0,3.0
17,74.7,0.8,0.8,81.0,,,3.0,3.0
18,80.0,0.8,0.8,76.0,,,3.0,3.0
19,85.0,0.7,0.7,73.0,,,3.0,3.0
20,85.1,1.7,1.7,66.10000000000001,,,2.4,2.4
21,89.8,0.6,0.6,72.0,,,3.0,3.0
22,93.7,1.5,1.5,68.9,,,2.5,2.5
23,94.4,0.4,0.4,71.0,,,3.0,3.0
24,98.9,0.4,0.4,68.3,,,2.5,2.5
25,101.9,1.4,1.4,66.9,,,2.4,2.4
26,109.5,1.2,1.2,64.8,,,2.3,2.3
27,116.8,1.1,1.1,62.6,,,2.3,2.3
28,123.8,1.0,1.0,59.5,,,2.1,2.1
29,130.5,0.8,0.8,57.3,,,2.1,2.1
30,136.9,0.7,0.7,56.300000000000004,,,2.0,2.0
31,138.9,1.5,1.5,53.5,,,1.9,1.9
32,143.1,0.5,0.5,55.1,,,2.0,2.0
33,145.1,1.4,1.4,54.300000000000004,,,2.0,2.0
34,149.2,0.3,0.3,56.599999999999994,,,2.0,2.0
35,151.1,1.3,1.3,54.9,,,2.0,2.0
36,157.0,1.2,1.2,53.3,,,1.9,1.9
37,162.6,0.0,0.0,53.400000000000006,,,1.9,1.9
38,168.2,1.0,1.0,52.900000000000006,,,1.9,1.9
39,173.6,0.9,0.9,52.1,,,1.9,1.9
40,179.0,0.7,0.7,49.8,,,1.8,1.8
41,184.2,0.5,0.5,48.800000000000004,,,1.8,1.8
42,189.3,0.3,0.3,48.9,,,1.8,1.8
