point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,20.2,0.0,0.0,8.7,,,0.5,0.5
1,24.8,2.1,2.1,3.2399999999999998,,,0.19,0.19
2,28.0,0.0,0.0,0.82,,,0.06999999999999999,0.06999999999999999
3,32.0,3.0,3.0,0.98,,,0.08,0.08
4,35.0,3.0,3.0,1.32,,,0.11,0.11
5,38.2,0.0,0.0,2.5100000000000002,,,0.19,0.19
6,41.2,0.0,0.0,3.3899999999999997,,,0.25,0.25
7,43.9,1.9,1.9,4.2,,,0.3,0.3
8,46.5,0.0,0.0,4.7,,,0.4,0.4
9,48.2,0.0,0.0,5.3,,,0.5,0.5
10,49.0,0.0,0.0,5.2,,,0.21000000000000002,0.21000000000000002
11,51.8,0.0,0.0,5.4,,,0.3,0.3
12,55.3,1.5,1.5,5.7,,,0.3,0.3
13,57.2,1.4,1.4,5.94,,,0.25,0.25
14,62.9,1.3,1.3,5.3,,,0.3,0.3
15,64.6,1.3,1.3,5.8999999999999995,,,0.3,0.3
16,69.7,1.2,1.2,5.8,,,0.3,0.3
17,76.2,0.0,0.0,5.6,,,0.5,0.5
18,77.3,2.1,2.1,5.6,,,0.21000000000000002,0.21000000000000002
19,82.2,0.9,0.9,5.8999999999999995,,,0.5,0.5
20,87.4,1.9,1.9,5.78,,,0.21000000000000002,0.21000000000000002
21,87.9,0.8,0.8,6.0,,,0.5,0.5
22,93.3,0.8,0.8,5.6,,,0.5,0.5
23,96.6,1.6,1.6,5.54,,,0.2,0.2
24,98.6,0.7,0.7,5.6,,,0.5,0.5
25,105.2,1.4,1.4,5.91,,,0.22,0.22
26,113.3,1.2,1.2,5.590000000000001,,,0.2,0.2
27,121.0,1.1,1.1,5.4,,,0.2,0.2
28,128.4,0.9,0.9,5.17,,,0.2,0.2
29,133.7,1.7,1.7,5.3,,,0.4,0.4
30,135.5,0.8,0.8,4.88,,,0.25,0.25
31,140.5,1.5,1.5,5.4,,,0.3,0.3
32,142.3,0.6,0.6,4.819999999999999,,,0.19,0.19
33,147.2,1.5,1.5,5.3,,,0.3,0.3
34,148.9,0.5,0.5,4.5,,,0.3,0.3
35,153.6,1.3,1.3,5.3,,,0.3,0.3
36,159.9,1.2,1.2,5.6,,,0.3,0.3
37,166.0,1.1,1.1,5.0,,,0.3,0.3
38,172.0,0.0,0.0,4.97,,,0.23,0.23
39,177.8,0.8,0.8,4.8,,,0.4,0.4
40,183.5,0.6,0.6,5.0,,,0.3,0.3
41,189.1,0.5,0.5,5.4,,,0.3,0.3
