point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,20.2,0.0,0.0,10.9,,,0.5,0.5
1,24.8,2.1,2.1,40.800000000000004,,,2.1,2.1
2,28.0,0.0,0.0,62.6,,,2.3,2.3
3,32.0,3.0,3.0,70.0,,,3.0,3.0
4,35.0,3.0,3.0,72.0,,,3.0,3.0
5,38.2,0.0,0.0,73.0,,,3.0,3.0
6,41.2,0.0,0.0,72.0,,,3.0,3.0
7,43.9,1.9,1.9,75.0,,,3.0,3.0
8,46.5,0.0,0.0,72.0,,,3.0,3.0
9,48.2,0.0,0.0,68.7,,,2.5,2.5
10,49.0,0.0,0.0,72.0,,,3.0,3.0
11,51.8,0.0,0.0,70.0,,,3.0,3.0
12,55.3,1.5,1.5,67.0,,,2.4,2.4
13,57.2,1.4,1.4,66.19999999999999,,,2.4,2.4
14,62.9,1.3,1.3,65.5,,,2.4,2.4
15,64.6,1.3,1.3,57.8,,,2.1,2.1
16,69.7,1.2,1.2,63.4,,,2.3,2.3
17,76.2,0.0,0.0,62.6,,,2.3,2.3
18,77.3,2.1,2.1,54.4,,,2.0,2.0
19,82.2,0.9,0.9,61.400000000000006,,,2.3,2.3
20,87.4,1.9,1.9,56.599999999999994,,,2.0,2.0
21,87.9,0.8,0.8,56.800000000000004,,,2.4,2.4
22,93.3,0.8,0.8,52.0,,,1.9,1.9
23,96.6,1.6,1.6,55.5,,,1.9,1.9
24,98.6,0.7,0.7,48.099999999999994,,,1.8,1.8
25,105.2,1.4,1.4,47.5,,,1.7,1.7
26,113.3,1.2,1.2,47.6,,,1.7,1.7
27,121.0,1.1,1.1,46.5,,,1.7,1.7
28,128.4,0.9,0.9,43.8,,,1.6,1.6
29,133.7,1.7,1.7,42.3,,,1.8,1.8
30,135.5,0.8,0.8,41.8,,,1.5,1.5
31,140.5,1.5,1.5,39.699999999999996,,,1.4,1.4
32,142.3,0.6,0.6,40.099999999999994,,,1.5,1.5
33,147.2,1.5,1.5,39.300000000000004,,,1.4,1.4
34,148.9,0.5,0.5,40.800000000000004,,,1.5,1.5
35,153.6,1.3,1.3,37.0,,,1.3,1.3
36,159.9,1.2,1.2,37.0,,,1.3,1.3
37,166.0,1.1,1.1,37.0,,,1.3,1.3
38,172.0,0.0,0.0,37.0,,,1.3,1.3
39,177.8,0.8,0.8,36.0,,,1.5,1.5
40,183.5,0.6,0.6,33.7,,,1.2,1.2
41,189.1,0.5,0.5,31.7,,,1.1,1.1
