point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,22.7,2.0,2.0,17.5,,,0.9,0.9
1,25.6,1.8,1.8,25.4,,,1.3,1.3
2,29.1,1.7,1.7,32.5,,,1.7,1.7
3,32.0,3.0,3.0,33.0,,,2.1,2.1
4,35.0,3.0,3.0,30.5,,,1.4,1.4
5,37.8,2.4,2.4,29.2,,,1.1,1.1
6,40.3,0.0,0.0,26.8,,,1.1,1.1
7,42.7,0.0,0.0,24.299999999999997,,,1.0,1.0
8,45.1,1.9,1.9,23.5,,,1.4,1.4
9,47.5,1.7,1.7,23.3,,,0.9,0.9
10,48.2,0.0,0.0,22.5,,,0.8,0.8
11,49.6,1.6,1.6,22.4,,,1.1,1.1
12,51.8,1.6,1.6,21.2,,,0.8,0.8
13,57.0,1.4,1.4,19.0,,,0.7,0.7
14,57.6,1.4,1.4,19.400000000000002,,,1.0,1.0
15,64.2,1.2,1.2,18.1,,,0.8,0.8
16,64.7,1.2,1.2,18.1,,,0.9,0.9
17,70.9,1.1,1.1,16.0,,,0.7,0.7
18,77.0,0.9,0.9,14.6,,,0.5,0.5
19,79.0,0.0,0.0,13.700000000000001,,,0.6,0.6
20,82.8,0.8,0.8,13.799999999999999,,,0.6,0.6
21,88.3,0.8,0.8,13.0,,,0.5,0.5
22,88.8,1.9,1.9,11.9,,,0.4,0.4
23,93.6,0.7,0.7,12.5,,,0.7,0.7
24,97.8,1.6,1.6,11.6,,,0.8,0.8
25,98.6,0.0,0.0,11.6,,,0.6,0.6
26,106.1,1.4,1.4,11.6,,,0.5,0.5
27,114.1,1.3,1.3,10.5,,,0.4,0.4
28,121.6,1.1,1.1,10.3,,,0.5,0.5
29,128.8,0.0,0.0,10.3,,,0.5,0.5
30,134.8,1.7,1.7,10.0,,,0.6,0.6
31,135.8,0.8,0.8,9.5,,,1.0,1.0
32,141.5,1.6,1.6,9.5,,,0.5,0.5
33,142.5,0.6,0.6,9.5,,,0.4,0.4
34,148.1,1.4,1.4,9.799999999999999,,,0.4,0.4
35,149.0,0.5,0.5,9.0,,,0.4,0.4
36,154.3,1.3,1.3,9.6,,,0.4,0.4
37,160.6,1.2,1.2,9.2,,,0.7,0.7
38,166.5,1.0,1.0,9.2,,,0.5,0.5
39,172.3,0.9,0.9,9.2,,,0.5,0.5
40,178.1,0.7,0.7,8.5,,,0.4,0.4
41,183.7,0.6,0.6,8.200000000000001,,,0.4,0.4
42,189.1,0.4,0.4,7.4,,,0.4,0.4
