point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,9.73,0.0,0.0,15.0,,,3.1,3.1
1,9.95,0.0,0.0,28.6,,,0.0,0.0
2,10.2,0.0,0.0,28.6,,,0.0,0.0
3,10.3,0.0,0.0,40.599999999999994,,,0.0,0.0
4,10.5,0.0,0.0,50.2,,,0.0,0.0
5,10.7,0.0,0.0,56.4,,,0.0,0.0
6,10.9,0.0,0.0,78.60000000000001,,,9.299999999999999,9.299999999999999
7,11.1,0.0,0.0,68.6,,,0.0,0.0
8,11.3,0.0,0.0,52.400000000000006,,,0.0,0.0
9,11.4,0.0,0.0,38.4,,,0.0,0.0
10,11.5,0.0,0.0,34.0,,,0.0,0.0
11,11.7,0.0,0.0,37.8,,,0.0,0.0
12,11.9,0.0,0.0,24.0,,,0.0,0.0
13,12.1,0.0,0.0,28.0,,,0.0,0.0
14,12.3,0.0,0.0,36.6,,,0.0,0.0
15,12.4,0.0,0.0,30.0,,,0.0,0.0
16,12.5,0.0,0.0,41.2,,,6.4,6.4
17,12.7,0.0,0.0,37.199999999999996,,,0.0,0.0
18,12.9,0.0,0.0,39.0,,,0.0,0.0
19,13.0,0.0,0.0,19.2,,,0.0,0.0
20,13.2,0.0,0.0,24.400000000000002,,,0.0,0.0
21,13.3,0.0,0.0,29.8,,,0.0,0.0
22,13.5,0.0,0.0,28.6,,,0.0,0.0
23,13.7,0.0,0.0,39.800000000000004,,,0.0,0.0
24,13.9,0.0,0.0,56.599999999999994,,,0.0,0.0
25,14.0,0.0,0.0,58.0,,,0.0,0.0
26,14.2,0.0,0.0,50.0,,,0.0,0.0
27,14.3,0.0,0.0,54.199999999999996,,,0.0,0.0
28,14.5,0.0,0.0,41.0,,,0.0,0.0
29,14.7,0.0,0.0,50.2,,,7.4,7.4
30,14.8,0.0,0.0,34.6,,,0.0,0.0
31,15.0,0.0,0.0,45.199999999999996,,,0.0,0.0
