point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,27.6,0.828,0.828,76.5,,,0.0,0.0
1,28.1,0.843,0.843,77.5,,,0.0,0.0
2,28.7,0.861,0.861,80.0,,,0.0,0.0
3,29.4,0.882,0.882,81.9,,,0.0,0.0
4,29.9,0.897,0.897,84.9,,,0.0,0.0
5,30.6,0.918,0.918,84.7,,,0.0,0.0
6,31.1,0.933,0.933,85.6,,,0.0,0.0
7,31.8,0.954,0.954,88.8,,,0.0,0.0
8,32.4,0.972,0.972,86.3,,,0.0,0.0
9,33.1,0.993,0.993,87.1,,,0.0,0.0
10,33.4,1.002,1.002,87.2,,,0.0,0.0
11,33.7,1.011,1.011,88.9,,,0.0,0.0
12,34.0,1.02,1.02,88.2,,,0.0,0.0
13,34.5,1.035,1.035,88.1,,,0.0,0.0
14,34.8,1.044,1.044,89.1,,,0.0,0.0
15,35.2,1.056,1.056,86.6,,,0.0,0.0
16,35.7,1.071,1.071,85.5,,,0.0,0.0
17,36.2,1.086,1.086,84.8,,,0.0,0.0
18,36.6,1.098,1.098,85.7,,,0.0,0.0
19,37.1,1.113,1.113,85.5,,,0.0,0.0
20,37.6,1.128,1.128,86.0,,,0.0,0.0
21,38.0,1.14,1.14,86.3,,,0.0,0.0
22,38.3,1.149,1.149,86.7,,,0.0,0.0
23,38.5,1.155,1.155,84.8,,,0.0,0.0
24,38.8,1.164,1.164,86.4,,,0.0,0.0
25,39.2,1.176,1.176,86.2,,,0.0,0.0
26,39.6,1.188,1.188,85.3,,,0.0,0.0
27,40.0,1.2,1.2,81.4,,,0.0,0.0
28,41.0,1.23,1.23,83.2,,,0.0,0.0
29,41.4,1.242,1.242,84.7,,,0.0,0.0
30,41.8,1.254,1.254,84.7,,,3.4499999999999997,3.4499999999999997
