point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,6.51,0.0,0.0,0.05,,,0.012,0.012
1,6.64,0.0,0.0,0.05,,,0.01,0.01
2,6.71,0.0,0.0,0.25,,,0.04,0.04
3,6.78,0.0,0.0,0.33,,,0.041999999999999996,0.041999999999999996
4,6.91,0.0,0.0,1.16,,,0.09000000000000001,0.09000000000000001
5,7.01,0.0,0.0,2.63,,,0.13999999999999999,0.13999999999999999
6,7.11,0.0,0.0,2.82,,,0.16,0.16
7,7.21,0.0,0.0,4.92,,,0.24000000000000002,0.24000000000000002
8,7.31,0.0,0.0,11.6,,,0.58,0.58
9,7.51,0.0,0.0,11.549999999999999,,,0.68,0.68
10,7.71,0.0,0.0,13.799999999999999,,,0.83,0.83
