point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,6.5,,,0.005,,,0.003,0.003
1,6.6,,,0.011,,,0.007,0.007
2,6.7,,,0.122,,,0.076,0.076
3,6.8,,,0.48,,,0.29,0.29
4,6.9,,,1.1,,,0.68,0.68
5,7.0,,,2.03,,,1.26,1.26
6,7.1,,,3.28,,,2.04,2.04
7,7.2,,,4.8,,,3.0,3.0
8,7.3,,,6.7,,,4.1,4.1
9,7.4,,,8.7,,,5.4,5.4
10,7.5,,,10.7,,,6.6,6.6
11,7.6,,,12.6,,,7.8,7.8
12,7.7,,,14.3,,,8.9,8.9
13,7.8,,,16.2,,,10.0,10.0
14,7.9,,,152.0,,,94.3,94.3
15,8.0,,,51.3,,,20.2,20.2
16,8.1,,,38.9,,,15.3,15.3
17,8.2,,,37.2,,,14.6,14.6
18,8.3,,,36.9,,,14.5,14.5
19,8.4,,,36.2,,,14.2,14.2
20,8.5,,,34.2,,,13.5,13.5
21,8.6,,,30.6,,,12.0,12.0
22,8.7,,,25.4,,,10.0,10.0
23,8.8,,,19.6,,,7.7,7.7
24,8.9,,,14.2,,,5.6,5.6
25,9.0,,,10.0,,,1.8,1.8
26,9.1,,,7.3,,,1.3,1.3
27,9.2,,,5.9,,,1.0,1.0
28,9.3,,,5.5,,,1.0,1.0
29,9.4,,,5.9,,,1.0,1.0
30,9.5,,,6.8,,,1.2,1.2
31,9.6,,,8.2,,,1.4,1.4
32,9.7,,,9.8,,,1.7,1.7
33,9.8,,,11.8,,,2.1,2.1
34,9.9,,,14.1,,,2.5,2.5
35,10.0,,,16.8,,,2.6,2.6
36,10.1,,,19.8,,,3.1,3.1
37,10.2,,,23.3,,,3.6,3.6
38,10.3,,,27.2,,,4.3,4.3
39,10.4,,,31.6,,,5.0,5.0
40,10.5,,,36.5,,,5.7,5.7
41,10.6,,,41.4,,,6.5,6.5
42,10.7,,,46.0,,,7.2,7.2
43,10.8,,,49.4,,,7.7,7.7
44,10.9,,,50.9,,,8.0,8.0
45,11.0,,,50.0,,,3.8,3.8
46,11.1,,,47.0,,,3.6,3.6
47,11.2,,,42.7,,,3.3,3.3
48,11.3,,,38.1,,,2.9,2.9
49,11.4,,,33.8,,,2.6,2.6
50,11.5,,,30.3,,,2.3,2.3
51,11.6,,,27.5,,,2.1,2.1
52,11.7,,,25.6,,,2.0,2.0
53,11.8,,,24.2,,,1.9,1.9
54,11.9,,,23.5,,,1.8,1.8
55,12.0,,,23.1,,,1.6,1.6
56,12.1,,,23.2,,,1.6,1.6
57,12.2,,,23.5,,,1.6,1.6
58,12.3,,,23.9,,,1.7,1.7
59,12.4,,,24.4,,,1.7,1.7
60,12.5,,,24.8,,,1.7,1.7
61,12.6,,,25.0,,,1.7,1.7
62,12.7,,,24.8,,,1.7,1.7
63,12.8,,,24.1,,,1.7,1.7
64,12.9,,,22.9,,,1.6,1.6
65,13.0,,,21.1,,,1.3,1.3
66,13.1,,,19.2,,,1.2,1.2
67,13.2,,,17.4,,,1.1,1.1
68,13.3,,,16.0,,,1.0,1.0
69,13.4,,,15.4,,,1.0,1.0
70,13.5,,,15.7,,,1.0,1.0
71,13.6,,,16.9,,,1.1,1.1
72,13.7,,,19.0,,,1.2,1.2
73,13.8,,,22.0,,,1.4,1.4
74,13.9,,,25.7,,,1.6,1.6
75,14.0,,,29.8,,,2.4,2.4
76,14.1,,,33.7,,,2.7,2.7
77,14.2,,,36.7,,,2.9,2.9
78,14.3,,,37.8,,,3.0,3.0
79,14.4,,,36.8,,,2.9,2.9
80,14.5,,,34.1,,,2.7,2.7
81,14.6,,,30.9,,,2.5,2.5
82,14.7,,,28.1,,,2.2,2.2
83,14.8,,,26.0,,,2.1,2.1
84,14.9,,,24.9,,,2.0,2.0
85,15.0,,,24.6,,,1.9,1.9
86,15.1,,,24.7,,,1.9,1.9
87,15.2,,,24.9,,,1.9,1.9
88,15.3,,,24.8,,,1.9,1.9
89,15.4,,,24.2,,,1.8,1.8
90,15.5,,,22.9,,,1.7,1.7
91,15.6,,,21.0,,,1.6,1.6
92,15.7,,,18.7,,,1.4,1.4
93,15.8,,,16.3,,,1.2,1.2
94,15.9,,,13.9,,,1.1,1.1
95,16.0,,,11.7,,,0.9,0.9
96,16.1,,,9.8,,,0.8,0.8
97,16.2,,,8.2,,,0.6,0.6
98,16.3,,,6.9,,,0.6,0.6
99,16.4,,,6.1,,,0.5,0.5
100,16.5,,,5.6,,,0.4,0.4
101,16.6,,,5.5,,,0.4,0.4
102,16.7,,,5.9,,,0.5,0.5
103,16.8,,,6.8,,,0.5,0.5
104,16.9,,,8.4,,,0.7,0.7
105,17.0,,,10.5,,,0.7,0.7
106,17.1,,,13.2,,,0.8,0.8
107,17.2,,,15.9,,,1.0,1.0
108,17.3,,,18.1,,,1.1,1.1
109,17.4,,,19.1,,,1.2,1.2
110,17.5,,,18.8,,,1.2,1.2
111,17.6,,,17.4,,,1.1,1.1
112,17.7,,,15.4,,,1.0,1.0
113,17.8,,,13.3,,,0.8,0.8
114,17.9,,,11.3,,,0.7,0.7
115,18.0,,,9.7,,,0.9,0.9
116,18.1,,,8.2,,,0.8,0.8
117,18.2,,,6.9,,,0.6,0.6
118,18.3,,,5.8,,,0.5,0.5
119,18.4,,,4.8,,,0.4,0.4
120,18.5,,,3.9,,,0.4,0.4
