point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,18.0,,,0.10000020000000001,,,,
1,20.0,,,26.89999,,,,
2,21.346,,,35.91374,,,,
3,22.0,,,40.43298,,,,
4,24.0,,,54.50993,,,,
5,25.3202,,,64.35153000000001,,,,
6,26.0,,,69.1368,,,,
7,28.0,,,79.09983,,,,
8,30.0,,,84.40003999999999,,,,
9,35.0,,,90.85003,,,,
10,40.0,,,90.55303,,,,
11,45.0,,,88.47686,,,,
12,50.0,,,86.39989,,,,
13,60.0,,,81.10005000000001,,,,
14,70.0,,,75.79988,,,,
15,80.0,,,70.50005,,,,
16,90.0,,,65.9,,,,
17,100.0,,,61.30007,,,,
18,110.0,,,57.00391,,,,
19,120.0,,,53.3449,,,,
20,130.0,,,50.18708,,,,
21,140.0,,,47.43001,,,,
22,150.0,,,45.00008,,,,
23,200.0,,,41.20009,,,,
