point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,8.928,,,0.0,,,,
1,9.0,,,0.038145780000000004,,,,
2,10.0,,,0.5759404,,,,
3,11.0,,,1.127308,,,,
4,12.0,,,1.6910180000000001,,,,
5,13.0,,,7.26694,,,,
6,14.0,,,11.645100000000001,,,,
7,15.0,,,17.216459999999998,,,,
8,16.0,,,24.0048,,,,
9,18.0,,,29.93105,,,,
10,20.0,,,30.193830000000002,,,,
11,22.0,,,30.689749999999997,,,,
12,24.0,,,31.06988,,,,
13,26.0,,,32.39523,,,,
14,28.0,,,32.83924,,,,
15,30.0,,,33.299839999999996,,,,
16,32.0,,,33.73711,,,,
17,34.0,,,34.18064,,,,
18,36.0,,,32.923069999999996,,,,
19,38.0,,,31.200499999999998,,,,
20,40.0,,,29.584789999999998,,,,
21,42.0,,,28.06331,,,,
22,44.0,,,26.62504,,,,
23,46.0,,,25.102220000000003,,,,
24,48.0,,,23.18146,,,,
25,50.0,,,21.5639,,,,
26,55.0,,,19.43117,,,,
27,60.0,,,17.5,,,,
28,65.0,,,17.02498,,,,
29,70.0,,,16.59999,,,,
30,80.0,,,15.10886,,,,
31,90.0,,,13.59818,,,,
32,100.0,,,11.91948,,,,
33,110.0,,,10.55651,,,,
34,120.0,,,10.141300000000001,,,,
35,130.0,,,9.614595,,,,
36,140.0,,,8.933201,,,,
37,150.0,,,8.764925999999999,,,,
38,200.0,,,8.771645999999999,,,,
