point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,25.15,,,0.0,,,,
1,26.0,,,0.2414511,,,,
2,28.0,,,0.7943198,,,,
3,30.0,,,1.328036,,,,
4,32.0,,,1.8271629999999999,,,,
5,34.0,,,2.320725,,,,
6,36.0,,,2.760216,,,,
7,38.0,,,3.162089,,,,
8,40.0,,,3.852345,,,,
9,42.0,,,6.603205,,,,
10,44.0,,,9.237924,,,,
11,46.0,,,10.64869,,,,
12,48.0,,,11.349720000000001,,,,
13,50.0,,,12.029079999999999,,,,
14,55.0,,,14.79798,,,,
15,60.0,,,18.093310000000002,,,,
16,65.0,,,18.56439,,,,
17,70.0,,,18.14853,,,,
18,80.0,,,17.21065,,,,
19,90.0,,,16.36729,,,,
20,100.0,,,15.10303,,,,
21,110.0,,,14.062800000000001,,,,
22,120.0,,,13.71573,,,,
23,130.0,,,12.17568,,,,
24,140.0,,,11.66693,,,,
25,150.0,,,11.22992,,,,
26,200.0,,,10.631039999999999,,,,
