point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,5.5478,,,0.0,,,,
1,6.0,,,0.0,,,,
2,7.0,,,3.225422,,,,
3,8.0,,,20.4758,,,,
4,9.0,,,29.05307,,,,
5,10.0,,,28.66686,,,,
6,11.0,,,73.63717,,,,
7,12.0,,,25.999930000000003,,,,
8,13.0,,,19.20015,,,,
9,14.0,,,58.00024,,,,
10,15.0,,,45.2001,,,,
11,16.0,,,16.731659999999998,,,,
12,18.0,,,13.13681,,,,
13,20.0,,,7.869826999999999,,,,
14,22.0,,,6.188066,,,,
15,24.0,,,4.214003,,,,
16,26.0,,,2.560208,,,,
17,28.0,,,1.487507,,,,
18,30.0,,,1.37415,,,,
19,32.0,,,1.37077,,,,
20,34.0,,,1.368863,,,,
21,36.0,,,1.368242,,,,
22,38.0,,,1.3686390000000002,,,,
23,40.0,,,1.369988,,,,
24,42.0,,,1.719873,,,,
25,44.0,,,2.0554900000000003,,,,
26,46.0,,,2.3781689999999998,,,,
27,48.0,,,2.6890159999999996,,,,
28,50.0,,,2.989192,,,,
29,55.0,,,4.637836,,,,
30,60.0,,,6.165182,,,,
31,65.0,,,6.675828,,,,
32,70.0,,,7.163654999999999,,,,
33,80.0,,,8.085221,,,,
34,90.0,,,8.027618,,,,
35,100.0,,,7.995979,,,,
36,110.0,,,7.74704,,,,
37,120.0,,,7.521942,,,,
38,130.0,,,7.471796,,,,
39,140.0,,,7.429002,,,,
40,150.0,,,7.392631000000001,,,,
41,200.0,,,7.362909,,,,
