point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,14.292,,,0.0,,,,
1,15.0,,,1.755281,,,,
2,16.0,,,4.129982,,,,
3,18.0,,,9.222928,,,,
4,20.0,,,15.244900000000001,,,,
5,22.0,,,21.19468,,,,
6,24.0,,,27.37265,,,,
7,26.0,,,34.69994,,,,
8,28.0,,,44.49991,,,,
9,30.0,,,57.676860000000005,,,,
10,32.0,,,66.49901,,,,
11,34.0,,,66.81423000000001,,,,
12,36.0,,,67.17039,,,,
13,38.0,,,67.55687,,,,
14,40.0,,,67.97271,,,,
15,42.0,,,68.4251,,,,
16,44.0,,,68.48591,,,,
17,46.0,,,67.3236,,,,
18,48.0,,,66.23695000000001,,,,
19,50.0,,,65.2219,,,,
20,55.0,,,67.41531,,,,
21,60.0,,,70.00043000000001,,,,
22,65.0,,,70.47133,,,,
23,70.0,,,71.00101000000001,,,,
24,80.0,,,62.199110000000005,,,,
25,90.0,,,62.46297,,,,
26,100.0,,,61.22336,,,,
27,110.0,,,60.118280000000006,,,,
28,120.0,,,52.69905,,,,
29,130.0,,,47.69929,,,,
30,140.0,,,43.78005,,,,
31,150.0,,,42.0706,,,,
32,200.0,,,40.41144,,,,
