point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,4.812014,,,0.0,,,,
1,17.88388,,,0.05761641878409723,,,,
2,18.0,,,0.05783401857432,,,,
3,19.0,,,0.42740026756908,,,,
4,20.0,,,2.15920765691,,,,
5,23.0,,,18.919307376111,,,,
6,27.0,,,51.542183652960006,,,,
7,30.0,,,72.47897864208,,,,
8,35.0,,,85.25507390391,,,,
9,40.0,,,87.09240342733,,,,
10,50.0,,,81.98185612694,,,,
11,60.0,,,69.50660785619999,,,,
12,70.0,,,60.529576818420004,,,,
13,80.0,,,51.0110520738,,,,
14,90.0,,,45.747682229990005,,,,
15,100.0,,,41.25786742472,,,,
16,110.0,,,40.594724920160004,,,,
17,120.0,,,39.6122148,,,,
18,130.0,,,36.978085947,,,,
19,140.0,,,36.946224,,,,
20,150.0,,,36.468001494999996,,,,
