point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,2.479502,,,0.0,,,,
1,8.928845,,,0.0,,,,
2,9.0,,,0.0,,,,
3,10.0,,,0.08806517192704,,,,
4,11.0,,,2.3818212404307,,,,
5,12.0,,,7.850122845853,,,,
6,13.0,,,13.013025279649998,,,,
7,14.0,,,19.012601394165998,,,,
8,15.0,,,25.647417897399,,,,
9,16.0,,,31.381923242844,,,,
10,17.0,,,35.690766326171996,,,,
11,18.0,,,38.117439661124,,,,
12,19.0,,,41.207670468524995,,,,
13,20.0,,,41.986726433652,,,,
14,22.0,,,43.756038753231,,,,
15,24.0,,,42.5249661486,,,,
16,26.0,,,39.464556353489996,,,,
17,28.0,,,36.977842505736,,,,
18,30.0,,,34.415215947306,,,,
19,35.0,,,27.382325341753,,,,
20,40.0,,,23.19333765242,,,,
21,45.0,,,20.473272711281002,,,,
22,50.0,,,16.70883191271,,,,
23,55.0,,,14.95656693222,,,,
24,60.0,,,13.8564332795,,,,
25,65.0,,,11.389455486396,,,,
26,70.0,,,12.862452507648,,,,
27,75.0,,,11.049771495158001,,,,
28,80.0,,,9.555110825478,,,,
29,85.0,,,10.361442660632,,,,
30,90.0,,,8.949350021175,,,,
31,95.0,,,7.962570678509999,,,,
32,100.0,,,8.972118807456,,,,
33,110.0,,,6.864537785804999,,,,
34,120.0,,,7.269786363878,,,,
35,130.0,,,8.10983422984,,,,
36,140.0,,,5.925842194294001,,,,
37,150.0,,,6.5316576556929995,,,,
