point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,5.547481,,,0.0,,,,
1,25.15108,,,7.38316714962972e-05,,,,
2,27.0,,,7.290837186e-05,,,,
3,30.0,,,0.4938426538980001,,,,
4,35.0,,,6.7157758528,,,,
5,40.0,,,15.248291440000001,,,,
6,50.0,,,25.44729559,,,,
7,60.0,,,26.88128378,,,,
8,70.0,,,24.49087461,,,,
9,80.0,,,22.037466119999998,,,,
10,90.0,,,20.6797816761,,,,
11,100.0,,,19.9325907,,,,
12,110.0,,,19.9314749244,,,,
13,120.0,,,19.3548556,,,,
14,130.0,,,19.518825449999998,,,,
15,140.0,,,18.908148899999997,,,,
16,150.0,,,19.056884949999997,,,,
