point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,5.547481,,,0.0,,,,
1,6.0,,,0.0,,,,
2,7.0,,,1.0296347388088998,,,,
3,8.0,,,22.130024089655997,,,,
4,9.0,,,45.8223136,,,,
5,10.0,,,48.978935128619995,,,,
6,11.0,,,47.89202940731,,,,
7,12.0,,,33.939623779668,,,,
8,13.0,,,20.965128946776,,,,
9,14.0,,,11.514558529029,,,,
10,15.0,,,6.977546449755999,,,,
11,16.0,,,4.1104366099707,,,,
12,17.0,,,2.5667466024384,,,,
13,18.0,,,1.9206991300986003,,,,
14,19.0,,,2.1392386206319998,,,,
15,20.0,,,2.2172520311933996,,,,
16,23.0,,,4.9925964,,,,
17,27.0,,,2.15581038576,,,,
18,30.0,,,1.16573296125,,,,
19,35.0,,,0.5749894985599999,,,,
20,40.0,,,0.7143531630000001,,,,
21,50.0,,,3.990900771,,,,
22,60.0,,,7.15667484,,,,
23,70.0,,,8.45077743,,,,
24,80.0,,,8.355309640000002,,,,
25,90.0,,,7.5803076977999995,,,,
26,100.0,,,7.39230327,,,,
27,110.0,,,7.2255913392,,,,
28,120.0,,,6.7475586,,,,
29,130.0,,,7.1831024999999995,,,,
30,140.0,,,6.86453495,,,,
31,150.0,,,7.3086958,,,,
