point_id,energy_MeV,energy_unc_minus_MeV,energy_unc_plus_MeV,sigma_mb,sigma_unc_stat_mb,sigma_unc_sys_mb,sigma_unc_minus_mb,sigma_unc_plus_mb
0,5.547481,,,0.0,,,,
1,14.2867,,,0.018263451986854275,,,,
2,15.0,,,0.018459197400724,,,,
3,16.0,,,2.2355173749347994,,,,
4,17.0,,,8.577837085152,,,,
5,18.0,,,15.074609501421,,,,
6,19.0,,,23.547807113775995,,,,
7,20.0,,,35.72737818033,,,,
8,23.0,,,60.539393100000005,,,,
9,27.0,,,88.75576812,,,,
10,30.0,,,96.320567904,,,,
11,35.0,,,97.406767008,,,,
12,40.0,,,88.24919890000001,,,,
13,50.0,,,73.7940651,,,,
14,60.0,,,59.6426132,,,,
15,70.0,,,52.1164647,,,,
16,80.0,,,45.7757492,,,,
17,90.0,,,41.731000707,,,,
18,100.0,,,39.339342900000005,,,,
19,110.0,,,40.265838521999996,,,,
20,120.0,,,38.55679500000001,,,,
21,130.0,,,38.789137000000004,,,,
22,140.0,,,36.493919,,,,
23,150.0,,,37.45750699999999,,,,
