16O(p,α)13N      							
							
	Pade	Fit		Physical	Physical	1 h		Saturation
Energy	Fit	Uncert.	Energy	Yield		Yield		irradiation	Yield
MeV	mb	mb	MeV	MBq/uAh		mCi/uAh		MBq/uA		MBq/uA
6.5	0.005	0.003	6.5	8.07E-03	2.18E-04	1.90E-03	1.93E-03
6.6	0.011	0.007	6.6	2.85E-02	7.70E-04	6.72E-03	6.82E-03
6.7	0.122	0.076	6.7	2.48E-01	6.71E-03	5.86E-02	5.95E-02
6.8	0.48	0.29	6.8	1.12E+00	3.01E-02	2.63E-01	2.67E-01
6.9	1.10	0.68	6.9	3.14E+00	8.49E-02	7.41E-01	7.53E-01
7.0	2.03	1.26	7.0	6.93E+00	1.87E-01	1.63E+00	1.66E+00
7.1	3.28	2.04	7.1	1.31E+01	3.55E-01	3.10E+00	3.15E+00
7.2	4.8	3.0	7.2	2.24E+01	6.05E-01	5.28E+00	5.36E+00
7.3	6.7	4.1	7.3	3.52E+01	9.52E-01	8.31E+00	8.44E+00
7.4	8.7	5.4	7.4	5.21E+01	1.41E+00	1.23E+01	1.25E+01
7.5	10.7	6.6	7.5	7.32E+01	1.98E+00	1.73E+01	1.75E+01
7.6	12.6	7.8	7.6	9.83E+01	2.66E+00	2.32E+01	2.36E+01
7.7	14.3	8.9	7.7	1.27E+02	3.43E+00	3.00E+01	3.04E+01
7.8	16.2	10.0	7.8	1.60E+02	4.32E+00	3.77E+01	3.83E+01
7.9	152.0	94.3	7.9	4.71E+02	1.27E+01	1.11E+02	1.13E+02
8.0	51.3	20.2	8.0	5.77E+02	1.56E+01	1.36E+02	1.38E+02
8.1	38.9	15.3	8.1	6.58E+02	1.78E+01	1.55E+02	1.58E+02
8.2	37.2	14.6	8.2	7.36E+02	1.99E+01	1.74E+02	1.76E+02
8.3	36.9	14.5	8.3	8.14E+02	2.20E+01	1.92E+02	1.95E+02
8.4	36.2	14.2	8.4	8.92E+02	2.41E+01	2.10E+02	2.14E+02
8.5	34.2	13.5	8.5	9.66E+02	2.61E+01	2.28E+02	2.31E+02
8.6	30.6	12.0	8.6	1.03E+03	2.79E+01	2.44E+02	2.48E+02
8.7	25.4	10.0	8.7	1.09E+03	2.95E+01	2.57E+02	2.61E+02
8.8	19.6	7.7	8.8	1.13E+03	3.07E+01	2.68E+02	2.72E+02
8.9	14.2	5.6	8.9	1.17E+03	3.15E+01	2.75E+02	2.80E+02
9.0	10.0	1.8	9.0	1.19E+03	3.22E+01	2.81E+02	2.85E+02
9.1	7.3	1.3	9.1	1.21E+03	3.26E+01	2.85E+02	2.89E+02
9.2	5.9	1.0	9.2	1.22E+03	3.30E+01	2.88E+02	2.93E+02
9.3	5.5	1.0	9.3	1.23E+03	3.34E+01	2.91E+02	2.96E+02
9.4	5.9	1.0	9.4	1.25E+03	3.37E+01	2.95E+02	2.99E+02
9.5	6.8	1.2	9.5	1.27E+03	3.42E+01	2.98E+02	3.03E+02
9.6	8.2	1.4	9.6	1.29E+03	3.47E+01	3.03E+02	3.08E+02
9.7	9.8	1.7	9.7	1.31E+03	3.54E+01	3.09E+02	3.14E+02
9.8	11.8	2.1	9.8	1.34E+03	3.62E+01	3.16E+02	3.21E+02
9.9	14.1	2.5	9.9	1.37E+03	3.71E+01	3.24E+02	3.29E+02
10.0	16.8	2.6	10.0	1.41E+03	3.82E+01	3.34E+02	3.39E+02
10.1	19.8	3.1	10.1	1.46E+03	3.95E+01	3.45E+02	3.51E+02
10.2	23.3	3.6	10.2	1.52E+03	4.11E+01	3.59E+02	3.64E+02
10.3	27.2	4.3	10.3	1.59E+03	4.29E+01	3.74E+02	3.80E+02
10.4	31.6	5.0	10.4	1.66E+03	4.50E+01	3.93E+02	3.99E+02
10.5	36.5	5.7	10.5	1.75E+03	4.74E+01	4.14E+02	4.20E+02
