# Residual cross-sections stored in JENDL-4.0/HE
# p + C-12

# Production of neutrons
# E_in [eV]   sigma[barns]
1.964150e+07  0.000000e+00
2.000000e+07  1.776399e-04
2.134600e+07  2.560370e-03
2.200000e+07  3.718099e-03
2.400000e+07  1.108000e-02
2.532020e+07  1.697469e-02
2.600000e+07  2.001001e-02
2.800000e+07  2.844201e-02
3.000000e+07  3.705700e-02
3.500000e+07  5.695780e-02
4.000000e+07  7.467110e-02
4.500000e+07  8.911595e-02
5.000000e+07  1.015001e-01
6.000000e+07  1.182099e-01
7.000000e+07  1.282300e-01
8.000000e+07  1.373801e-01
9.000000e+07  1.413100e-01
1.000000e+08  1.459701e-01
1.100000e+08  1.498300e-01
1.200000e+08  1.581199e-01
1.300000e+08  1.623100e-01
1.400000e+08  1.658500e-01
1.500000e+08  1.713800e-01
2.000000e+08  2.073608e-01


# Production of H-1
# E_in [eV]   sigma[barns]
4.811500e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.000000e+06  8.068697e-06
6.000000e+06  2.003100e-01
7.000000e+06  2.693400e-01
8.000000e+06  2.913400e-01
9.000000e+06  3.057399e-01
1.000000e+07  3.361100e-01
1.200000e+07  4.083400e-01
1.400000e+07  4.474902e-01
1.600000e+07  4.630400e-01
1.800000e+07  4.621598e-01
2.000000e+07  4.519698e-01
2.134600e+07  4.468015e-01
2.200000e+07  4.442902e-01
2.400000e+07  4.422502e-01
2.532020e+07  4.444138e-01
2.600000e+07  4.455287e-01
2.800000e+07  4.280515e-01
3.000000e+07  4.158414e-01
3.500000e+07  3.813305e-01
4.000000e+07  3.536502e-01
4.500000e+07  3.332801e-01
5.000000e+07  3.246394e-01
6.000000e+07  3.068310e-01
7.000000e+07  2.960296e-01
8.000000e+07  2.941710e-01
9.000000e+07  2.868696e-01
1.000000e+08  2.846200e-01
1.100000e+08  2.832193e-01
1.200000e+08  2.908092e-01
1.300000e+08  2.933805e-01
1.400000e+08  2.933604e-01
1.500000e+08  2.983710e-01
2.000000e+08  3.782204e-01


# Production of H-2
# E_in [eV]   sigma[barns]
1.788210e+07  0.000000e+00
1.800000e+07  0.000000e+00
2.000000e+07  5.461525e-03
2.134600e+07  1.200743e-02
2.200000e+07  1.518798e-02
2.400000e+07  2.323798e-02
2.532020e+07  2.550810e-02
2.600000e+07  2.667701e-02
2.800000e+07  3.012401e-02
3.000000e+07  3.334398e-02
3.500000e+07  4.549884e-02
4.000000e+07  5.457610e-02
4.500000e+07  6.118109e-02
5.000000e+07  6.860394e-02
6.000000e+07  7.274698e-02
7.000000e+07  7.552710e-02
8.000000e+07  7.692006e-02
9.000000e+07  7.621807e-02
1.000000e+08  7.812495e-02
1.100000e+08  8.029003e-02
1.200000e+08  8.348610e-02
1.300000e+08  8.462504e-02
1.400000e+08  8.508900e-02
1.500000e+08  8.628797e-02
2.000000e+08  8.112066e-02


# Production of H-3
# E_in [eV]   sigma[barns]
2.532020e+07  0.000000e+00
2.600000e+07  1.758601e-07
2.800000e+07  9.285521e-05
3.000000e+07  3.276199e-04
3.500000e+07  1.464498e-03
4.000000e+07  3.784285e-03
4.500000e+07  6.116499e-03
5.000000e+07  8.216901e-03
6.000000e+07  1.052599e-02
7.000000e+07  1.239599e-02
8.000000e+07  1.381899e-02
9.000000e+07  1.462101e-02
1.000000e+08  1.557101e-02
1.100000e+08  1.612601e-02
1.200000e+08  1.685101e-02
1.300000e+08  1.691200e-02
1.400000e+08  1.677501e-02
1.500000e+08  1.668900e-02
2.000000e+08  1.830700e-02


# Production of He-3
# E_in [eV]   sigma[barns]
2.134600e+07  0.000000e+00
2.200000e+07  2.684798e-12
2.400000e+07  5.027319e-04
2.532020e+07  2.417332e-03
2.600000e+07  3.403199e-03
2.800000e+07  5.212708e-03
3.000000e+07  6.140007e-03
3.500000e+07  8.391500e-03
4.000000e+07  1.398301e-02
4.500000e+07  1.968801e-02
5.000000e+07  2.503200e-02
6.000000e+07  2.918192e-02
7.000000e+07  3.135097e-02
8.000000e+07  3.273302e-02
9.000000e+07  3.272492e-02
1.000000e+08  3.325300e-02
1.100000e+08  3.342206e-02
1.200000e+08  3.411494e-02
1.300000e+08  3.385011e-02
1.400000e+08  3.366695e-02
1.500000e+08  3.359398e-02
2.000000e+08  3.374026e-02


# Production of He-4
# E_in [eV]   sigma[barns]
8.185520e+06  0.000000e+00
9.000000e+06  2.093299e-02
1.000000e+07  2.182100e-01
1.200000e+07  6.773013e-01
1.400000e+07  9.480108e-01
1.600000e+07  1.059801e+00
1.800000e+07  1.089899e+00
2.000000e+07  1.142900e+00
2.134600e+07  1.109518e+00
2.200000e+07  1.093300e+00
2.400000e+07  1.040602e+00
2.532020e+07  1.004752e+00
2.600000e+07  9.862883e-01
2.800000e+07  8.818695e-01
3.000000e+07  7.945409e-01
3.500000e+07  6.082618e-01
4.000000e+07  4.873893e-01
4.500000e+07  4.094108e-01
5.000000e+07  3.664695e-01
6.000000e+07  3.005893e-01
7.000000e+07  2.601200e-01
8.000000e+07  2.365400e-01
9.000000e+07  2.120001e-01
1.000000e+08  1.946000e-01
1.100000e+08  1.821800e-01
1.200000e+08  1.748701e-01
1.300000e+08  1.704901e-01
1.400000e+08  1.615101e-01
1.500000e+08  1.574299e-01
2.000000e+08  1.653070e-01


# Production of He-6
# E_in [eV]   sigma[barns]
4.500000e+07  4.208500e-07
5.000000e+07  1.228100e-05
6.000000e+07  1.216600e-04
7.000000e+07  2.810400e-04
8.000000e+07  3.932094e-04
9.000000e+07  4.207599e-04
1.000000e+08  4.813996e-04
1.100000e+08  5.057805e-04
1.200000e+08  5.430308e-04
1.300000e+08  5.488404e-04
1.400000e+08  5.320110e-04
1.500000e+08  5.185790e-04
2.000000e+08  3.103505e-04


# Production of He-8
# E_in [eV]   sigma[barns]
1.100000e+08  1.770801e-07
1.200000e+08  2.962600e-07
1.300000e+08  3.734092e-07
1.400000e+08  4.265006e-07
1.500000e+08  4.776090e-07
2.000000e+08  9.365991e-07


# Production of Li-6
# E_in [eV]   sigma[barns]
2.800000e+07  1.880202e-04
3.000000e+07  1.607701e-03
3.500000e+07  3.648700e-03
4.000000e+07  5.912291e-03
4.500000e+07  8.133997e-03
5.000000e+07  9.756496e-03
6.000000e+07  1.198100e-02
7.000000e+07  1.393499e-02
8.000000e+07  1.490001e-02
9.000000e+07  1.507601e-02
1.000000e+08  1.508599e-02
1.100000e+08  1.514700e-02
1.200000e+08  1.506700e-02
1.300000e+08  1.486599e-02
1.400000e+08  1.492501e-02
1.500000e+08  1.455100e-02
2.000000e+08  1.403999e-02


# Production of Li-7
# E_in [eV]   sigma[barns]
2.800000e+07  1.353000e-07
3.000000e+07  3.808498e-04
3.500000e+07  5.578215e-03
4.000000e+07  9.494103e-03
4.500000e+07  1.032500e-02
5.000000e+07  1.091001e-02
6.000000e+07  9.574411e-03
7.000000e+07  9.176587e-03
8.000000e+07  8.636901e-03
9.000000e+07  8.091392e-03
1.000000e+08  8.065208e-03
1.100000e+08  7.307290e-03
1.200000e+08  6.981395e-03
1.300000e+08  7.941893e-03
1.400000e+08  7.630709e-03
1.500000e+08  7.280908e-03
2.000000e+08  1.100201e-02


# Production of Li-8
# E_in [eV]   sigma[barns]
6.000000e+07  1.326301e-05
7.000000e+07  6.261406e-05
8.000000e+07  1.220000e-04
9.000000e+07  1.543099e-04
1.000000e+08  1.900399e-04
1.100000e+08  2.245301e-04
1.200000e+08  2.806208e-04
1.300000e+08  3.016402e-04
1.400000e+08  3.003202e-04
1.500000e+08  3.122095e-04
2.000000e+08  3.873507e-04


# Production of Li-9
# E_in [eV]   sigma[barns]
7.000000e+07  1.572999e-06
8.000000e+07  5.621501e-06
9.000000e+07  8.512592e-06
1.000000e+08  1.166200e-05
1.100000e+08  1.009700e-04
1.200000e+08  1.054100e-04
1.300000e+08  1.209301e-04
1.400000e+08  1.319300e-04
1.500000e+08  1.391901e-04
2.000000e+08  1.580699e-04


# Production of Be-7
# E_in [eV]   sigma[barns]
2.600000e+07  1.897299e-03
2.800000e+07  6.004015e-03
3.000000e+07  1.047999e-02
3.500000e+07  2.033401e-02
4.000000e+07  2.851901e-02
4.500000e+07  2.677500e-02
5.000000e+07  2.503099e-02
6.000000e+07  2.318600e-02
7.000000e+07  2.148201e-02
8.000000e+07  1.991899e-02
9.000000e+07  1.849600e-02
1.000000e+08  1.721501e-02
1.100000e+08  1.607401e-02
1.200000e+08  1.507399e-02
1.300000e+08  1.421500e-02
1.400000e+08  1.349699e-02
1.500000e+08  1.291999e-02
2.000000e+08  1.020001e-02


# Production of Be-9
# E_in [eV]   sigma[barns]
3.000000e+07  1.845500e-07
3.500000e+07  6.827613e-04
4.000000e+07  1.198301e-03
4.500000e+07  1.304501e-03
5.000000e+07  1.601901e-03
6.000000e+07  1.988701e-03
7.000000e+07  2.511901e-03
8.000000e+07  3.047793e-03
9.000000e+07  3.244212e-03
1.000000e+08  3.392002e-03
1.100000e+08  3.438592e-03
1.200000e+08  3.591201e-03
1.300000e+08  3.520305e-03
1.400000e+08  3.635805e-03
1.500000e+08  3.609605e-03
2.000000e+08  3.628809e-03


# Production of Be-10
# E_in [eV]   sigma[barns]
3.000000e+07  3.157099e-06
3.500000e+07  5.396018e-05
4.000000e+07  1.047601e-04
4.500000e+07  2.197100e-04
5.000000e+07  3.346686e-04
6.000000e+07  5.805803e-04
7.000000e+07  7.607605e-04
8.000000e+07  8.464793e-04
9.000000e+07  8.846391e-04
1.000000e+08  9.527601e-04
1.100000e+08  1.028300e-03
1.200000e+08  1.102400e-03
1.300000e+08  1.175400e-03
1.400000e+08  1.247199e-03
1.500000e+08  1.318001e-03
2.000000e+08  1.650901e-03


# Production of B-8
# E_in [eV]   sigma[barns]
3.000000e+07  1.811700e-06
3.500000e+07  3.981587e-04
4.000000e+07  7.721204e-04
4.500000e+07  8.882393e-04
5.000000e+07  8.721198e-04
6.000000e+07  7.694888e-04
7.000000e+07  7.140600e-04
8.000000e+07  6.535094e-04
9.000000e+07  5.824697e-04
1.000000e+08  5.144501e-04
1.100000e+08  4.582790e-04
1.200000e+08  4.633499e-04
1.300000e+08  5.214411e-04
1.400000e+08  5.110707e-04
1.500000e+08  6.134500e-04
2.000000e+08  6.876105e-04


# Production of B-10
# E_in [eV]   sigma[barns]
2.400000e+07  5.027319e-04
2.532020e+07  2.449115e-03
2.600000e+07  3.403199e-03
2.800000e+07  5.024693e-03
3.000000e+07  4.911090e-03
3.500000e+07  8.874309e-03
4.000000e+07  1.207600e-02
4.500000e+07  1.284501e-02
5.000000e+07  1.285599e-02
6.000000e+07  3.310003e-02
7.000000e+07  3.319990e-02
8.000000e+07  3.278312e-02
9.000000e+07  3.089803e-02
1.000000e+08  3.057210e-02
1.100000e+08  2.956801e-02
1.200000e+08  2.900011e-02
1.300000e+08  2.840498e-02
1.400000e+08  2.821602e-02
1.500000e+08  2.756101e-02
2.000000e+08  2.393410e-02


# Production of B-11
# E_in [eV]   sigma[barns]
2.000000e+07  1.827600e-03
2.134600e+07  5.297650e-03
2.200000e+07  7.040791e-03
2.400000e+07  1.370299e-02
2.532020e+07  1.913134e-02
2.600000e+07  2.178302e-02
2.800000e+07  2.816999e-02
