# Residual cross-sections stored in JENDL-4.0/HE
# p + N-14

# Production of neutrons
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
6.000000e+06  0.000000e+00
6.351390e+06  0.000000e+00
7.000000e+06  5.856701e-03
8.000000e+06  2.427300e-02
9.000000e+06  4.645698e-02
1.000000e+07  6.604193e-02
1.100000e+07  7.986403e-02
1.200000e+07  9.483281e-02
1.300000e+07  1.117601e-01
1.400000e+07  1.275301e-01
1.500000e+07  1.456500e-01
1.600000e+07  1.622402e-01
1.700000e+07  1.761297e-01
1.800000e+07  1.898298e-01
1.900000e+07  2.013094e-01
2.000000e+07  2.126800e-01
2.200000e+07  2.222702e-01
2.400000e+07  2.318598e-01
2.600000e+07  2.414501e-01
2.800000e+07  2.510399e-01
3.000000e+07  2.606298e-01
3.200000e+07  2.611510e-01
3.400000e+07  2.616721e-01
3.600000e+07  2.621928e-01
3.800000e+07  2.627141e-01
4.000000e+07  2.632351e-01
4.200000e+07  2.637560e-01
4.400000e+07  2.642768e-01
4.600000e+07  2.647980e-01
4.800000e+07  2.653192e-01
5.000000e+07  2.658400e-01
5.500000e+07  2.647300e-01
6.000000e+07  2.636199e-01
6.500000e+07  2.621792e-01
7.000000e+07  2.607301e-01
8.000000e+07  2.578401e-01
9.000000e+07  2.562751e-01
1.000000e+08  2.547100e-01
1.100000e+08  2.540749e-01
1.200000e+08  2.534400e-01
1.300000e+08  2.536657e-01
1.400000e+08  2.538928e-01
1.500000e+08  2.541201e-01
2.000000e+08  2.624507e-01


# Production of H-1
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  1.023600e-01
4.000000e+06  2.649001e-01
5.000000e+06  4.119498e-01
6.000000e+06  5.047498e-01
7.000000e+06  5.530001e-01
8.000000e+06  5.607901e-01
9.000000e+06  5.591000e-01
1.000000e+07  5.621398e-01
1.100000e+07  5.958901e-01
1.200000e+07  6.367895e-01
1.300000e+07  6.524727e-01
1.400000e+07  6.397006e-01
1.500000e+07  6.298483e-01
1.600000e+07  6.158390e-01
1.700000e+07  5.939179e-01
1.800000e+07  5.713580e-01
1.900000e+07  5.484379e-01
2.000000e+07  5.252217e-01
2.200000e+07  5.310979e-01
2.400000e+07  5.369785e-01
2.600000e+07  5.428580e-01
2.800000e+07  5.487417e-01
3.000000e+07  5.546192e-01
3.200000e+07  5.486009e-01
3.400000e+07  5.425859e-01
3.600000e+07  5.365709e-01
3.800000e+07  5.305531e-01
4.000000e+07  5.245344e-01
4.200000e+07  5.185171e-01
4.400000e+07  5.124993e-01
4.600000e+07  5.064828e-01
4.800000e+07  5.004659e-01
5.000000e+07  4.944486e-01
5.500000e+07  4.838438e-01
6.000000e+07  4.732410e-01
6.500000e+07  4.656272e-01
7.000000e+07  4.579998e-01
8.000000e+07  4.427596e-01
9.000000e+07  4.354093e-01
1.000000e+08  4.280604e-01
1.100000e+08  4.246202e-01
1.200000e+08  4.211808e-01
1.300000e+08  4.215375e-01
1.400000e+08  4.218936e-01
1.500000e+08  4.222500e-01
2.000000e+08  4.404960e-01


# Production of H-2
# E_in [eV]   sigma[barns]
2.479400e+06  0.000000e+00
3.000000e+06  0.000000e+00
4.000000e+06  0.000000e+00
5.000000e+06  0.000000e+00
