# Residual cross-sections stored in JENDL-4.0/HE
# p + O-16

# Production of neutrons
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  0.000000e+00
8.000000e+06  0.000000e+00
9.000000e+06  0.000000e+00
1.000000e+07  0.000000e+00
1.100000e+07  0.000000e+00
1.200000e+07  0.000000e+00
1.300000e+07  0.000000e+00
1.400000e+07  0.000000e+00
1.500000e+07  0.000000e+00
1.600000e+07  0.000000e+00
1.722000e+07  0.000000e+00
1.800000e+07  4.995998e-03
1.900000e+07  2.910445e-02
2.000000e+07  5.320302e-02
2.200000e+07  1.096698e-01
2.400000e+07  1.558799e-01
2.600000e+07  1.955499e-01
2.800000e+07  2.326202e-01
3.000000e+07  2.400900e-01
3.200000e+07  2.424449e-01
3.400000e+07  2.448002e-01
3.600000e+07  2.471551e-01
3.800000e+07  2.495102e-01
4.000000e+07  2.518650e-01
4.200000e+07  2.542198e-01
4.400000e+07  2.565750e-01
4.600000e+07  2.589299e-01
4.800000e+07  2.612850e-01
5.000000e+07  2.636399e-01
5.500000e+07  2.651361e-01
6.000000e+07  2.665601e-01
6.500000e+07  2.671339e-01
7.000000e+07  2.677000e-01
8.000000e+07  2.688400e-01
9.000000e+07  2.690849e-01
1.000000e+08  2.693300e-01
1.100000e+08  2.693951e-01
1.200000e+08  2.694599e-01
1.300000e+08  2.707901e-01
1.400000e+08  2.721193e-01
1.500000e+08  2.734500e-01
2.000000e+08  2.845405e-01


# Production of H-1
# E_in [eV]   sigma[barns]
5.545800e+06  0.000000e+00
6.000000e+06  0.000000e+00
7.000000e+06  3.255000e-01
8.000000e+06  4.767998e-01
9.000000e+06  5.310998e-01
1.000000e+07  4.324998e-01
1.100000e+07  4.945001e-01
1.200000e+07  5.980701e-01
1.300000e+07  5.643398e-01
1.400000e+07  5.452600e-01
1.500000e+07  5.421600e-01
1.600000e+07  5.664702e-01
1.700000e+07  5.893279e-01
1.800000e+07  6.120025e-01
1.900000e+07  6.213335e-01
2.000000e+07  6.304607e-01
2.200000e+07  6.347195e-01
2.400000e+07  6.181781e-01
2.600000e+07  5.963502e-01
2.800000e+07  5.782395e-01
3.000000e+07  5.610323e-01
3.200000e+07  5.567482e-01
3.400000e+07  5.524620e-01
3.600000e+07  5.481780e-01
3.800000e+07  5.438930e-01
4.000000e+07  5.396098e-01
4.200000e+07  5.353271e-01
4.400000e+07  5.310427e-01
4.600000e+07  5.267593e-01
4.800000e+07  5.224758e-01
5.000000e+07  5.181883e-01
5.500000e+07  5.104048e-01
6.000000e+07  5.024797e-01
6.500000e+07  4.973433e-01
7.000000e+07  4.921963e-01
8.000000e+07  4.819096e-01
9.000000e+07  4.756154e-01
1.000000e+08  4.693210e-01
1.100000e+08  4.672712e-01
1.200000e+08  4.652192e-01
1.300000e+08  4.655887e-01
1.400000e+08  4.659592e-01
