channel_id,evaluation,common_grid_points,median_ratio_to_exfor_fit,median_absolute_fractional_difference,maximum_absolute_fractional_difference
p_C12_x_C11,JENDL-4.0/HE,543,1.0190284121407793,0.027277374884982053,2.503620330212108
p_C12_x_C11,LANL ENDF/B-VII.1,543,0.7547974546582902,0.2460474311596902,0.9220649889534089
p_O16_x_O15,JENDL-4.0/HE,555,1.0171593618657093,0.06682111749676145,0.40761575592886634
p_O16_x_O15,LANL ENDF/B-VII.1,555,0.8317414810301421,0.21786410707597748,1.1817947493491587
p_O16_x_C11,JENDL-4.0/HE,513,0.8081597084599892,0.1918402915400108,0.8450724959078268
p_O16_x_C11,LANL ENDF/B-VII.1,513,1.142633473551735,0.19771588076082436,0.9999699731937577
p_N14_x_N13,JENDL-4.0/HE,574,0.9921449485919585,0.05594091573310739,0.6587518357888384
p_N14_x_N13,LANL ENDF/B-VII.1,574,0.7326798144876068,0.2955389478122476,2.069979430675397
p_O16_x_N13,JENDL-4.0/HE,558,1.3393880762251835,0.354690272042569,1.2390703343100848
p_O16_x_N13,LANL ENDF/B-VII.1,558,1.2619338234035335,0.3221091409001131,1.3644494222197467
