profile_label,quantity,depth_low_mm,depth_high_mm,depth_mm,expected_count_run,expected_count_per_proton,expected_count_per_Gy
C11,production_nuclei,0.0,2.0,1.0,15.874322962121129,1.5874322962121128e-05,1587.4322962121128
C11,production_nuclei,2.0,4.0,3.0,15.907797329095214,1.5907797329095213e-05,1590.7797329095213
C11,production_nuclei,4.0,6.0,5.0,15.943495525558873,1.5943495525558872e-05,1594.3495525558874
C11,production_nuclei,6.0,8.0,7.0,15.98118894820087,1.598118894820087e-05,1598.118894820087
C11,production_nuclei,8.0,10.0,9.0,16.020872648800186,1.6020872648800184e-05,1602.0872648800184
C11,production_nuclei,10.0,12.0,11.0,16.062661899333836,1.6062661899333835e-05,1606.2661899333837
C11,production_nuclei,12.0,14.0,13.0,16.10675105012007,1.610675105012007e-05,1610.675105012007
C11,production_nuclei,14.0,16.0,15.0,16.153464977852895,1.6153464977852895e-05,1615.3464977852896
C11,production_nuclei,16.0,18.0,17.0,16.2034045020037,1.62034045020037e-05,1620.34045020037
C11,production_nuclei,18.0,20.0,19.0,16.25764130210271,1.6257641302102707e-05,1625.7641302102709
C11,production_nuclei,20.0,22.0,21.0,16.317854562484882,1.6317854562484883e-05,1631.7854562484881
C11,production_nuclei,22.0,24.0,23.0,16.38625254829924,1.638625254829924e-05,1638.625254829924
C11,production_nuclei,24.0,26.0,25.0,16.46513778824066,1.6465137788240662e-05,1646.513778824066
C11,production_nuclei,26.0,28.0,27.0,16.556090967723282,1.6556090967723282e-05,1655.6090967723283
C11,production_nuclei,28.0,30.0,29.0,16.65896035918966,1.665896035918966e-05,1665.896035918966
C11,production_nuclei,30.0,32.0,31.0,16.771082310065324,1.6771082310065325e-05,1677.1082310065324
C11,production_nuclei,32.0,34.0,33.0,16.88729131812802,1.688729131812802e-05,1688.729131812802
C11,production_nuclei,34.0,36.0,35.0,17.001152429255526,1.7001152429255526e-05,1700.1152429255526
C11,production_nuclei,36.0,38.0,37.0,17.107378246335813,1.7107378246335814e-05,1710.7378246335813
C11,production_nuclei,38.0,40.0,39.0,17.204662400159876,1.7204662400159876e-05,1720.4662400159875
C11,production_nuclei,40.0,42.0,41.0,17.297510883073052,1.7297510883073053e-05,1729.751088307305
C11,production_nuclei,42.0,44.0,43.0,17.395617900694653,1.7395617900694653e-05,1739.5617900694651
C11,production_nuclei,44.0,46.0,45.0,17.510306648846417,1.7510306648846415e-05,1751.0306648846415
C11,production_nuclei,46.0,48.0,47.0,17.649309475106527,1.7649309475106528e-05,1764.9309475106527
C11,production_nuclei,48.0,50.0,49.0,17.812659872833443,1.7812659872833443e-05,1781.2659872833442
C11,production_nuclei,50.0,52.0,51.0,17.992372027092163,1.7992372027092163e-05,1799.2372027092163
C11,production_nuclei,52.0,54.0,53.0,18.1764018591298,1.81764018591298e-05,1817.64018591298
C11,production_nuclei,54.0,56.0,55.0,18.354397516215325,1.8354397516215326e-05,1835.4397516215324
C11,production_nuclei,56.0,58.0,57.0,18.521420856829035,1.8521420856829036e-05,1852.1420856829036
C11,production_nuclei,58.0,60.0,59.0,18.677587879011032,1.8677587879011033e-05,1867.7587879011032
C11,production_nuclei,60.0,62.0,61.0,18.825103890365405,1.8825103890365407e-05,1882.5103890365403
C11,production_nuclei,62.0,64.0,63.0,18.966390738636825,1.8966390738636824e-05,1896.6390738636824
C11,production_nuclei,64.0,66.0,65.0,19.105957772298492,1.910595777229849e-05,1910.595777229849
C11,production_nuclei,66.0,68.0,67.0,19.255002966268027,1.9255002966268027e-05,1925.5002966268025
C11,production_nuclei,68.0,70.0,69.0,19.43407997217387,1.943407997217387e-05,1943.4079972173868
C11,production_nuclei,70.0,72.0,71.0,19.66875465649354,1.966875465649354e-05,1966.875465649354
C11,production_nuclei,72.0,74.0,73.0,19.977680177988415,1.9977680177988414e-05,1997.7680177988414
C11,production_nuclei,74.0,76.0,75.0,20.35968093446526,2.035968093446526e-05,2035.968093446526
C11,production_nuclei,76.0,78.0,77.0,20.79023448854479,2.079023448854479e-05,2079.023448854479
C11,production_nuclei,78.0,80.0,79.0,21.23279170809641,2.123279170809641e-05,2123.279170809641
