channel_id,dataset_id,source,peak_sigma_mb,peak_energy_MeV,median_ratio_to_g4,common_points
p_C12_x_C11,exfor_B0077_002_p_C12_x_C11,EXFOR,0.89954,32.0,,0
p_C12_x_C11,exfor_B0077_003_p_C12_x_C11,EXFOR,0.71255,93.0,0.013753449995314103,1
p_C12_x_C11,exfor_E2449_005_p_C12_x_C11,EXFOR,79.8,47.5,1.5671652854944735,3
p_C12_x_C11,exfor_C0220_003_p_C12_x_C11,EXFOR,29.0,5700.0,,0
p_C12_x_C11,exfor_D0128_005_p_C12_x_C11,EXFOR,45.0,150.0,,0
p_C12_x_C11,exfor_O0415_002_p_C12_x_C11,EXFOR,28.2,7600.0,,0
p_C12_x_C11,exfor_B0101_002_p_C12_x_C11,EXFOR,39.7,170.0,,0
p_C12_x_C11,exfor_C0216_002_p_C12_x_C11,EXFOR,27.6,2000.0,,0
p_C12_x_C11,exfor_C0231_002_p_C12_x_C11,EXFOR,25.9,28000.0,,0
p_C12_x_C11,exfor_B0095_002_p_C12_x_C11,EXFOR,92.5,33.3,1.9059082844803517,1
p_C12_x_C11,exfor_B0094_003_p_C12_x_C11,EXFOR,29.9,591.0,,0
p_C12_x_C11,exfor_B0076_005_p_C12_x_C11,EXFOR,101.0,46.7,1.774998795435141,25
p_C12_x_C11,exfor_C1911_002_p_C12_x_C11,EXFOR,32.0,800.0,,0
p_C12_x_C11,exfor_C1911_003_p_C12_x_C11,EXFOR,32.099999999999994,800.0,,0
p_C12_x_C11,exfor_O2553_003_p_C12_x_C11,EXFOR,83.4,40.7,1.575058311831209,3
p_C12_x_C11,exfor_C0221_002_p_C12_x_C11,EXFOR,32.300000000000004,6000.0,,0
p_C12_x_C11,exfor_C0221_003_p_C12_x_C11,EXFOR,30.5,4100.0,,0
p_C12_x_C11,exfor_C2341_002_p_C12_x_C11,EXFOR,24.6,300000.0,,0
p_C12_x_C11,exfor_A0660_018_p_C12_x_C11,EXFOR,26.8,1870.0,,0
p_C12_x_C11,exfor_F1218_002_p_C12_x_C11,EXFOR,27.3,3650.0,,0
p_C12_x_C11,exfor_E2501_002_p_C12_x_C11,EXFOR,87.53,40.62,1.8115907910991949,18
p_C12_x_C11,exfor_C0058_002_p_C12_x_C11,EXFOR,85.2,50.7,1.678106417312253,11
p_C12_x_C11,exfor_O0429_002_p_C12_x_C11,EXFOR,29.0,1000.0,,0
p_C12_x_C11,exfor_O2582_002_p_C12_x_C11,EXFOR,97.0,33.0,1.63343467977047,18
p_C12_x_C11,exfor_C0062_011_p_C12_x_C11,EXFOR,29.8,5700.0,,0
p_C12_x_C11,exfor_C0206_002_p_C12_x_C11,EXFOR,34.9,339.0,,0
p_C12_x_C11,exfor_C2359_002_p_C12_x_C11,EXFOR,48.9,283.0,,0
p_C12_x_C11,exfor_C2359_003_p_C12_x_C11,EXFOR,34.0,400.0,,0
p_C12_x_C11,exfor_P0051_002_p_C12_x_C11,EXFOR,89.1,34.8,,0
p_C12_x_C11,exfor_P0051_003_p_C12_x_C11,EXFOR,96.2,31.8,,0
p_C12_x_C11,jendl40he_p_C12_x_C11,JENDL-4.0/HE,90.85003,35.0,1.4183889918000654,8
p_C12_x_C11,lanl_endfb71_p_C12_x_C11,LANL ENDF/B-VII.1,87.09240342733,40.0,1.0303253949513795,8
p_O16_x_O15,exfor_E2449_002_p_O16_x_O15,EXFOR,77.5,31.6,0.7923242232250739,8
p_O16_x_O15,exfor_C0220_008_p_O16_x_O15,EXFOR,33.0,5700.0,,0
p_O16_x_O15,exfor_C0223_012_p_O16_x_O15,EXFOR,52.0,146.0,,0
p_O16_x_O15,exfor_O2553_006_p_O16_x_O15,EXFOR,71.1,39.4,0.7537120963739021,3
p_O16_x_O15,exfor_O0065_006_p_O16_x_O15,EXFOR,61.0,27.8,0.9884555443869046,2
p_O16_x_O15,exfor_E2568_002_p_O16_x_O15,EXFOR,76.8,36.11,0.7500288355587317,149
p_O16_x_O15,exfor_D1061_004_p_O16_x_O15,EXFOR,76.5,30.6,0.7092647846023328,16
p_O16_x_O15,exfor_C0208_004_2_p_O16_x_O15,EXFOR,20.2,362.0,,0
p_O16_x_O15,exfor_O2582_005_p_O16_x_O15,EXFOR,75.0,43.9,0.8004265823457793,27
p_O16_x_O15,exfor_A0316_008_p_O16_x_O15,EXFOR,76.1,32.82,1.72383779255,11
p_O16_x_O15,exfor_C0062_013_p_O16_x_O15,EXFOR,38.0,155.0,,0
p_O16_x_O15,exfor_C0062_016_p_O16_x_O15,EXFOR,71.0,70.0,0.8070562172757074,14
p_O16_x_O15,jendl40he_p_O16_x_O15,JENDL-4.0/HE,71.00101000000001,70.0,0.7691317180909962,24
p_O16_x_O15,lanl_endfb71_p_O16_x_O15,LANL ENDF/B-VII.1,97.406767008,35.0,0.9165582217167187,15
p_O16_x_C11,exfor_E2449_003_p_O16_x_C11,EXFOR,18.1,53.1,0.2903851256676561,7
p_O16_x_C11,exfor_C0220_011_p_O16_x_C11,EXFOR,12.0,5700.0,,0
p_O16_x_C11,exfor_O2134_006_p_O16_x_C11,EXFOR,20.0,50.0,0.4301529114285714,1
p_O16_x_C11,exfor_O2134_007_p_O16_x_C11,EXFOR,7.0,153.0,,0
p_O16_x_C11,exfor_C0223_014_p_O16_x_C11,EXFOR,12.7,146.0,,0
p_O16_x_C11,exfor_O0065_004_p_O16_x_C11,EXFOR,1.2,27.8,,0
p_O16_x_C11,exfor_E2568_004_p_O16_x_C11,EXFOR,22.29,50.77,0.4617691504185714,130
p_O16_x_C11,exfor_D1061_002_p_O16_x_C11,EXFOR,24.2,45.3,0.44236844685566834,14
p_O16_x_C11,exfor_C0208_003_p_O16_x_C11,EXFOR,13.6,362.0,,0
p_O16_x_C11,exfor_O2576_003_p_O16_x_C11,EXFOR,1.9,7.7,,0
p_O16_x_C11,exfor_O2582_003_p_O16_x_C11,EXFOR,28.0,46.5,0.6623685213232028,24
p_O16_x_C11,exfor_C0061_019_p_O16_x_C11,EXFOR,11.0,155.0,,0
