channel_id,source,datasets,points,energy_min_MeV,energy_max_MeV
p_C12_x_C11,EXFOR,30,319,8.5,300000.0
p_C12_x_C11,JENDL-4.0/HE,1,24,18.0,200.0
p_C12_x_C11,LANL ENDF/B-VII.1,1,21,4.812014,150.0
p_O16_x_O15,EXFOR,12,276,7.2,5700.0
p_O16_x_O15,JENDL-4.0/HE,1,33,14.292,200.0
p_O16_x_O15,LANL ENDF/B-VII.1,1,24,5.547481,150.0
p_O16_x_C11,EXFOR,12,222,5.0,5700.0
p_O16_x_C11,JENDL-4.0/HE,1,27,25.15,200.0
p_O16_x_C11,LANL ENDF/B-VII.1,1,17,5.547481,150.0
p_N14_x_N13,EXFOR,13,129,11.4,6200.0
p_N14_x_N13,JENDL-4.0/HE,1,39,8.928,200.0
p_N14_x_N13,LANL ENDF/B-VII.1,1,38,2.479502,150.0
p_O16_x_N13,EXFOR,18,783,5.65,5700.0
p_O16_x_N13,IAEA recommended,1,121,6.5,18.5
p_O16_x_N13,JENDL-4.0/HE,1,42,5.5478,200.0
p_O16_x_N13,LANL ENDF/B-VII.1,1,32,5.547481,150.0
